date,profits_cp_EL,profits_cp_EU_median,wages_cp_EL,wages_cp_EU_median,profits_pct_gdp_EL,profits_pct_gdp_EU_median,wages_pct_gdp_EL,wages_pct_gdp_EU_median
1995-Q1,15708.4,5677.950000000001,6041.3,4050.45,61.1,42.75,23.5,35.95
1995-Q2,15891.2,5972.35,6023.1,4087.0,61.2,42.9,23.2,36.35
1995-Q3,16213.5,6122.9,6053.3,4224.2,61.4,43.099999999999994,22.9,36.8
1995-Q4,16239.1,6265.299999999999,6015.6,4305.85,61.4,43.0,22.7,36.55
1996-Q1,16615.9,6387.4,6057.8,4511.4,61.4,43.95,22.4,36.95
1996-Q2,17407.7,6609.8,6358.5,4734.0,61.3,43.05,22.4,37.05
1996-Q3,17928.9,6754.15,6562.1,4867.7,61.2,44.55,22.4,37.0
1996-Q4,18313.9,7182.1,6756.9,5124.35,61.0,41.4,22.5,36.7
1997-Q1,18671.3,7558.25,6987.2,5511.45,60.9,42.55,22.8,37.400000000000006
1997-Q2,18759.0,7536.400000000001,7130.1,5436.299999999999,60.6,42.150000000000006,23.0,36.099999999999994
1997-Q3,19198.0,7976.0,7391.0,5424.15,60.3,42.75,23.2,35.5
1997-Q4,19625.9,8104.900000000001,7618.0,5337.65,60.0,42.9,23.3,35.7
1998-Q1,19695.9,8444.95,7539.5,5445.700000000001,60.8,42.35,23.3,35.2
1998-Q2,18748.2,8815.2,7262.7,5662.6,60.4,42.349999999999994,23.4,35.8
1998-Q3,19431.2,9335.4,7610.2,5918.799999999999,60.0,42.150000000000006,23.5,35.75
1998-Q4,19768.5,9200.75,7804.4,5994.2,59.7,42.650000000000006,23.6,36.1
1999-Q1,20481.3,9292.05,8121.9,5928.95,59.5,43.2,23.6,35.1
1999-Q2,20636.0,9435.4,8249.4,6077.049999999999,59.2,43.1,23.7,35.5
1999-Q3,20525.7,9932.599999999999,8392.9,6316.65,58.5,42.55,23.9,35.25
1999-Q4,20666.1,10346.0,8553.0,6480.150000000001,58.0,41.45,24.0,34.8
2000-Q1,20804.4,8487.8,8450.5,4854.3,58.7,43.1,23.8,34.7
2000-Q2,20698.6,8605.1,8644.0,4837.0,58.0,43.9,24.2,34.4
2000-Q3,20947.6,8993.8,8845.1,5046.0,58.1,43.1,24.5,34.8
2000-Q4,21004.7,9138.2,8975.5,5259.4,58.1,44.1,24.8,34.7
2001-Q1,21349.8,9481.7,9235.9,5402.5,57.3,43.9,24.8,35.1
2001-Q2,21547.8,9797.6,9397.9,5587.5,57.3,43.5,25.0,35.1
2001-Q3,22504.6,10183.3,9288.0,5723.9,58.4,43.6,24.1,35.5
2001-Q4,22725.6,10630.9,9282.5,5958.2,58.3,43.5,23.8,35.1
2002-Q1,22069.0,10794.1,10396.2,6367.2,55.7,44.2,26.2,33.9
2002-Q2,22700.1,11483.1,10695.4,6746.5,55.8,44.7,26.3,33.9
2002-Q3,23142.4,11463.7,10632.7,6882.0,56.3,44.1,25.9,35.0
2002-Q4,23744.8,11199.3,11000.1,6812.7,56.2,44.6,26.0,34.4
2003-Q1,24129.0,11356.0,11406.2,6728.7,55.7,44.6,26.3,35.9
2003-Q2,25849.3,11574.2,10781.1,6835.2,58.5,44.3,24.4,35.3
2003-Q3,25383.8,11265.9,11992.6,6785.0,55.9,44.3,26.4,35.4
2003-Q4,25830.3,11312.6,12260.7,6952.1,55.8,42.7,26.5,35.1
2004-Q1,27518.3,11481.2,12294.1,6966.6,57.7,43.5,25.8,34.6
2004-Q2,27318.8,11868.6,12638.7,7486.4,56.6,44.2,26.2,35.6
2004-Q3,28001.8,12301.0,12989.5,7772.1,56.7,43.7,26.3,36.4
2004-Q4,27486.7,13072.8,12866.0,7879.5,56.6,43.0,26.5,35.3
2005-Q1,27504.6,13591.9,13017.3,8209.1,56.3,43.9,26.6,36.3
2005-Q2,27472.3,13570.0,13328.6,8359.0,55.4,43.2,26.9,36.0
2005-Q3,27776.9,13864.4,13478.0,8661.4,55.3,42.4,26.8,35.6
2005-Q4,27869.4,14729.1,13761.0,8846.1,54.8,42.7,27.1,36.2
2006-Q1,29804.3,15159.5,14106.3,9226.5,55.6,42.6,26.3,35.9
2006-Q2,30051.9,15699.2,14249.6,9495.9,55.5,42.6,26.3,35.6
2006-Q3,30527.9,16150.9,14297.5,9683.5,55.8,42.5,26.1,35.4
2006-Q4,30633.4,16801.8,15119.8,9965.2,55.1,42.7,27.2,36.3
2007-Q1,30928.8,17500.8,15328.3,10211.8,54.5,43.1,27.0,36.1
2007-Q2,32524.8,17211.4,15315.5,10307.8,55.9,43.3,26.3,36.2
2007-Q3,32178.4,17907.3,15710.0,10620.7,54.9,43.4,26.8,36.1
2007-Q4,32798.6,18692.6,15116.9,11289.8,55.3,43.1,25.5,36.2
2008-Q1,33189.0,19491.9,15851.8,12402.6,54.8,42.6,26.2,36.6
2008-Q2,33043.9,19718.1,15948.1,12822.0,54.7,42.8,26.4,36.8
2008-Q3,32314.2,20249.3,16841.5,13189.4,53.2,43.0,27.7,37.3
2008-Q4,32825.8,18951.7,15753.9,12562.1,54.8,42.4,26.3,37.8
2009-Q1,32877.9,17874.3,15902.7,11355.6,56.1,41.1,27.1,38.4
2009-Q2,32170.0,17548.0,16821.8,11553.2,53.5,41.3,28.0,38.2
2009-Q3,32004.7,17808.5,17029.5,12083.9,54.1,41.4,28.8,37.8
2009-Q4,31660.4,18164.8,17216.5,12057.0,52.8,41.7,28.7,37.1
2010-Q1,31063.5,18353.0,16358.5,11969.7,53.1,42.2,28.0,37.1
2010-Q2,30247.8,18299.2,15769.3,12238.8,53.2,42.2,27.7,36.8
2010-Q3,29061.8,18546.0,15407.2,12743.5,52.6,42.5,27.9,36.6
2010-Q4,28717.0,18564.1,15060.7,12874.6,52.9,43.1,27.7,36.5
2011-Q1,27715.2,19490.0,14830.7,13055.9,52.5,43.3,28.1,36.1
2011-Q2,26705.0,19453.0,14626.3,13230.3,51.7,42.5,28.3,36.4
2011-Q3,26191.2,19329.0,14393.5,13251.9,51.7,42.5,28.4,35.9
2011-Q4,25298.3,19240.2,13781.2,12839.8,51.7,42.9,28.2,36.1
2012-Q1,24954.7,19205.0,13411.2,13084.1,51.7,43.0,27.8,35.5
2012-Q2,24832.6,18992.0,12999.7,12992.2,52.3,43.1,27.4,36.0
2012-Q3,24652.9,19014.0,12439.2,12439.2,52.9,43.7,26.7,35.9
2012-Q4,24107.0,19148.0,12755.4,12755.4,52.1,44.1,27.6,35.2
2013-Q1,24494.7,18155.0,11864.7,11864.7,53.6,44.2,26.0,35.5
2013-Q2,24243.9,19296.0,12000.4,12000.4,53.5,43.3,26.5,35.3
2013-Q3,23698.3,19270.6,11846.8,11846.8,53.1,43.7,26.5,35.3
2013-Q4,24006.2,19185.7,11666.5,11666.5,54.2,43.6,26.3,35.4
2014-Q1,23124.3,19154.9,11915.4,11915.4,52.1,43.7,26.9,35.2
2014-Q2,22848.1,19537.3,12033.8,12033.8,51.9,43.6,27.3,35.3
2014-Q3,22817.3,19704.0,12083.2,12083.2,51.2,42.4,27.1,35.8
2014-Q4,22257.1,20089.4,12050.8,12050.8,50.2,43.4,27.2,35.7
2015-Q1,22950.6,20264.0,11812.7,11812.7,51.8,44.0,26.7,36.0
2015-Q2,22923.4,20787.0,11660.3,11660.3,52.0,43.8,26.4,35.8
2015-Q3,22177.8,20914.0,12021.6,12021.6,51.0,43.5,27.6,35.8
2015-Q4,21929.0,21004.0,12203.1,12203.1,49.6,43.3,27.6,35.8
2016-Q1,21227.0,20767.3,12255.2,12255.2,48.7,43.7,28.1,35.5
