date,EL,EU,EL_index_2015,EU_index_2015
1997-01-01,5.6,,61.8,
1997-02-01,5.9,,62.16,
1997-03-01,5.9,,62.56,
1997-04-01,5.0,,62.72,
1997-05-01,4.9,,62.62,
1997-06-01,5.6,,62.77,
1997-07-01,5.4,,63.04,
1997-08-01,5.8,,63.44,
1997-09-01,6.2,,63.46,
1997-10-01,5.5,,63.56,
1997-11-01,5.2,,63.6,
1997-12-01,4.8,,63.57,
1998-01-01,3.1,,63.7,
1998-02-01,1.8,,63.27,
1998-03-01,2.1,,63.88,
1998-04-01,5.2,,65.95,
1998-05-01,5.3,,65.91,
1998-06-01,4.8,,65.78,
1998-07-01,4.8,,66.04,
1998-08-01,4.0,,65.94,
1998-09-01,3.1,,65.41,
1998-10-01,1.3,,64.38,
1998-11-01,0.0,,63.6,
1998-12-01,-1.6,,62.57,
1999-01-01,-1.9,,62.47,
1999-02-01,-1.7,,62.18,
1999-03-01,-2.2,,62.5,
1999-04-01,-2.6,,64.23,
1999-05-01,-2.7,,64.14,
1999-06-01,-2.4,,64.17,
1999-07-01,-2.0,,64.73,
1999-08-01,-1.5,,64.97,
1999-09-01,-3.0,,63.42,
1999-10-01,-1.8,,63.21,
1999-11-01,-0.2,,63.5,
1999-12-01,3.3,,64.67,69.88
2000-01-01,3.1,,64.42,70.27
2000-02-01,4.4,,64.92,70.63
2000-03-01,6.4,,66.5,71.43
2000-04-01,4.5,,67.14,71.19
2000-05-01,5.8,,67.85,71.56
2000-06-01,7.8,,69.21,72.69
2000-07-01,6.5,,68.95,72.89
2000-08-01,5.3,,68.4,72.62
2000-09-01,9.2,,69.26,73.36
2000-10-01,9.8,,69.43,73.22
2000-11-01,9.0,,69.2,73.45
2000-12-01,5.4,4.4,68.13,72.93
2001-01-01,4.7,3.1,67.44,72.41
2001-02-01,5.3,3.4,68.38,73.02
2001-03-01,2.8,2.2,68.38,73.01
2001-04-01,5.0,3.5,70.51,73.64
2001-05-01,5.4,4.1,71.53,74.49
2001-06-01,1.7,2.3,70.4,74.34
2001-07-01,0.1,1.3,69.02,73.84
2001-08-01,0.6,1.4,68.8,73.59
2001-09-01,0.2,0.6,69.39,73.78
2001-10-01,-2.2,0.1,67.93,73.28
2001-11-01,-2.9,-0.9,67.2,72.81
2001-12-01,-0.8,-0.2,67.54,72.81
2002-01-01,0.6,1.1,67.82,73.23
2002-02-01,-1.1,0.8,67.65,73.6
2002-03-01,0.0,1.6,68.36,74.17
2002-04-01,-1.1,2.0,69.73,75.09
2002-05-01,-1.9,0.9,70.18,75.14
2002-06-01,-1.6,0.8,69.28,74.93
2002-07-01,0.4,1.9,69.27,75.23
2002-08-01,1.0,2.5,69.49,75.47
2002-09-01,0.4,2.4,69.67,75.56
2002-10-01,2.8,3.4,69.84,75.76
2002-11-01,3.4,3.5,69.5,75.33
2002-12-01,4.3,3.6,70.44,75.45
2003-01-01,5.3,4.4,71.42,76.45
2003-02-01,6.1,4.8,71.77,77.1
2003-03-01,4.8,4.4,71.67,77.43
2003-04-01,2.5,2.4,71.46,76.89
2003-05-01,0.6,1.5,70.57,76.27
2003-06-01,2.2,1.8,70.81,76.29
2003-07-01,3.1,2.0,71.42,76.74
2003-08-01,3.5,2.3,71.95,77.22
2003-09-01,2.5,2.0,71.41,77.05
2003-10-01,2.1,1.4,71.29,76.84
2003-11-01,2.8,2.0,71.43,76.82
2003-12-01,1.8,1.9,71.71,76.9
2004-01-01,0.8,1.1,72.02,77.31
2004-02-01,-0.2,0.7,71.63,77.61
2004-03-01,0.9,0.9,72.33,78.12
2004-04-01,2.8,2.5,73.47,78.82
2004-05-01,5.2,4.6,74.23,79.77
2004-06-01,5.0,4.3,74.32,79.6
2004-07-01,4.3,4.1,74.52,79.91
2004-08-01,4.1,4.2,74.88,80.46
2004-09-01,5.1,4.2,75.07,80.26
2004-10-01,6.5,5.4,75.89,80.99
2004-11-01,4.4,5.0,74.58,80.65
2004-12-01,3.0,4.3,73.87,80.2
2005-01-01,3.3,3.4,74.42,79.92
2005-02-01,4.8,3.8,75.07,80.53
2005-03-01,4.6,4.1,75.64,81.33
2005-04-01,5.6,4.4,77.6,82.26
2005-05-01,4.3,3.1,77.41,82.23
2005-06-01,5.0,4.0,78.06,82.75
2005-07-01,4.8,5.0,78.09,83.9
2005-08-01,5.2,5.0,78.77,84.47
2005-09-01,6.2,6.5,79.75,85.5
2005-10-01,4.2,5.4,79.07,85.34
2005-11-01,3.0,4.2,76.81,84.04
2005-12-01,5.2,4.5,77.67,83.79
2006-01-01,4.6,5.4,77.84,84.26
2006-02-01,2.9,4.9,77.26,84.47
2006-03-01,4.2,4.1,78.82,84.63
2006-04-01,4.1,4.5,80.82,85.97
2006-05-01,4.4,5.1,80.82,86.45
2006-06-01,3.7,4.7,80.95,86.6
2006-07-01,5.4,4.1,82.3,87.32
2006-08-01,4.1,3.5,81.99,87.4
2006-09-01,-0.7,0.2,79.17,85.68
2006-10-01,-0.9,-0.7,78.34,84.7
2006-11-01,2.0,0.6,78.38,84.57
2006-12-01,1.9,1.1,79.14,84.75
2007-01-01,1.1,0.8,78.69,84.97
2007-02-01,1.8,0.9,78.65,85.24
2007-03-01,2.0,1.9,80.4,86.25
2007-04-01,1.1,1.4,81.7,87.18
2007-05-01,2.1,1.6,82.54,87.81
2007-06-01,2.1,1.7,82.64,88.13
2007-07-01,0.3,1.5,82.57,88.59
2007-08-01,-0.5,0.9,81.58,88.16
2007-09-01,3.2,2.8,81.73,88.06
2007-10-01,4.2,4.1,81.61,88.19
2007-11-01,5.4,5.8,82.62,89.52
2007-12-01,4.9,5.7,82.99,89.6
2008-01-01,6.0,6.0,83.4,90.05
2008-02-01,5.3,5.7,82.83,90.12
2008-03-01,3.7,5.8,83.35,91.24
2008-04-01,3.2,5.0,84.33,91.52
2008-05-01,4.7,6.0,86.41,93.07
2008-06-01,6.2,7.1,87.81,94.4
2008-07-01,6.3,7.2,87.77,94.99
2008-08-01,6.3,6.3,86.71,93.73
2008-09-01,5.8,5.8,86.47,93.17
2008-10-01,3.1,3.7,84.1,91.49
2008-11-01,-1.0,-0.6,81.78,89.0
2008-12-01,-2.7,-2.7,80.72,87.21
2009-01-01,-2.9,-3.4,80.97,86.95
2009-02-01,-1.6,-2.7,81.51,87.64
2009-03-01,-1.8,-4.2,81.85,87.45
2009-04-01,-3.8,-3.5,81.12,88.32
2009-05-01,-5.0,-4.5,82.1,88.83
2009-06-01,-4.8,-4.5,83.57,90.16
2009-07-01,-3.9,-5.1,84.38,90.17
2009-08-01,-1.2,-2.9,85.65,91.05
2009-09-01,-1.9,-3.3,84.85,90.06
2009-10-01,0.6,-1.7,84.6,89.95
2009-11-01,6.9,1.8,87.43,90.58
