date,EL,EU
1991,,78.0
1992,,76.8
1993,,73.0
1994,,76.4
1995,,79.2
1996,,79.0
1997,,82.5
1998,,85.7
1999,,87.2
2000,140.2,91.9
2001,135.5,92.5
2002,135.8,92.4
2003,136.5,93.0
2004,137.4,95.4
2005,135.2,97.3
2006,136.3,101.6
2007,139.4,105.7
2008,133.5,103.9
2009,120.6,89.0
2010,113.2,95.4
2011,106.6,98.8
2012,104.4,96.8
2013,101.0,96.2
2014,99.0,97.4
2015,100.0,100.0
2016,102.6,101.8
2017,106.9,105.1
2018,108.8,106.4
2019,108.0,106.2
2020,105.7,98.5
2021,116.6,107.5
2022,119.6,110.8
2023,122.3,108.6
