date,EL,EU
1991-Q1,,78.7
1991-Q2,,77.8
1991-Q3,,77.3
1991-Q4,,78.2
1992-Q1,,78.9
1992-Q2,,77.8
1992-Q3,,75.9
1992-Q4,,74.7
1993-Q1,,73.6
1993-Q2,,72.6
1993-Q3,,72.6
1993-Q4,,73.3
1994-Q1,,74.2
1994-Q2,,76.0
1994-Q3,,76.8
1994-Q4,,78.6
1995-Q1,,78.9
1995-Q2,,79.3
1995-Q3,,79.3
1995-Q4,,79.1
1996-Q1,,78.8
1996-Q2,,78.7
1996-Q3,,79.0
1996-Q4,,79.3
1997-Q1,,80.3
1997-Q2,,81.9
1997-Q3,,83.2
1997-Q4,,84.4
1998-Q1,,85.4
1998-Q2,,85.9
1998-Q3,,86.0
1998-Q4,,85.4
1999-Q1,,85.7
1999-Q2,,86.2
1999-Q3,,87.6
1999-Q4,,89.2
2000-Q1,150.2,89.5
2000-Q2,150.4,91.7
2000-Q3,149.5,92.5
2000-Q4,149.9,93.7
2001-Q1,148.8,93.6
2001-Q2,142.3,92.7
2001-Q3,141.9,92.3
2001-Q4,140.1,91.0
2002-Q1,143.1,91.7
2002-Q2,142.0,92.4
2002-Q3,140.3,92.5
2002-Q4,143.3,92.4
2003-Q1,140.9,92.9
2003-Q2,143.2,92.1
2003-Q3,142.3,92.5
2003-Q4,144.6,94.2
2004-Q1,143.9,94.6
2004-Q2,146.3,95.6
2004-Q3,142.4,95.5
2004-Q4,141.3,95.6
2005-Q1,141.7,95.9
2005-Q2,139.6,96.7
2005-Q3,140.8,97.2
2005-Q4,140.7,98.7
2006-Q1,141.7,99.6
2006-Q2,143.7,101.4
2006-Q3,140.3,101.8
2006-Q4,140.7,103.2
2007-Q1,146.7,104.7
2007-Q2,145.0,105.0
2007-Q3,144.0,106.2
2007-Q4,143.3,106.9
2008-Q1,141.3,107.7
2008-Q2,141.7,106.5
2008-Q3,137.8,104.0
2008-Q4,131.7,97.2
2009-Q1,126.1,88.4
2009-Q2,123.8,87.4
2009-Q3,122.3,89.2
2009-Q4,121.3,90.4
2010-Q1,116.7,92.3
2010-Q2,115.6,95.1
2010-Q3,111.4,96.0
2010-Q4,114.9,97.9
2011-Q1,111.3,98.9
2011-Q2,106.6,98.9
2011-Q3,109.2,98.9
2011-Q4,102.7,98.2
2012-Q1,102.8,97.5
2012-Q2,104.0,97.2
2012-Q3,105.4,97.1
2012-Q4,102.9,95.2
2013-Q1,100.5,95.2
2013-Q2,103.5,96.2
2013-Q3,99.9,96.2
2013-Q4,98.7,96.8
2014-Q1,98.4,97.1
2014-Q2,101.3,97.6
2014-Q3,96.9,97.2
2014-Q4,98.7,97.4
2015-Q1,100.6,99.1
2015-Q2,97.5,100.1
2015-Q3,99.5,100.4
2015-Q4,102.8,100.3
2016-Q1,100.2,101.4
2016-Q2,102.2,101.4
2016-Q3,102.6,101.5
2016-Q4,105.8,102.8
2017-Q1,108.0,102.9
2017-Q2,106.2,104.2
2017-Q3,106.2,105.7
2017-Q4,107.3,107.6
2018-Q1,108.2,106.2
2018-Q2,108.3,106.8
2018-Q3,108.8,106.6
2018-Q4,110.2,106.3
2019-Q1,109.7,107.0
2019-Q2,109.1,106.7
2019-Q3,108.4,106.0
2019-Q4,104.7,105.1
2020-Q1,108.7,102.2
2020-Q2,100.7,86.5
2020-Q3,106.2,100.6
2020-Q4,108.0,105.4
2021-Q1,113.4,107.0
2021-Q2,115.8,106.9
2021-Q3,117.2,107.4
2021-Q4,120.4,108.8
2022-Q1,118.8,109.9
2022-Q2,119.3,110.0
2022-Q3,122.2,112.3
2022-Q4,118.3,111.0
2023-Q1,121.6,110.2
2023-Q2,120.7,108.7
2023-Q3,122.2,107.6
2023-Q4,125.0,108.0
