sector,sector_greek,job_vacancies,job_occupancy,job_vacancy_rate,total_jobs
mining,εξόρυξη,1.2,7344.8,0.0,7346.0
manufacturing,βιομηχανία/μεταποίηση,863.0,219627.5,0.4,220490.5
electricity_gas_supply,ηλεκτρισμός_&_αέριο,47.2,28506.5,0.2,28553.7
water_supply,παροχή_νερού,291.2,7039.2,4.3,7330.4
construction,κατασκευές,2567.5,50500.2,4.6,53067.7
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,433.2,393043.8,0.1,393477.0
transport_storage,μεταφορές_&_αποθήκευση,630.2,106660.8,0.6,107291.0
accommodation_food_services,καταλύματα_&_εστίαση,1546.5,105645.5,1.4,107192.0
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,393.2,90187.8,0.5,90581.0
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,95.8,56582.8,0.2,56678.600000000006
real_estate,ακίνητα,39.0,5361.2,0.7,5400.2
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,1328.2,60565.2,2.1,61893.399999999994
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,403.8,50591.5,0.8,50995.3
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,1108.5,316119.0,0.4,317227.5
education,εκπαίδευση,225.5,299963.8,0.1,300189.3
social_work,υγεία_&_κοινωνική_εργασία,1867.5,273598.2,0.7,275465.7
arts_recreation,τέχνες_&_ψυχαγωγία,384.8,12471.0,3.1,12855.8
other_services,άλλες_υπηρεσίες,210.0,43930.0,0.5,44140.0
