sector,sector_greek_2019,job_vacancies_2019,job_occupancy_2019,job_vacancy_rate_2019,total_jobs_2019,sector_greek_2023,job_vacancies_2023,job_occupancy_2023,job_vacancy_rate_2023,total_jobs_2023,total_jobs_change_19_23,job_occupancy_change_19_23,job_vacancies_change_19_23
mining,εξόρυξη,33.5,8275.0,0.4,8308.5,εξόρυξη,22.2,7016.8,0.3,7039.0,-0.15279533008364932,-0.15204833836858,-0.33731343283582094
manufacturing,βιομηχανία/μεταποίηση,782.5,209039.2,0.4,209821.7,βιομηχανία/μεταποίηση,4731.8,231388.2,2.0,236120.0,0.1253364165860824,0.10691296177941734,5.047028753993611
electricity_gas_supply,ηλεκτρισμός_&_αέριο,22.2,23046.5,0.1,23068.7,ηλεκτρισμός_&_αέριο,204.5,28337.0,0.7,28541.5,0.23723920290263423,0.2295576334801379,8.211711711711713
water_supply,παροχή_νερού,491.8,11415.8,4.0,11907.6,παροχή_νερού,589.8,12414.0,4.5,13003.8,0.09205885316940421,0.08744021443963645,0.1992679951199674
construction,κατασκευές,141.8,55065.8,0.2,55207.600000000006,κατασκευές,1601.8,55758.2,2.8,57360.0,0.038987385794709395,0.012574047775570252,10.296191819464033
wholesale_retail_trade,χονδρικό_&_λιανικό_εμπόριο,1034.2,395056.5,0.3,396090.7,χονδρικό_&_λιανικό_εμπόριο,8642.2,414226.5,2.0,422868.7,0.0676057276780293,0.04852470469413861,7.3564107522722875
transport_storage,μεταφορές_&_αποθήκευση,1047.0,104069.8,1.0,105116.8,μεταφορές_&_αποθήκευση,1263.8,121146.8,1.0,122410.6,0.16451984839721145,0.16409179223943937,0.20706781279847175
accommodation_food_services,καταλύματα_&_εστίαση,3115.8,133805.0,2.3,136920.8,καταλύματα_&_εστίαση,5837.5,133443.2,4.2,139280.7,0.017235511332098774,-0.0027039348305368804,0.8735156300147633
information_communication,ενημέρωση_&_πληροφορική_&_επικοινωνίες,580.8,90627.0,0.6,91207.8,ενημέρωση_&_πληροφορική_&_επικοινωνίες,938.8,94692.2,1.0,95631.0,0.04849585232841935,0.044856389376234374,0.6163911845730028
financial_insurance,χρηματοοικονομικά_&_ασφάλειες,34.8,61556.2,0.0,61591.0,χρηματοοικονομικά_&_ασφάλειες,310.8,58396.8,0.5,58707.600000000006,-0.046815281453459034,-0.051325455437470024,7.931034482758621
real_estate,ακίνητα,113.2,2592.0,4.3,2705.2,ακίνητα,125.2,6435.2,1.9,6560.4,1.4251072009463255,1.482716049382716,0.10600706713780927
professional_scientific_technical,επαγγελματικές_&_επιστημονικές_&_τεχνικές,1147.8,42964.5,2.6,44112.3,επαγγελματικές_&_επιστημονικές_&_τεχνικές,2958.0,67711.2,4.2,70669.2,0.602029365959154,0.5759801696749642,1.5771040250914794
administrative_support_services,διοικητικές_&_υποστηρικτικές_υπηρεσίες,292.5,56515.0,0.5,56807.5,διοικητικές_&_υποστηρικτικές_υπηρεσίες,965.8,59196.5,1.6,60162.3,0.05905558244950049,0.04744758028841911,2.3018803418803415
public_administration_defence,δημόσια_διοίκηση_&_άμυνα,1465.8,341856.5,0.4,343322.3,δημόσια_διοίκηση_&_άμυνα,2195.2,297369.8,0.7,299565.0,-0.12745254240694526,-0.13013267262725736,0.49761222540592165
education,εκπαίδευση,535.2,303655.2,0.2,304190.4,εκπαίδευση,1856.5,317882.2,0.6,319738.7,0.05111371036035317,0.04685248268430775,2.468796711509716
social_work,υγεία_&_κοινωνική_εργασία,1752.2,246882.8,0.7,248635.0,υγεία_&_κοινωνική_εργασία,4635.2,306319.5,1.5,310954.7,0.25064733444607556,0.24074864672630092,1.6453601187079099
arts_recreation,τέχνες_&_ψυχαγωγία,657.2,15117.8,4.1,15775.0,τέχνες_&_ψυχαγωγία,747.2,15614.8,4.6,16362.0,0.03721077654516636,0.0328751537922185,0.1369446135118686
other_services,άλλες_υπηρεσίες,302.8,40059.0,0.8,40361.8,άλλες_υπηρεσίες,372.0,44444.5,0.8,44816.5,0.11036921049110782,0.10947602286627234,0.2285336856010567
