date,unemployment_EL_pct,unemployment_EL_thousands_persons,unemployment_EU27_2020_pct,unemployment_EU27_2020_thousands_persons,job_vacancy_rate_EL,job_vacancies_EL,job_vacancy_rate_EU27_2020
2014-Q1,27.3,1316.0,11.4,23614.0,0.9,17046.0,1.3
2014-Q2,27.0,1293.0,11.0,22894.0,1.0,17990.0,1.3
2014-Q3,26.4,1264.0,10.9,22582.0,1.5,27907.0,1.4
2014-Q4,26.0,1241.0,10.8,22574.0,1.8,34118.0,1.4
2015-Q1,25.7,1228.0,10.6,22009.0,1.0,18123.0,1.4
2015-Q2,25.0,1197.0,10.3,21518.0,0.8,15472.0,1.5
2015-Q3,24.8,1191.0,10.0,20761.0,0.7,14227.0,1.5
2015-Q4,24.3,1174.0,9.9,20567.0,0.6,11991.0,1.6
2016-Q1,24.2,1165.0,9.6,20031.0,0.6,11697.0,1.6
2016-Q2,23.9,1149.0,9.4,19631.0,0.7,13803.0,1.6
2016-Q3,23.8,1141.0,9.1,19160.0,1.1,21623.0,1.7
2016-Q4,23.5,1123.0,8.9,18755.0,0.6,11813.0,1.7
2017-Q1,22.9,1096.0,8.7,18184.0,0.8,15795.0,1.8
2017-Q2,22.1,1060.0,8.3,17560.0,0.6,11311.0,1.9
2017-Q3,21.3,1015.0,8.2,17204.0,0.7,14533.0,2.0
2017-Q4,21.2,1006.0,7.9,16664.0,0.5,11152.0,2.0
2018-Q1,20.6,979.0,7.7,16240.0,0.5,11007.0,2.1
2018-Q2,19.9,942.0,7.5,15776.0,0.7,15386.0,2.1
2018-Q3,19.5,920.0,7.2,15263.0,0.8,16588.0,2.2
2018-Q4,19.0,899.0,7.2,15112.0,0.6,12677.0,2.3
2019-Q1,19.0,904.0,7.0,14876.0,0.6,12101.0,2.3
2019-Q2,17.7,836.0,6.8,14424.0,0.6,13380.0,2.3
2019-Q3,17.6,833.0,6.8,14313.0,0.7,14126.0,2.3
2019-Q4,17.1,808.0,6.7,14243.0,0.7,14597.0,2.3
2020-Q1,16.8,768.0,6.6,13952.0,0.5,10412.0,2.0
2020-Q2,19.3,821.0,7.0,14316.0,0.3,6740.0,1.7
2020-Q3,17.2,792.0,7.9,16545.0,0.4,9000.0,1.8
2020-Q4,17.3,778.0,7.5,15718.0,0.5,10716.0,1.9
2021-Q1,16.5,733.0,7.5,15849.0,0.3,6806.0,2.0
2021-Q2,15.6,717.0,7.3,15485.0,0.5,11283.0,2.3
2021-Q3,13.9,649.0,6.9,14667.0,0.7,14340.0,2.6
2021-Q4,13.1,618.0,6.5,13916.0,0.8,17317.0,2.8
2022-Q1,13.2,626.0,6.2,13378.0,0.7,16036.0,2.9
2022-Q2,12.4,584.0,6.2,13310.0,1.1,24439.0,3.1
2022-Q3,12.3,580.0,6.2,13304.0,1.0,24061.0,3.0
2022-Q4,11.9,563.0,6.1,13281.0,1.0,22939.0,3.0
2023-Q1,11.2,528.0,6.1,13157.0,1.4,31061.0,2.9
2023-Q2,11.3,531.0,6.0,13027.0,1.5,34844.0,2.8
2023-Q3,11.2,528.0,6.1,13216.0,1.6,36967.0,2.8
2023-Q4,10.6,499.0,6.1,13365.0,2.1,49121.0,2.6
2024-Q1,11.4,547.0,6.1,13309.0,2.7,63301.0,2.6
2024-Q2,10.0,474.0,6.0,13106.0,2.3,53814.0,2.4
2024-Q3,9.5,447.0,5.9,13056.0,2.0,46997.0,2.3
2024-Q4,9.6,455.0,5.8,12783.0,1.5,36007.0,2.3
2025-Q1,9.5,449.0,6.0,13169.0,2.0,48320.0,2.2
2025-Q2,8.9,422.0,6.0,13303.0,1.4,35286.0,2.1
2025-Q3,8.8,418.0,6.1,13398.0,1.8,43778.0,2.0
