NUTS_3,precinct,Δεν ψήφισε,Κατά,Υπέρ,Ψήφος Γάμος Ομοφύλων,Υπέρ_pct,Κατά_pct,ΔενΨήφισε_pct
EL301,Β1′ ΒΟΡΕΙΟΥ ΤΟΜ. ΑΘΗΝΩΝ,0,5,10,Ψήφος στην Ισότητα του Γάμου,66.66666666666666,33.33333333333333,0.0
EL302,Β2′ ΔΥΤΙΚΟΥ ΤΟΜ. ΑΘΗΝΩΝ,1,4,7,Ψήφος στην Ισότητα του Γάμου,58.333333333333336,33.33333333333333,8.333333333333332
EL303,Α’ ΑΘΗΝΩΝ,2,3,8,Ψήφος στην Ισότητα του Γάμου,61.53846153846154,23.076923076923077,15.384615384615385
EL304,Β3′ ΝΟΤΙΟΥ ΤΟΜ. ΑΘΗΝΩΝ,1,7,12,Ψήφος στην Ισότητα του Γάμου,60.0,35.0,5.0
EL305,Α’ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,3,4,5,Ψήφος στην Ισότητα του Γάμου,41.66666666666667,33.33333333333333,25.0
EL306,Β’ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,0,1,3,Ψήφος στην Ισότητα του Γάμου,75.0,25.0,0.0
EL307,Α’ ΠΕΙΡΑΙΩΣ,1,4,8,Ψήφος στην Ισότητα του Γάμου,61.53846153846154,30.76923076923077,7.6923076923076925
EL307,Β’ ΠΕΙΡΑΙΩΣ,1,4,8,Ψήφος στην Ισότητα του Γάμου,61.53846153846154,30.76923076923077,7.6923076923076925
EL411,ΛΕΣΒΟΥ,1,2,0,Ψήφος στην Ισότητα του Γάμου,0.0,66.66666666666666,33.33333333333333
EL412,ΣΑΜΟΥ,1,0,0,Ψήφος στην Ισότητα του Γάμου,0.0,0.0,100.0
EL413,ΧΙΟΥ,2,0,0,Ψήφος στην Ισότητα του Γάμου,0.0,0.0,100.0
EL421,ΔΩΔΕΚΑΝΗΣΟΥ,1,0,4,Ψήφος στην Ισότητα του Γάμου,80.0,0.0,20.0
EL422,ΚΥΚΛΑΔΩΝ,2,0,2,Ψήφος στην Ισότητα του Γάμου,50.0,0.0,50.0
EL431,ΗΡΑΚΛΕΙΟΥ,0,2,6,Ψήφος στην Ισότητα του Γάμου,75.0,25.0,0.0
EL432,ΛΑΣΙΘΙΟΥ,0,0,2,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL433,ΡΕΘΥΜΝΗΣ,1,0,1,Ψήφος στην Ισότητα του Γάμου,50.0,0.0,50.0
EL434,ΧΑΝΙΩΝ,1,0,3,Ψήφος στην Ισότητα του Γάμου,75.0,0.0,25.0
EL511,ΕΒΡΟΥ,1,2,1,Ψήφος στην Ισότητα του Γάμου,25.0,50.0,25.0
EL512,ΞΑΝΘΗΣ,2,0,1,Ψήφος στην Ισότητα του Γάμου,33.33333333333333,0.0,66.66666666666666
EL513,ΡΟΔΟΠΗΣ,1,1,1,Ψήφος στην Ισότητα του Γάμου,33.33333333333333,33.33333333333333,33.33333333333333
EL514,ΔΡΑΜΑΣ,1,1,1,Ψήφος στην Ισότητα του Γάμου,33.33333333333333,33.33333333333333,33.33333333333333
EL515,ΚΑΒΑΛΑΣ,0,1,3,Ψήφος στην Ισότητα του Γάμου,75.0,25.0,0.0
EL521,ΗΜΑΘΙΑΣ,0,1,3,Ψήφος στην Ισότητα του Γάμου,75.0,25.0,0.0
EL522,Α’ ΘΕΣΣΑΛΟΝΙΚΗΣ,3,10,13,Ψήφος στην Ισότητα του Γάμου,50.0,38.46153846153847,11.538461538461538
EL522,Β’ ΘΕΣΣΑΛΟΝΙΚΗΣ,3,10,13,Ψήφος στην Ισότητα του Γάμου,50.0,38.46153846153847,11.538461538461538
EL523,ΚΙΛΚΙΣ,1,0,2,Ψήφος στην Ισότητα του Γάμου,66.66666666666666,0.0,33.33333333333333
EL524,ΠΕΛΛΗΣ,1,1,2,Ψήφος στην Ισότητα του Γάμου,50.0,25.0,25.0
EL525,ΠΙΕΡΙΑΣ,1,2,1,Ψήφος στην Ισότητα του Γάμου,25.0,50.0,25.0
EL526,ΣΕΡΡΩΝ,0,3,2,Ψήφος στην Ισότητα του Γάμου,40.0,60.0,0.0
EL527,ΧΑΛΚΙΔΙΚΗΣ,1,0,2,Ψήφος στην Ισότητα του Γάμου,66.66666666666666,0.0,33.33333333333333
EL531,ΓΡΕΒΕΝΩΝ,1,0,4,Ψήφος στην Ισότητα του Γάμου,80.0,0.0,20.0
EL531,ΚΟΖΑΝΗΣ,1,0,4,Ψήφος στην Ισότητα του Γάμου,80.0,0.0,20.0
EL532,ΚΑΣΤΟΡΙΑΣ,0,0,1,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL533,ΦΛΩΡΙΝΗΣ,1,0,1,Ψήφος στην Ισότητα του Γάμου,50.0,0.0,50.0
EL541,ΑΡΤΗΣ,0,0,4,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL541,ΠΡΕΒΕΖΗΣ,0,0,4,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL542,ΘΕΣΠΡΩΤΙΑΣ,0,1,0,Ψήφος στην Ισότητα του Γάμου,0.0,100.0,0.0
EL543,ΙΩΑΝΝΙΝΩΝ,1,1,3,Ψήφος στην Ισότητα του Γάμου,60.0,20.0,20.0
EL611,ΚΑΡΔΙΤΣΗΣ,0,0,8,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL611,ΤΡΙΚΑΛΩΝ,0,0,8,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL612,ΛΑΡΙΣΗΣ,1,4,3,Ψήφος στην Ισότητα του Γάμου,37.5,50.0,12.5
EL613,ΜΑΓΝΗΣΙΑΣ,1,1,3,Ψήφος στην Ισότητα του Γάμου,60.0,20.0,20.0
EL621,ΖΑΚΥΝΘΟΥ,1,0,0,Ψήφος στην Ισότητα του Γάμου,0.0,0.0,100.0
EL622,ΚΕΡΚΥΡΑΣ,0,1,2,Ψήφος στην Ισότητα του Γάμου,66.66666666666666,33.33333333333333,0.0
EL623,ΚΕΦΑΛΛΗΝΙΑΣ,0,0,1,Ψήφος στην Ισότητα του Γάμου,100.0,0.0,0.0
EL624,ΛΕΥΚΑΔΟΣ,1,0,0,Ψήφος στην Ισότητα του Γάμου,0.0,0.0,100.0
