Κοινοβουλευτική Ομάδα,Δεν ψήφισε,Κατά,Υπέρ,Ψήφος Γάμος Ομοφύλων
Ανεξάρτητοι,1,3,0,Ψήφος στην Ισότητα του Γάμου
Ελληνική Λύση,0,12,0,Ψήφος στην Ισότητα του Γάμου
ΚΚΕ,0,21,0,Ψήφος στην Ισότητα του Γάμου
ΝΔ,31,21,106,Ψήφος στην Ισότητα του Γάμου
ΝΙΚΗ,0,10,0,Ψήφος στην Ισότητα του Γάμου
Νέα Αριστερά,2,0,9,Ψήφος στην Ισότητα του Γάμου
ΠΑΣΟΚ,11,0,21,Ψήφος στην Ισότητα του Γάμου
Πλεύση Ελευθερίας,0,0,6,Ψήφος στην Ισότητα του Γάμου
ΣΥΡΙΖΑ,3,0,33,Ψήφος στην Ισότητα του Γάμου
Σπαρτιάτες,0,10,0,Ψήφος στην Ισότητα του Γάμου
