country,Γυναίκες,Άνδρες,Σύνολο,country_gr,country_en
AT,83.7,78.8,81.3,Αυστρία,Austria
BE,84.3,79.4,81.9,Βέλγιο,Belgium
BG,75.1,68.0,71.4,Βουλγαρία,Bulgaria
CY,83.4,79.2,81.3,Κύπρος,Cyprus
CZ,80.5,74.1,77.2,Τσεχία,Czech Rep.
DE,83.3,78.4,80.8,Γερμανία,Germany
DK,83.3,79.6,81.5,Δανία,Denmark
EE,81.4,72.7,77.2,Εσθονία,Estonia
EL,82.9,77.4,80.2,Ελλάδα,Greece
ES,86.2,80.4,83.3,Ισπανία,Spain
EU27_2020,82.9,77.2,80.1, E.E.,E.U.
FI,84.6,79.3,81.9,Φινλανδία,Finland
FR,85.5,79.3,82.4,Γαλλία,France
HR,79.8,73.6,76.7,Κροατία,Croatia
HU,77.8,70.7,74.3,Ουγγαρία,Hungary
IE,84.3,80.5,82.4,Ιρλανδία,Ireland
IT,84.9,80.5,82.7,Ιταλια,Italy
LT,78.8,69.5,74.2,Λιθουανία,Lithuania
LU,84.8,80.5,82.7,Λουξεμβούργο,Luxembourg
LV,78.0,68.2,73.1,Λετονία,Latvia
MT,84.3,80.8,82.5,Μάλτα,Malta
NL,83.0,79.7,81.4,Ολλανδία,Netherlands
PL,79.6,71.6,75.5,Πολωνία,Poland
PT,84.4,78.5,81.5,Πορτογαλία,Portugal
RO,76.6,69.2,72.8,Ρουμανία,Romania
SE,84.9,81.3,83.1,Σουηδία,Sweden
SI,83.8,77.7,80.7,Σλοβενία,Slovenia
SK,78.2,71.2,74.6,Σλοβακία,Slovakia
