country,Γυναίκες,Άνδρες,Σύνολο,country_gr,country_en,eu_countries_wb_code
AT,84.3,79.8,82.1,Αυστρία,Austria,AUT
BE,84.4,80.3,82.4,Βέλγιο,Belgium,BEL
BG,79.5,72.2,75.8,Βουλγαρία,Bulgaria,BGR
CY,85.6,81.5,83.5,Κύπρος,Cyprus,CYP
CZ,83.0,77.1,80.1,Τσεχία,Czech Rep.,CZE
DE,83.5,78.9,81.2,Γερμανία,Germany,DEU
DK,83.9,80.2,82.0,Δανία,Denmark,DNK
EL,84.4,79.4,81.9,Ελλάδα,Greece,GRC
ES,86.5,81.4,84.0,Ισπανία,Spain,ESP
EU27_2020,84.1,78.9,81.5,E.E.,E.U.,EUU
FI,84.8,79.6,82.2,Φινλανδία,Finland,FIN
FR,85.8,80.2,83.0,Γαλλία,France,FRA
HR,81.8,76.0,78.9,Κροατία,Croatia,HRV
HU,79.9,73.7,76.8,Ουγγαρία,Hungary,HUN
IE,84.7,81.4,83.1,Ιρλανδία,Ireland,IRL
IT,85.7,81.6,83.7,Ιταλια,Italy,ITA
LT,81.6,73.0,77.5,Λιθουανία,Lithuania,LTU
LU,85.5,81.0,83.2,Λουξεμβούργο,Luxembourg,LUX
LV,81.2,71.4,76.4,Λετονία,Latvia,LVA
MT,84.8,81.2,83.0,Μάλτα,Malta,MLT
NL,83.3,80.5,81.9,Ολλανδία,Netherlands,NLD
PL,82.2,74.8,78.5,Πολωνία,Poland,POL
PT,85.2,79.7,82.5,Πορτογαλία,Portugal,PRT
RO,80.3,72.8,76.5,Ρουμανία,Romania,ROM
SE,85.3,82.3,83.8,Σουηδία,Sweden,SWE
SI,84.7,79.5,82.1,Σλοβενία,Slovenia,SVN
SK,81.7,75.2,78.4,Σλοβακία,Slovakia,SVK
