Year,Αυστραλία,Γαλλία,Γερμανία,Ελλάδα,Εσθονία,ΗΠΑ,Ηνωμένο Βασίλειο,Ιαπωνία,Ιρλανδία,Ισπανία,Ισραήλ,Καναδάς,Κολομβία,Κορέα,Κόστα Ρίκα,Λετονία,Λιθουανία,Λουξεμβούργο,Μεξικό,Νέα Ζηλανδία,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Ρουμανία,Σλοβακία,Σλοβενία,Τουρκία,Χιλή
2000,49.96,50.16,,37.64,27.54,28.53,34.06,28.39,40.51,29.27,0.0,37.64,,23.81,,25.5,37.8,44.71,33.1,45.18,47.38,27.86,32.7,34.85,19.52,34.11,,24.27,39.15
2001,49.51,50.88,,36.48,28.12,27.06,33.09,28.31,30.55,28.93,39.11,36.96,,26.09,,26.32,37.36,45.78,31.49,44.91,47.88,38.29,34.29,34.57,28.64,35.06,,24.38,
2002,50.04,51.08,,36.49,29.7,26.28,34.83,28.63,29.93,28.36,39.44,36.33,,27.31,,26.5,36.2,44.9,30.85,45.68,42.4,42.74,34.08,35.93,28.55,34.04,,28.2,
2003,49.82,51.7,,32.61,31.69,25.71,34.54,29.17,29.92,27.76,41.22,36.02,,27.3,,33.45,34.77,45.79,30.25,46.07,42.28,35.91,34.95,35.54,34.91,36.31,,31.04,43.71
2004,50.26,53.04,,32.69,33.65,24.96,35.63,29.55,30.84,28.38,40.45,35.87,,28.22,,34.92,35.91,45.01,29.93,46.76,41.6,35.6,34.79,35.68,33.42,35.1,,39.21,
2005,49.48,54.11,,34.08,32.36,24.49,36.91,29.31,32.02,29.64,39.9,35.93,,29.78,,30.08,35.13,45.31,29.92,47.28,40.77,35.15,33.88,35.44,31.66,34.61,43.13,39.44,
2006,46.35,51.05,,31.93,30.25,23.68,37.11,29.65,34.84,31.21,41.15,35.45,,30.62,,27.45,33.72,44.97,29.08,49.17,42.48,35.62,33.87,32.55,27.94,34.66,42.08,38.43,41.33
2007,45.47,50.76,,32.54,29.76,23.45,38.21,29.77,35.27,31.64,41.37,35.11,52.21,33.35,,28.6,31.65,45.26,28.26,49.37,42.03,34.39,32.07,32.75,26.28,34.55,40.72,37.9,
2008,45.01,50.66,,33.76,32.41,25.37,37.78,30.36,35.04,31.6,40.99,35.9,52.83,34.13,,31.58,32.62,44.59,28.64,50.51,42.05,34.17,34.84,33.38,28.24,33.65,40.62,37.56,
2009,44.61,50.88,,33.89,34.13,26.95,38.02,31.55,30.69,31.55,41.3,36.73,54.89,35.91,,36.99,34.14,45.31,28.35,51.43,42.28,34.2,37.46,34.25,31.71,35.53,40.74,37.76,43.91
2010,45.12,50.27,,39.65,33.95,28.43,37.98,32.63,37.02,31.69,41.05,37.92,52.33,35.86,61.12,38.23,39.73,45.65,26.55,50.66,40.66,34.71,37.17,35.93,31.51,35.65,48.03,38.51,44.07
2011,45.16,50.08,,41.4,32.06,27.96,38.46,33.3,36.7,32.07,41.57,38.35,52.88,35.82,60.32,40.55,38.61,46.02,27.05,50.37,40.35,36.29,37.11,35.89,33.12,35.78,49.37,39.39,42.99
2012,44.04,50.9,,35.0,31.63,27.17,39.05,33.3,37.52,31.92,41.5,38.62,54.52,34.11,63.75,39.1,38.49,45.72,27.31,51.01,40.34,39.65,38.5,35.53,32.54,35.78,50.49,40.25,42.82
