Year,Αυστραλία,Γαλλία,Γερμανία,Ελλάδα,Εσθονία,ΗΠΑ,Ηνωμένο Βασίλειο,Ιαπωνία,Ιρλανδία,Ισπανία,Ισραήλ,Καναδάς,Κολομβία,Κορέα,Κόστα Ρίκα,Λετονία,Λιθουανία,Λουξεμβούργο,Μεξικό,Νέα Ζηλανδία,Ολλανδία,Ουγγαρία,Πολωνία,Πορτογαλία,Ρουμανία,Σλοβακία,Σλοβενία,Τουρκία,Χιλή
2000,57.69,61.7,,48.31,34.16,35.76,40.86,32.22,48.01,36.45,0.0,41.4,,28.8,,35.82,47.2,52.02,,50.34,52.85,36.49,39.64,49.16,25.34,42.01,,45.81,64.03
2001,58.14,63.12,,46.81,34.88,34.49,40.17,32.12,37.19,36.03,53.82,40.38,,31.81,,36.98,46.65,53.27,,51.13,53.41,50.04,41.62,48.77,37.18,43.22,,46.02,
2002,57.52,63.17,,46.84,36.84,33.88,42.58,32.55,36.46,35.32,54.26,40.24,,33.42,,37.22,45.19,52.24,,51.59,47.67,56.98,41.74,50.68,37.06,41.8,,53.24,
2003,58.31,63.87,,41.86,39.31,33.23,42.17,33.08,36.43,34.58,55.18,40.03,,34.0,,43.38,43.41,53.27,,53.07,47.54,46.73,43.1,50.13,45.79,44.75,,58.58,70.89
2004,58.42,65.77,,41.97,41.75,32.29,43.1,33.59,37.45,35.34,54.07,39.39,,35.31,,45.28,44.83,52.36,,53.27,46.77,47.27,43.2,50.33,43.83,44.19,,74.02,
2005,57.46,67.03,,43.75,40.15,31.63,45.03,33.45,38.46,36.91,54.42,40.26,,37.29,,39.01,43.86,52.72,38.12,54.4,45.84,46.33,42.13,49.99,41.53,43.22,51.18,74.45,
2006,53.82,63.37,,43.65,37.04,30.69,45.41,33.84,42.13,38.69,56.63,40.0,,38.92,,35.6,41.94,53.82,37.64,56.0,49.26,47.67,42.2,47.4,37.14,44.54,51.18,72.54,64.98
2007,54.47,63.31,,44.5,35.78,31.42,46.64,34.08,42.73,39.22,57.3,39.64,87.87,42.86,,36.63,39.36,54.16,36.66,57.35,48.73,46.74,39.61,47.69,38.08,44.31,49.52,71.54,
2008,52.21,62.95,,46.16,37.83,34.13,46.08,34.64,42.12,39.17,57.01,41.44,85.2,43.6,,40.45,40.57,53.36,36.17,59.05,48.76,46.0,42.66,48.6,40.66,42.83,49.4,70.91,
2009,54.38,62.75,,46.34,39.83,37.12,46.14,36.18,37.61,39.1,56.35,41.92,86.74,45.2,,47.37,42.46,54.23,36.76,59.09,49.02,46.66,45.86,49.87,43.52,45.36,49.55,71.27,70.7
2010,54.28,62.11,,46.54,40.41,38.81,46.14,37.31,45.34,37.74,55.76,42.83,85.83,45.07,75.27,48.97,49.83,55.41,34.86,58.8,47.33,47.42,45.31,52.78,42.65,45.69,58.99,69.77,70.97
2011,53.57,61.98,,48.58,38.16,38.34,46.91,38.18,44.43,38.19,56.0,43.86,83.66,45.48,76.58,50.65,48.42,55.86,36.29,58.82,46.97,49.5,45.23,52.73,45.49,45.67,60.63,71.37,67.41
2012,52.73,63.07,,41.08,37.66,37.74,47.39,38.33,45.34,38.01,56.08,44.02,83.96,42.94,78.17,48.84,48.27,55.51,36.33,59.47,46.96,53.9,48.15,52.2,45.25,45.12,62.0,72.94,67.15
2013,53.96,62.81,,43.33,38.83,37.35,47.14,39.01,44.65,37.87,57.49,43.93,84.01,44.22,76.82,46.68,55.78,54.83,36.82,59.14,46.6,53.86,49.56,52.28,47.71,45.54,63.77,72.22,67.17
2014,53.05,62.59,,42.08,39.89,36.65,47.95,39.29,40.46,36.99,54.85,43.99,82.13,45.85,74.62,49.23,51.17,55.0,37.47,59.86,46.9,53.56,51.04,54.87,51.39,45.11,60.02,68.96,67.64
2015,53.3,62.34,48.17,42.35,41.35,35.84,48.69,39.08,39.23,37.07,57.03,44.43,82.61,48.59,76.64,51.83,51.84,54.48,38.66,60.06,46.62,52.5,51.28,56.37,54.91,47.3,59.8,69.92,66.21
2016,53.82,62.01,47.15,43.96,42.37,34.86,52.71,39.72,42.35,37.68,57.66,44.23,85.65,50.41,77.5,50.72,55.84,54.06,38.44,60.52,46.95,51.2,52.7,58.56,55.75,47.72,58.72,74.93,68.89
2017,54.25,61.79,48.59,43.52,43.47,33.72,53.57,41.08,42.16,39.99,58.0,45.48,85.53,52.84,75.32,48.31,53.57,54.42,40.02,60.37,47.32,52.06,53.98,60.16,59.66,47.97,58.21,71.32,70.26
2018,53.59,61.61,46.43,45.5,43.1,32.73,54.49,41.65,49.66,41.01,58.08,51.4,86.8,58.57,75.66,46.74,49.69,54.72,42.22,61.4,47.13,50.6,51.28,63.26,58.39,49.29,58.24,70.98,69.65
2019,53.84,61.5,46.74,50.15,43.34,31.62,55.1,41.67,48.83,49.55,58.89,51.23,87.17,62.66,76.55,43.88,49.17,55.48,46.0,64.44,47.18,49.37,51.15,63.3,56.56,49.38,58.74,70.97,70.26
2020,52.6,61.19,46.24,50.8,45.54,29.47,57.56,44.71,47.84,51.45,54.53,48.87,90.65,62.45,78.89,41.76,48.78,53.86,51.34,64.65,46.62,48.36,55.29,65.8,57.01,51.77,58.81,69.1,70.94
2021,51.54,60.97,44.75,49.99,42.6,29.06,56.97,44.47,47.18,48.46,53.13,48.93,90.85,61.36,88.31,43.99,46.69,54.85,56.68,67.61,46.41,45.53,53.82,65.07,54.9,52.41,60.41,70.42,73.13
2022,53.6,60.89,48.1,45.29,40.55,27.38,57.93,45.45,45.49,50.99,51.44,49.06,89.89,60.86,87.92,40.98,47.53,53.37,63.03,67.42,44.77,47.73,52.79,58.8,54.7,50.76,61.69,70.2,68.51
2023,55.18,62.22,51.54,46.98,40.13,25.96,59.2,46.06,46.94,52.57,49.83,49.61,91.34,60.95,90.3,44.85,48.72,54.37,68.32,66.54,47.47,48.09,54.04,58.67,56.2,50.76,62.95,64.34,70.07
2024,53.88,62.48,50.55,48.5,41.85,25.02,61.11,46.79,50.11,53.39,50.0,49.88,92.31,60.5,87.11,45.71,48.52,54.11,73.7,68.65,48.29,50.21,59.13,58.85,56.75,51.02,60.76,56.28,74.64
