date,AL,BE,BG,CY,CZ,DE,EE,EL,ES,FR,HR,HU,IE,LT,LU,LV,MD,ME,MK,MT,NL,PL,PT,RO,RS,SI,SK,TR,UA,UK,US
1999-S1,,1074.0,31.0,,92.0,,80.0,505.0,486.0,1036.0,,89.0,,92.0,1162.0,75.0,,,,465.0,1064.0,159.0,357.0,27.0,33.0,361.0,69.0,214.0,,,765.0
1999-S2,45.0,1096.0,34.0,,99.0,,80.0,512.0,486.0,1049.0,,90.0,,104.0,1162.0,80.0,2.0,,,483.0,1078.0,160.0,357.0,27.0,33.0,348.0,79.0,215.0,18.0,902.0,864.0
2000-S1,47.0,1096.0,34.0,,111.0,,89.0,526.0,496.0,1049.0,,100.0,,107.0,1191.0,85.0,2.0,,,505.0,1092.0,161.0,371.0,25.0,33.0,373.0,94.0,202.0,14.0,952.0,889.0
2000-S2,52.0,1096.0,38.0,,126.0,,89.0,534.0,496.0,1083.0,,98.0,945.0,113.0,1221.0,88.0,2.0,,,510.0,1111.0,167.0,371.0,34.0,40.0,371.0,94.0,201.0,23.0,936.0,934.0
2001-S1,53.0,1118.0,40.0,,143.0,,102.0,544.0,506.0,1083.0,,151.0,945.0,116.0,1259.0,87.0,9.0,,,530.0,1155.0,197.0,390.0,41.0,7.0,395.0,100.0,224.0,23.0,977.0,959.0
2001-S2,60.0,1140.0,43.0,,148.0,,102.0,552.0,506.0,1127.0,,164.0,1009.0,127.0,1290.0,111.0,9.0,,,548.0,1180.0,226.0,390.0,57.0,49.0,386.0,104.0,157.0,25.0,1011.0,1053.0
2002-S1,63.0,1140.0,51.0,,178.0,,118.0,572.0,516.0,1127.0,,204.0,1009.0,122.0,1290.0,108.0,9.0,,,557.0,1207.0,217.0,406.0,50.0,77.0,433.0,115.0,175.0,30.0,1109.0,1013.0
2002-S2,68.0,1163.0,51.0,,195.0,,118.0,582.0,516.0,1154.0,,204.0,1009.0,125.0,1322.0,100.0,7.0,,,532.0,1232.0,187.0,406.0,52.0,93.0,418.0,112.0,159.0,32.0,1039.0,895.0
2003-S1,67.0,1163.0,56.0,,196.0,,138.0,607.0,526.0,1154.0,,212.0,1073.0,125.0,1369.0,114.0,7.0,,,551.0,1249.0,199.0,416.0,71.0,101.0,450.0,134.0,176.0,33.0,1064.0,851.0
2003-S2,74.0,1186.0,56.0,,196.0,,138.0,607.0,526.0,1215.0,,188.0,1073.0,125.0,1369.0,108.0,6.0,,,540.0,1265.0,179.0,416.0,66.0,105.0,443.0,134.0,189.0,30.0,998.0,781.0
2004-S1,75.0,1186.0,61.0,,207.0,,159.0,631.0,537.0,1215.0,,202.0,1073.0,130.0,1403.0,119.0,6.0,,,541.0,1265.0,175.0,426.0,68.0,116.0,471.0,148.0,239.0,31.0,1054.0,707.0
2004-S2,88.0,1186.0,61.0,,211.0,,159.0,631.0,573.0,1286.0,,211.0,1183.0,145.0,1403.0,122.0,7.0,,,548.0,1265.0,182.0,426.0,69.0,124.0,465.0,152.0,246.0,32.0,1108.0,734.0
