date,AL,BE,BG,CY,CZ,DE,EE,EL,ES,FR,HR,HU,IE,LT,LU,LV,ME,MK,MT,NL,PL,PT,RO,RS,SI,SK,TR,UK,US
1999-S1,85.0,950.0,83.0,,180.0,,133.0,582.0,535.0,914.0,,177.0,,206.0,1040.0,145.0,,,632.0,995.0,290.0,433.0,56.0,,449.0,160.0,301.0,,761.0
1999-S2,93.0,970.0,90.0,,200.0,,133.0,590.0,535.0,926.0,,177.0,,206.0,1040.0,145.0,,,632.0,1009.0,290.0,433.0,72.0,,449.0,192.0,74.0,624.0,761.0
2000-S1,94.0,1005.0,89.0,,220.0,,148.0,604.0,547.0,951.0,,189.0,,211.0,1069.0,146.0,,,642.0,1041.0,281.0,450.0,52.0,26.0,467.0,203.0,283.0,646.0,757.0
2000-S2,104.0,1005.0,99.0,,247.0,,148.0,613.0,547.0,982.0,,189.0,797.0,211.0,1096.0,146.0,,,642.0,1059.0,293.0,450.0,81.0,32.0,485.0,203.0,307.0,646.0,757.0
2001-S1,103.0,1021.0,99.0,,279.0,,162.0,635.0,559.0,1004.0,,280.0,774.0,213.0,1110.0,149.0,,,653.0,1079.0,314.0,466.0,90.0,15.0,499.0,225.0,253.0,682.0,754.0
2001-S2,112.0,1041.0,107.0,,279.0,,162.0,644.0,559.0,1045.0,,280.0,826.0,213.0,1138.0,179.0,,,653.0,1103.0,314.0,466.0,126.0,107.0,499.0,225.0,304.0,682.0,754.0
2002-S1,110.0,1054.0,126.0,,307.0,,189.0,676.0,576.0,1048.0,,337.0,792.0,220.0,1149.0,174.0,,,665.0,1127.0,316.0,474.0,104.0,149.0,535.0,248.0,284.0,744.0,752.0
2002-S2,137.0,1075.0,126.0,,307.0,,189.0,688.0,576.0,1073.0,,337.0,792.0,220.0,1178.0,174.0,,,665.0,1150.0,316.0,474.0,130.0,182.0,535.0,248.0,321.0,744.0,752.0
2003-S1,138.0,1062.0,140.0,,342.0,,220.0,700.0,577.0,1040.0,,328.0,842.0,233.0,1224.0,195.0,,,715.0,1134.0,336.0,493.0,155.0,190.0,567.0,261.0,308.0,771.0,756.0
2003-S2,148.0,1083.0,140.0,,342.0,,220.0,700.0,577.0,1095.0,,328.0,842.0,233.0,1224.0,195.0,,,715.0,1148.0,336.0,493.0,155.0,205.0,567.0,261.0,308.0,771.0,756.0
2004-S1,149.0,1083.0,146.0,,365.0,,248.0,713.0,573.0,1084.0,,331.0,846.0,241.0,1223.0,210.0,,,720.0,1169.0,339.0,501.0,163.0,223.0,599.0,273.0,393.0,842.0,751.0
2004-S2,160.0,1083.0,146.0,,365.0,,248.0,713.0,611.0,1148.0,,331.0,933.0,268.0,1223.0,210.0,,,720.0,1169.0,339.0,501.0,163.0,251.0,599.0,273.0,412.0,842.0,751.0
2005-S1,161.0,1108.0,180.0,,394.0,,263.0,745.0,638.0,1171.0,,351.0,937.0,259.0,1288.0,196.0,,,742.0,1183.0,339.0,525.0,160.0,250.0,626.0,297.0,428.0,887.0,755.0
2005-S2,176.0,1108.0,180.0,,394.0,,263.0,745.0,638.0,1109.0,,351.0,1024.0,285.0,1288.0,196.0,,,742.0,1183.0,339.0,525.0,160.0,266.0,626.0,297.0,428.0,887.0,755.0
2006-S1,173.0,1124.0,179.0,,408.0,,276.0,788.0,670.0,1102.0,,376.0,1021.0,270.0,1333.0,198.0,,,744.0,1201.0,361.0,542.0,163.0,277.0,645.0,308.0,438.0,931.0,750.0
2006-S2,206.0,1124.0,179.0,,429.0,,276.0,788.0,670.0,1135.0,,376.0,1021.0,294.0,1333.0,198.0,,,744.0,1212.0,361.0,542.0,163.0,295.0,645.0,308.0,438.0,931.0,750.0
2007-S1,204.0,1141.0,191.0,,436.0,,314.0,786.0,691.0,1136.0,,374.0,1104.0,282.0,1358.0,239.0,,,770.0,1246.0,388.0,550.0,184.0,287.0,640.0,339.0,447.0,976.0,749.0
2007-S2,204.0,1163.0,191.0,,436.0,,314.0,826.0,691.0,1159.0,,374.0,1150.0,329.0,1358.0,239.0,,,770.0,1261.0,388.0,550.0,184.0,334.0,640.0,339.0,465.0,976.0,749.0
2008-S1,230.0,1183.0,218.0,,433.0,,368.0,856.0,722.0,1145.0,,391.0,1129.0,352.0,1357.0,294.0,,,778.0,1273.0,465.0,576.0,224.0,356.0,649.0,366.0,476.0,988.0,839.0
2008-S2,244.0,1206.0,218.0,,433.0,,368.0,856.0,722.0,1182.0,508.0,391.0,1129.0,352.0,1390.0,294.0,,,778.0,1293.0,465.0,576.0,224.0,397.0,683.0,366.0,500.0,988.0,839.0
2009-S1,237.0,1243.0,229.0,,434.0,,375.0,858.0,735.0,1176.0,500.0,401.0,1162.0,350.0,1373.0,339.0,,,787.0,1280.0,509.0,601.0,258.0,410.0,672.0,402.0,496.0,980.0,919.0
2009-S2,251.0,1243.0,229.0,,434.0,,375.0,905.0,735.0,1191.0,512.0,401.0,1162.0,350.0,1407.0,339.0,,,787.0,1296.0,509.0,601.0,258.0,408.0,672.0,402.0,517.0,980.0,919.0
2010-S1,255.0,1247.0,232.0,,434.0,,381.0,884.0,741.0,1203.0,516.0,413.0,1216.0,360.0,1383.0,363.0,,,830.0,1283.0,543.0,636.0,260.0,403.0,687.0,435.0,525.0,987.0,1009.0
2010-S2,269.0,1247.0,232.0,,434.0,,381.0,884.0,741.0,1203.0,516.0,413.0,1216.0,360.0,1417.0,363.0,,,830.0,1291.0,543.0,636.0,260.0,401.0,844.0,435.0,548.0,987.0,1009.0
2011-S1,271.0,1272.0,236.0,,434.0,,375.0,884.0,749.0,1225.0,519.0,443.0,1207.0,355.0,1436.0,390.0,,,824.0,1284.0,572.0,646.0,287.0,403.0,869.0,444.0,549.0,996.0,995.0
2011-S2,285.0,1298.0,236.0,,434.0,,375.0,898.0,749.0,1225.0,519.0,443.0,1207.0,355.0,1436.0,390.0,,,824.0,1293.0,572.0,646.0,287.0,432.0,869.0,444.0,577.0,996.0,995.0
2012-S1,294.0,1295.0,266.0,,432.0,,384.0,911.0,754.0,1249.0,526.0,514.0,1200.0,354.0,1464.0,388.0,,,842.0,1298.0,623.0,650.0,296.0,416.0,892.0,455.0,571.0,1010.0,995.0
2012-S2,309.0,1320.0,286.0,,432.0,,384.0,711.0,754.0,1274.0,526.0,514.0,1200.0,354.0,1464.0,388.0,,,842.0,1307.0,623.0,650.0,296.0,470.0,892.0,455.0,605.0,1010.0,995.0
2013-S1,302.0,1343.0,313.0,,439.0,,417.0,740.0,773.0,1294.0,530.0,541.0,1179.0,448.0,1514.0,393.0,,407.0,840.0,1312.0,666.0,663.0,290.0,445.0,917.0,478.0,588.0,1002.0,979.0
2013-S2,316.0,1343.0,313.0,,439.0,,417.0,740.0,773.0,1294.0,563.0,541.0,1179.0,448.0,1514.0,393.0,502.0,407.0,840.0,1319.0,666.0,663.0,331.0,441.0,917.0,478.0,614.0,1002.0,979.0
2014-S1,314.0,1351.0,353.0,,472.0,,458.0,771.0,782.0,1301.0,577.0,546.0,1143.0,448.0,1527.0,434.0,507.0,441.0,855.0,1303.0,691.0,656.0,348.0,437.0,916.0,500.0,605.0,1010.0,972.0
2014-S2,314.0,1351.0,353.0,,472.0,,458.0,771.0,782.0,1301.0,577.0,546.0,1143.0,448.0,1527.0,434.0,507.0,441.0,855.0,1312.0,691.0,656.0,368.0,436.0,916.0,500.0,640.0,1010.0,972.0
2015-S1,326.0,1351.0,370.0,,505.0,1350.0,503.0,775.0,798.0,1301.0,587.0,552.0,1139.0,468.0,1532.0,492.0,513.0,443.0,859.0,1316.0,726.0,681.0,398.0,459.0,920.0,538.0,647.0,1037.0,978.0
2015-S2,326.0,1351.0,390.0,,505.0,1350.0,503.0,775.0,798.0,1301.0,587.0,552.0,1139.0,507.0,1532.0,492.0,513.0,472.0,859.0,1321.0,726.0,681.0,428.0,458.0,920.0,538.0,686.0,1037.0,978.0
2016-S1,314.0,1325.0,433.0,,536.0,1349.0,546.0,780.0,802.0,1305.0,604.0,571.0,1195.0,538.0,1504.0,497.0,515.0,474.0,861.0,1316.0,758.0,708.0,435.0,448.0,910.0,520.0,798.0,1061.0,947.0
2016-S2,314.0,1352.0,433.0,,536.0,1349.0,546.0,780.0,802.0,1305.0,604.0,571.0,1195.0,584.0,1504.0,497.0,515.0,493.0,861.0,1327.0,758.0,708.0,518.0,448.0,910.0,520.0,798.0,1140.0,947.0
2017-S1,313.0,1341.0,459.0,,593.0,1414.0,581.0,787.0,872.0,1310.0,634.0,626.0,1188.0,575.0,1552.0,507.0,506.0,493.0,853.0,1352.0,800.0,731.0,500.0,469.0,930.0,528.0,781.0,1137.0,943.0
2017-S2,341.0,1368.0,459.0,,593.0,1414.0,581.0,787.0,872.0,1310.0,634.0,626.0,1188.0,575.0,1552.0,507.0,506.0,570.0,853.0,1364.0,800.0,731.0,580.0,469.0,930.0,528.0,781.0,1185.0,943.0
2018-S1,336.0,1363.0,503.0,,643.0,1424.0,602.0,787.0,891.0,1315.0,657.0,656.0,1203.0,593.0,1575.0,561.0,501.0,558.0,864.0,1380.0,826.0,768.0,732.0,512.0,968.0,568.0,775.0,1173.0,927.0
2018-S2,336.0,1363.0,503.0,,643.0,1424.0,602.0,787.0,891.0,1315.0,657.0,656.0,1203.0,593.0,1575.0,561.0,501.0,558.0,864.0,1394.0,826.0,768.0,732.0,506.0,968.0,568.0,775.0,1228.0,927.0
2019-S1,363.0,1387.0,534.0,,693.0,1458.0,636.0,787.0,1094.0,1341.0,709.0,680.0,1215.0,816.0,1583.0,552.0,505.0,586.0,881.0,1380.0,875.0,797.0,790.0,547.0,1021.0,604.0,851.0,1225.0,894.0
