Α/Α,ΚΩΔ. ΤΠΔ,ΟΝΟΜΑΣΙΑ ΔΗΜΟΥ,ΝΟΜΟΣ,ΠΟΣΟ ΜΗΝΙΑΙΑΣ ΤΑΚΤΙΚΗΣ,ΣΥΜΨΗΦΙΣΜΟΣ ΟΦΕΙΛΩΝ ΒΑΣΕΙ ΤΟΥ ΑΡΘΡΟΥ 79 ΤΟΥ Ν.4316/2014,ΠΑΡΑΚΡΑΤΗΣΗ ΒΑΣΕΙ ΤΗΣ ΠΑΡ.5Α ΤΟΥ ΑΡΘΡΟΥ 43 ΤΗΣ ΑΠΟ 30.3.2020 ΠΝΠ,ΠΑΡΑΚΡΑΤΗΣΗ ΒΑΣΕΙ ΤΗΣ ΑΡΙΘΜ. 5711/10.3.20 17 ΚΥΑ,ΠΡΟΚΑΤΑΒΟΛΕΣ,ΑΠΟΔΟΤΕΟ ΠΟΣΟ,population_2021,funding,funding_per_capita
1,50102,ΑΓΡΙΝΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"1.084.716,09","0,00","0,00","0,00","0,00","1.084.716,09",88971,1084716,"12,19"
2,50106,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,"229.102,32","0,00","0,00","0,00","0,00","229.102,32",14656,229102,"15,63"
3,50105,ΑΜΦΙΛΟΧΙΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,"244.302,55","0,00","0,00","0,00","0,00","244.302,55",15073,244303,"16,21"
4,50110,ΘΕΡΜΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"103.062,63","0,00","0,00","0,00","0,00","103.062,63",5742,103063,"17,95"
5,50117,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"443.201,33","0,00","0,00","0,00","0,00","443.201,33",31944,443201,"13,87"
6,50118,ΝΑΥΠΑΚΤΙΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,"402.103,09","0,00","0,00","0,00","0,00","402.103,09",25121,402103,"16,01"
7,50109,ΞΗΡΟΜΕΡΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,"143.470,55","0,00","0,00","0,00","0,00","143.470,55",10220,143471,"14,04"
8,51101,ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,ΑΡΓΟΛΙΔΑΣ,"449.289,12","0,00","0,00","0,00","0,00","449.289,12",40009,449289,"11,23"
9,51103,ΕΠΙΔΑΥΡΟΥ,ΑΡΓΟΛΙΔΑΣ,"88.816,09","0,00","0,00","0,00","0,00","88.816,09",7089,88816,"12,53"
10,51106,ΕΡΜΙΟΝΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,"144.763,00","0,00","0,00","0,00","0,00","144.763,00",13598,144763,"10,65"
11,51112,ΝΑΥΠΛΙΕΩΝ,ΑΡΓΟΛΙΔΑΣ,"442.272,93","0,00","15.861,11","0,00","0,00","426.411,82",32586,442273,"13,57"
12,51203,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,"143.080,85","0,00","0,00","0,00","0,00","143.080,85",9538,143081,"15,00"
13,51206,ΓΟΡΤΥΝΙΑΣ,ΑΡΚΑΔΙΑΣ,"209.496,24","0,00","0,00","0,00","0,00","209.496,24",8015,209496,"26,14"
14,51215,ΜΕΓΑΛΟΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,"198.363,32","0,00","0,00","0,00","0,00","198.363,32",8791,198363,"22,56"
15,51213,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,"118.843,46","0,00","0,00","0,00","0,00","118.843,46",7263,118843,"16,36"
16,51219,ΤΡΙΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,"577.808,33","0,00","0,00","0,00","0,00","577.808,33",43944,577808,"13,15"
17,53105,ΑΡΤΑΙΩΝ,ΑΡΤΗΣ,"584.683,27","0,00","0,00","0,00","0,00","584.683,27",41633,584683,"14,04"
18,53108,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΗΣ,"87.762,51","0,00","0,00","0,00","0,00","87.762,51",5321,87763,"16,49"
19,53102,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΗΣ,"102.926,81","0,00","0,00","0,00","0,00","102.926,81",5562,102927,"18,51"
20,53111,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΗΣ,"152.603,74","0,00","0,00","0,00","0,00","152.603,74",11411,152604,"13,37"
21,59501,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,ΑΤΤΙΚΗΣ,"264.087,82","0,00","0,00","440,74","0,00","263.647,08",26759,264088,"9,87"
22,59502,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΤΤΙΚΗΣ,"610.041,88","0,00","0,00","1.018,11","0,00","609.023,77",62157,610042,"9,81"
23,59503,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,ΑΤΤΙΚΗΣ,"590.441,37","0,00","0,00","985,40","0,00","589.455,97",71747,590441,"8,23"
24,59504,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ-ΚΑΜΑΤΕΡΟΥ,ΑΤΤΙΚΗΣ,"587.819,21","0,00","0,00","981,03","0,00","586.838,18",61427,587819,"9,57"
25,59817,ΑΓΚΙΣΤΡΙΟΥ,ΑΤΤΙΚΗΣ,"27.768,03","0,00","0,00","46,33","0,00","27.721,70",1107,27768,"25,08"
26,59505,ΑΘΗΝΑΙΩΝ,ΑΤΤΙΚΗΣ,"6.263.282,21","0,00","0,00","10.452,95","0,00","6.252.829,26",637798,6263282,"9,82"
27,59506,ΑΙΓΑΛΕΩ,ΑΤΤΙΚΗΣ,"718.331,77","0,00","0,00","1.198,84","0,00","717.132,93",64828,718332,"11,08"
28,59801,ΑΙΓΙΝΑΣ,ΑΤΤΙΚΗΣ,"129.292,30","0,00","0,00","215,78","0,00","129.076,52",12938,129292,"9,99"
29,59507,ΑΛΙΜΟΥ,ΑΤΤΙΚΗΣ,"404.096,24","0,00","0,00","674,41","0,00","403.421,83",42872,404096,"9,43"
30,59508,ΑΜΑΡΟΥΣΙΟΥ,ΑΤΤΙΚΗΣ,"599.229,37","28.316,69","0,00","1.000,07","0,00","569.912,61",70519,599229,"8,50"
31,59702,ΑΣΠΡΟΠΥΡΓΟΥ,ΑΤΤΙΚΗΣ,"269.834,47","0,00","0,00","450,33","0,00","269.384,14",31420,269834,"8,59"
32,59604,ΑΧΑΡΝΩΝ,ΑΤΤΙΚΗΣ,"852.307,53","0,00","0,00","1.422,44","0,00","850.885,09",108130,852308,"7,88"
33,59606,ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,ΑΤΤΙΚΗΣ,"367.310,26","0,00","0,00","613,01","0,00","366.697,25",50585,367310,"7,26"
34,59510,ΒΡΙΛΗΣΣΙΩΝ,ΑΤΤΙΚΗΣ,"252.151,18","0,00","0,00","420,82","0,00","251.730,36",32422,252151,"7,78"
35,59511,ΒΥΡΩΝΟΣ,ΑΤΤΙΚΗΣ,"587.483,55","0,00","0,00","980,47","0,00","586.503,08",59134,587484,"9,93"
36,59512,ΓΑΛΑΤΣΙΟΥ,ΑΤΤΙΚΗΣ,"515.332,87","0,00","0,00","860,05","0,00","514.472,82",57917,515333,"8,90"
37,59513,ΓΛΥΦΑΔΑΣ,ΑΤΤΙΚΗΣ,"687.426,43","0,00","0,00","1.147,26","0,00","686.279,17",89605,687426,"7,67"
38,59514,ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ,ΑΤΤΙΚΗΣ,"357.099,91","0,00","0,00","595,97","0,00","356.503,94",33850,357100,"10,55"
39,59601,ΔΙΟΝΥΣΟΥ,ΑΤΤΙΚΗΣ,"304.158,52","0,00","0,00","507,62","0,00","303.650,90",41748,304159,"7,29"
40,59704,ΕΛΕΥΣΙΝΑΣ,ΑΤΤΙΚΗΣ,"398.377,45","0,00","0,00","664,86","0,00","397.712,59",29619,398377,"13,45"
41,59509,ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΤΤΙΚΗΣ,"562.911,30","0,00","0,00","939,46","0,00","561.971,84",49722,562911,"11,32"
42,59516,ΖΩΓΡΑΦΟΥ,ΑΤΤΙΚΗΣ,"682.445,97","0,00","0,00","1.138,95","0,00","681.307,02",69857,682446,"9,77"
43,59517,ΗΛΙΟΥΠΟΛΕΩΣ,ΑΤΤΙΚΗΣ,"705.885,72","0,00","0,00","1.178,07","0,00","704.707,65",76708,705886,"9,20"
44,59518,ΗΡΑΚΛΕΙΟΥ,ΑΤΤΙΚΗΣ,"459.533,38","0,00","0,00","766,93","0,00","458.766,45",50495,459533,"9,10"
45,59519,ΙΛΙΟΥ,ΑΤΤΙΚΗΣ,"764.252,35","0,00","0,00","1.275,48","0,00","762.976,87",83523,764252,"9,15"
46,59520,ΚΑΙΣΑΡΙΑΝΗΣ,ΑΤΤΙΚΗΣ,"249.781,51","0,00","0,00","416,87","81.250,00","168.114,64",26260,249782,"9,51"
47,59521,ΚΑΛΛΙΘΕΑΣ,ΑΤΤΙΚΗΣ,"888.676,94","0,00","0,00","1.483,13","0,00","887.193,81",96118,888677,"9,25"
48,59809,ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ,ΑΤΤΙΚΗΣ,"798.398,36","0,00","0,00","1.332,47","0,00","797.065,89",89386,798398,"8,93"
49,59523,ΚΗΦΙΣΙΑΣ,ΑΤΤΙΚΗΣ,"590.899,97","0,00","0,00","986,17","0,00","589.913,80",72860,590900,"8,11"
50,59810,ΚΟΡΥΔΑΛΛΟΥ,ΑΤΤΙΚΗΣ,"541.369,20","25.582,50","0,00","903,50","0,00","514.883,20",61247,541369,"8,84"
51,59612,ΚΡΩΠΙΑΣ,ΑΤΤΙΚΗΣ,"225.056,44","0,00","0,00","375,60","0,00","224.680,84",29432,225056,"7,65"
52,59803,ΚΥΘΗΡΩΝ,ΑΤΤΙΚΗΣ,"92.250,18","0,00","0,00","153,96","0,00","92.096,22",3237,92250,"28,50"
53,59613,ΛΑΥΡΕΩΤΙΚΗΣ,ΑΤΤΙΚΗΣ,"231.440,14","0,00","0,00","386,26","0,00","231.053,88",25608,231440,"9,04"
54,59538,ΛΥΚΟΒΡΥΣΗΣ-ΠΕΥΚΗΣ,ΑΤΤΙΚΗΣ,"260.487,05","0,00","0,00","434,73","0,00","260.052,32",30996,260487,"8,40"
55,59707,ΜΑΝΔΡΑΣ-ΕΙΔΥΛΛΙΑΣ,ΑΤΤΙΚΗΣ,"175.086,15","0,00","0,00","292,21","0,00","174.793,94",17524,175086,"9,99"
56,59614,ΜΑΡΑΘΩΝΟΣ,ΑΤΤΙΚΗΣ,"263.772,49","0,00","0,00","440,22","0,00","263.332,27",31448,263772,"8,39"
57,59615,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΑΤΤΙΚΗΣ,"180.599,30","0,00","0,00","301,41","0,00","180.297,89",21284,180599,"8,49"
58,59708,ΜΕΓΑΡΕΩΝ,ΑΤΤΙΚΗΣ,"335.513,48","0,00","0,00","559,95","0,00","334.953,53",38046,335513,"8,82"
59,59526,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΑΤΤΙΚΗΣ,"239.954,54","0,00","0,00","400,47","0,00","239.554,07",30170,239955,"7,95"
60,59527,ΜΟΣΧΑΤΟΥ-ΤΑΥΡΟΥ,ΑΤΤΙΚΗΣ,"365.432,90","0,00","0,00","609,88","0,00","364.823,02",39507,365433,"9,25"
61,59529,ΝΕΑΣ ΙΩΝΙΑΣ,ΑΤΤΙΚΗΣ,"646.822,65","0,00","0,00","1.079,50","0,00","645.743,15",64107,646823,"10,09"
62,59530,ΝΕΑΣ ΣΜΥΡΝΗΣ,ΑΤΤΙΚΗΣ,"643.888,63","0,00","0,00","1.074,60","0,00","642.814,03",72546,643889,"8,88"
63,59811,ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΑΤΤΙΚΗΣ,"942.752,44","0,00","0,00","1.573,38","0,00","941.179,06",103355,942752,"9,12"
64,59617,ΠΑΙΑΝΙΑΣ,ΑΤΤΙΚΗΣ,"206.652,22","0,00","0,00","344,89","0,00","206.307,33",27916,206652,"7,40"
65,59534,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,ΑΤΤΙΚΗΣ,"549.757,61","0,00","0,00","917,50","0,00","548.840,11",64879,549758,"8,47"
66,59608,ΠΑΛΛΗΝΗΣ,ΑΤΤΙΚΗΣ,"465.746,47","0,00","0,00","777,30","0,00","464.969,17",60435,465746,"7,71"
