level,code,description
2,EL,ΕΛΛΑΔΑ (ELLADA)
3,EL1,ΒΟΡΕΙΑ ΕΛΛΑΔΑ (VOREIA ELLADA)
3,EL2,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ (KENTRIKI ELLADA)
3,EL3,ATTIKΗ (ATTIKI)
3,EL4,"NΗΣΙΑ ΑΙΓΑΙΟΥ, KΡΗΤΗ (NISIA AIGAIOU, KRITI)"
3,ELZ,EXTRA-REGIO NUTS 1
2,EL,ΕΛΛΑΔΑ (ELLADA)
3,EL11,"Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)"
3,EL12,Κεντρική Μακεδονία (Kentriki Makedonia)
3,EL13,Δυτική Μακεδονία (Dytiki Makedonia)
3,EL14,Θεσσαλία (Thessalia)
3,EL21,Ήπειρος (Ipeiros)
3,EL22,Ιόνια Νησιά (Ionia Nisia)
3,EL23,Δυτική Ελλάδα (Dytiki Ellada)
3,EL24,Στερεά Ελλάδα (Sterea Ellada)
3,EL25,Πελοπόννησος (Peloponnisos)
3,EL30,Aττική (Attiki)
3,EL41,Βόρειο Αιγαίο (Voreio Aigaio)
3,EL42,Νότιο Αιγαίο (Notio Aigaio)
3,EL43,Κρήτη (Kriti)
3,ELZZ,Extra-Regio NUTS 2
2,EL,ΕΛΛΑΔΑ (ELLADA)
3,EL111,Έβρος (Evros)
3,EL112,Ξάνθη (Xanthi)
3,EL113,Ροδόπη (Rodopi)
3,EL114,Δράμα (Drama)
3,EL115,Καβάλα (Kavala)
3,EL121,Ημαθία (Imathia)
3,EL122,Θεσσαλονίκη (Thessaloniki)
3,EL123,Κιλκίς (Kilkis)
3,EL124,Πέλλα (Pella)
3,EL125,Πιερία (Pieria)
3,EL126,Σέρρες (Serres)
3,EL127,Χαλκιδική (Chalkidiki)
3,EL131,Γρεβενά (Grevena)
3,EL132,Καστοριά (Kastoria)
3,EL133,Κοζάνη (Kozani)
3,EL134,Φλώρινα (Florina)
3,EL141,Καρδίτσα (Karditsa)
3,EL142,Λάρισα (Larisa)
3,EL143,Μαγνησία (Magnisia)
3,EL144,Τρίκαλα (Trikala)
3,EL211,Άρτα (Arta)
3,EL212,Θεσπρωτία (Thesprotia)
3,EL213,Ιωάννινα (Ioannina)
3,EL214,Πρέβεζα (Preveza)
3,EL221,Ζάκυνθος (Zakynthos)
3,EL222,Κέρκυρα (Kerkyra)
3,EL223,Κεφαλληνία (Kefallinia)
3,EL224,Λευκάδα (Lefkada)
3,EL231,Αιτωλοακαρνανία (Aitoloakarnania)
3,EL232,Αχαΐα (Achaia)
3,EL233,Ηλεία (Ileia)
3,EL241,Βοιωτία (Voiotia)
3,EL242,Εύβοια (Evvoia)
3,EL243,Ευρυτανία (Evrytania)
3,EL244,Φθιώτιδα (Fthiotida)
3,EL245,Φωκίδα (Fokida)
3,EL251,Αργολίδα (Argolida)
3,EL252,Αρκαδία (Arkadia)
3,EL253,Κορινθία (Korinthia)
3,EL254,Λακωνία (Lakonia)
3,EL255,Μεσσηνία (Messinia)
3,EL300,Aττική (Attiki)
3,EL411,Λέσβος (Lesvos)
3,EL412,Σάμος (Samos)
3,EL413,Χίος (Chios)
3,EL421,Δωδεκάνησος (Dodekanisos)
3,EL422,Κυκλάδες (Kyklades)
3,EL431,Ηράκλειο (Irakleio)
3,EL432,Λασίθι (Lasithi)
3,EL433,Ρεθύμνη (Rethymni)
3,EL434,Χανιά (Chania)
3,ELZZZ,Extra-Regio NUTS 3
