Code,NUTS_level,NUTS_3
EL301,3,Βόρειος Τομέας Αθηνών
EL302,3,Δυτικός Τομέας Αθηνών
EL303,3,Κεντρικός Τομέας Αθηνών
EL304,3,Νότιος Τομέας Αθηνών
EL305,3,Ανατολική Αττική
EL306,3,Δυτική Αττική
EL307,3,"Πειραιάς, Νήσοι"
EL411,3,"Λέσβος, Λήμνος"
EL412,3,"Ικαρία, Σάμος"
EL413,3,Χίος
EL421,3,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος"
EL422,3,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος"
EL431,3,Ηράκλειο
EL432,3,Λασίθι
EL433,3,Ρέθυμνο
EL434,3,Χανιά
EL511,3,Έβρος
EL512,3,Ξάνθη
EL513,3,Ροδόπη
EL514,3,Δράμα
EL515,3,"Θάσος, Καβάλα"
EL521,3,Ημαθία
EL522,3,Θεσσαλονίκη
EL523,3,Κιλκίς
EL524,3,Πέλλα
EL525,3,Πιερία
EL526,3,Σέρρες
EL527,3,Χαλκιδική
EL531,3,"Γρεβενά, Κοζάνη"
EL532,3,Καστοριά
EL533,3,Φλώρινα
EL541,3,"Άρτα, Πρέβεζα"
EL542,3,Θεσπρωτία
EL543,3,Ιωάννινα
EL611,3,"Καρδίτσα, Τρίκαλα"
EL612,3,Λάρισα
EL613,3,"Μαγνησία, Σποράδες"
EL621,3,Ζάκυνθος
EL622,3,Κέρκυρα
EL623,3,"Ιθάκη, Κεφαλληνία"
EL624,3,Λευκάδα
EL631,3,Αιτωλοακαρνανία
EL632,3,Αχαΐα
EL633,3,Ηλεία
EL641,3,Βοιωτία
EL642,3,Εύβοια
EL643,3,Ευρυτανία
EL644,3,Φθιώτιδα
EL645,3,Φωκίδα
EL651,3,"Αργολίδα, Αρκαδία"
EL652,3,Κορινθία
EL653,3,"Λακωνία, Μεσσηνία"
ELZZZ,3,Extra-Regio NUTS 3
