Code,NUTS_1,NUTS_2,NUTS_3,NUTS_level
EL,Ελλάδα,,,0
EL3,Αττική ,,,1
EL30,,Aττική,,2
EL301,,,Βόρειος Τομέας Αθηνών,3
EL302,,,Δυτικός Τομέας Αθηνών,3
EL303,,,Κεντρικός Τομέας Αθηνών,3
EL304,,,Νότιος Τομέας Αθηνών,3
EL305,,,Ανατολική Αττική,3
EL306,,,Δυτική Αττική,3
EL307,,,"Πειραιάς, Νήσοι",3
EL4,"Νησιά Αιγαίου, Κρήτη",,,1
EL41,,Βόρειο Αιγαίο,,2
EL411,,,"Λέσβος, Λήμνος",3
EL412,,,"Ικαρία, Σάμος",3
EL413,,,Χίος,3
EL42,,Νότιο Αιγαίο,,2
EL421,,,"Κάλυμνος, Κάρπαθος – Ηρωική Νήσος Κάσος, Κως, Ρόδος",3
EL422,,,"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",3
EL43,,Κρήτη,,2
EL431,,,Ηράκλειο,3
EL432,,,Λασίθι,3
EL433,,,Ρέθυμνο,3
EL434,,,Χανιά,3
EL5,Βόρεια Ελλάδα,,,1
EL51,,"Aνατολική Μακεδονία, Θράκη",,2
EL511,,,Έβρος,3
EL512,,,Ξάνθη,3
EL513,,,Ροδόπη,3
EL514,,,Δράμα,3
EL515,,,"Θάσος, Καβάλα",3
EL52,,Κεντρική Μακεδονία,,2
EL521,,,Ημαθία,3
EL522,,,Θεσσαλονίκη,3
EL523,,,Κιλκίς,3
EL524,,,Πέλλα,3
EL525,,,Πιερία,3
EL526,,,Σέρρες,3
EL527,,,Χαλκιδική,3
EL53,,Δυτική Μακεδονία,,2
EL531,,,"Γρεβενά, Κοζάνη",3
EL532,,,Καστοριά,3
EL533,,,Φλώρινα,3
EL54,,Ήπειρος,,2
EL541,,,"Άρτα, Πρέβεζα",3
EL542,,,Θεσπρωτία,3
EL543,,,Ιωάννινα,3
EL6,Κεντρική Ελλάδα,,,1
EL61,,Θεσσαλία,,2
EL611,,,"Καρδίτσα, Τρίκαλα",3
EL612,,,Λάρισα,3
EL613,,,"Μαγνησία, Σποράδες",3
EL62,,Ιόνια Νησιά,,2
EL621,,,Ζάκυνθος,3
EL622,,,Κέρκυρα,3
EL623,,,"Ιθάκη, Κεφαλληνία",3
EL624,,,Λευκάδα,3
EL63,,Δυτική Ελλάδα,,2
EL631,,,Αιτωλοακαρνανία,3
EL632,,,Αχαΐα,3
EL633,,,Ηλεία,3
EL64,,Στερεά Ελλάδα,,2
EL641,,,Βοιωτία,3
EL642,,,Εύβοια,3
EL643,,,Ευρυτανία,3
EL644,,,Φθιώτιδα,3
EL645,,,Φωκίδα,3
EL65,,Πελοπόννησος,,2
EL651,,,"Αργολίδα, Αρκαδία",3
EL652,,,Κορινθία,3
EL653,,,"Λακωνία, Μεσσηνία",3
ELZ,Extra-Regio NUTS 1,,,1
ELZZ,,Extra-Regio NUTS 2,,2
ELZZZ,,,Extra-Regio NUTS 3,3
