"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","total_num_ads","total_spend_formatted","custom_audience_type","detailed_type"
"Τσίπρας","All",14,0.96940948693127,"gender",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","Women",1,0.030590513068732,"gender",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","Men",0,0,"gender",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","Greece",14,0.93206637115538,"location","countries",FALSE,15,"€2,944",NA,NA
"Τσίπρας","Karditsa, Greece",1,0.067933628844619,"location","CITY",FALSE,15,"€2,944",NA,NA
"Τσίπρας","13",0,0,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","14",0,0,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","15",0,0,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","16",0,0,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","17",0,0,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","18",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","19",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","20",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","21",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","22",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","23",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","24",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","25",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","26",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","27",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","28",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","29",4,0.1366688745096,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","30",12,0.53379188532803,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","31",12,0.53379188532803,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","32",12,0.53379188532803,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","33",12,0.53379188532803,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","34",13,0.90147585808665,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","35",14,0.96940948693127,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","36",14,0.96940948693127,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","37",14,0.96940948693127,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","38",14,0.96940948693127,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","39",14,0.96940948693127,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","40",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","41",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","42",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","43",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","44",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","45",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","46",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","47",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","48",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","49",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","50",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","51",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","52",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","53",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","54",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","55",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","56",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","57",15,1,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","58",14,0.93206637115538,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","59",14,0.93206637115538,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","60",14,0.93206637115538,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","61",12,0.30709736587354,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","62",12,0.30709736587354,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","63",12,0.30709736587354,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","64",12,0.30709736587354,"age",NA,NA,15,"€2,944",NA,NA
"Τσίπρας","65+",11,0.27650685280481,"age",NA,NA,15,"€2,944",NA,NA
"Ανδρουλάκης","All",11,0.94849396349252,"gender",NA,NA,12,"€1,942",NA,NA
"Ανδρουλάκης","Women",1,0.051506036507479,"gender",NA,NA,12,"€1,942",NA,NA
"Ανδρουλάκης","Men",0,0,"gender",NA,NA,12,"€1,942",NA,NA
"Ανδρουλάκης","English (UK)",2,0.0416632329309,"language",NA,NA,12,"€1,942",NA,NA
"Ανδρουλάκης","Greek",2,0.0416632329309,"language",NA,NA,12,"€1,942",NA,NA
"Ανδρουλάκης","English (US)",2,0.0416632329309,"language",NA,NA,12,"€1,942",NA,NA
"Ανδρουλάκης","Metamórfosi, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Alexándreia, Imathia, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Koufalia, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Sidirókastro, Serrai, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Dráma, Greece",1,0.0004841567431703,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Políchni, Thessaloniki, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Chrysoúpoli, Kavala, Greece",1,0.0004841567431703,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Sérres, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Véroia, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Náousa, Kikladhes, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Potamoi, Drama, Greece",1,0.0004841567431703,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Thessaloníki, Greece",4,0.64417054678808,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Greece",5,0.31201841855866,"location","countries",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Aridaia, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Athens, Greece",3,0.60299147060035,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Crete, Greece",5,0.64631834851045,"location","regions",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Peloponnese (region), Greece",4,0.63482735176563,"location","regions",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Lakhanás, Kilkis, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Thérmi, Thessaloniki, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Eleftheroúpoli, Kavala, Greece",1,0.0004841567431703,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Kateríni, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Libanovo, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Náousa, Imathia, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Kalambáki, Kavala, Greece",1,0.0004841567431703,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Prosotsáni, Drama, Greece",1,0.0004841567431703,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Lagkadás, Thessaloniki, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Polýkastro, Kilkis, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Langadas, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Kalamariá, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
"Ανδρουλάκης","Aigínio, Pieria, Greece",1,0.041179076187729,"location","CITY",FALSE,12,"€1,942",NA,NA
