"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","total_num_ads","total_spend_formatted","detailed_type"
"Μητσοτάκης","All",10,1,"gender",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","Women",0,0,"gender",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","Men",0,0,"gender",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","English (UK)",9,0.92755657378816,"language",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","Greek",10,1,"language",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","English (US)",9,0.92755657378816,"language",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","Greece",10,1,"location","countries",FALSE,NA,10,"€5,522",NA
"Μητσοτάκης","13",0,0,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","14",0,0,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","15",0,0,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","16",0,0,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","17",0,0,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","18",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","19",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","20",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","21",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","22",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","23",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","24",9,0.93494399217611,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","25",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","26",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","27",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","28",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","29",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","30",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","31",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","32",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","33",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","34",10,1,"age",NA,NA,NA,10,"€5,522",NA
"Μητσοτάκης","35",10,1,"age",NA,NA,NA,10,"€5,522",NA
