"","party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","detailed_type","total_num_ads","total_spend_formatted"
"1","Μητσοτάκης","All",16,0.84990489541899,"gender",NA,NA,NA,NA,20,"€2,939"
"2","Μητσοτάκης","Women",4,0.15009510458101,"gender",NA,NA,NA,NA,20,"€2,939"
"3","Μητσοτάκης","Men",0,0,"gender",NA,NA,NA,NA,20,"€2,939"
"4","Μητσοτάκης","English (UK)",16,0.71417585670683,"language",NA,NA,NA,NA,20,"€2,939"
"5","Μητσοτάκης","Greek",16,0.71417585670683,"language",NA,NA,NA,NA,20,"€2,939"
"6","Μητσοτάκης","English (US)",16,0.71417585670683,"language",NA,NA,NA,NA,20,"€2,939"
"7","Μητσοτάκης","Greece",14,0.66654530482805,"location","countries",FALSE,NA,NA,20,"€2,939"
"8","Μητσοτάκης","Eastern Macedonia and Thrace, Greece",1,0.051033220251321,"location","regions",FALSE,NA,NA,20,"€2,939"
"9","Μητσοτάκης","Crete, Greece",2,0.10208005117613,"location","regions",FALSE,NA,NA,20,"€2,939"
"10","Μητσοτάκης","Thessaloníki, Greece",1,0.11909339303882,"location","CITY",FALSE,NA,NA,20,"€2,939"
"11","Μητσοτάκης","Patras, Greece",1,0.027221346980302,"location","CITY",FALSE,NA,NA,20,"€2,939"
"12","Μητσοτάκης","Peloponnese (region), Greece",1,0.034026683725377,"location","regions",FALSE,NA,NA,20,"€2,939"
"13","Μητσοτάκης","13",0,0,"age",NA,NA,NA,NA,20,"€2,939"
"14","Μητσοτάκης","14",0,0,"age",NA,NA,NA,NA,20,"€2,939"
"15","Μητσοτάκης","15",0,0,"age",NA,NA,NA,NA,20,"€2,939"
"16","Μητσοτάκης","16",0,0,"age",NA,NA,NA,NA,20,"€2,939"
"17","Μητσοτάκης","17",0,0,"age",NA,NA,NA,NA,20,"€2,939"
"18","Μητσοτάκης","18",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"19","Μητσοτάκης","19",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"20","Μητσοτάκης","20",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"21","Μητσοτάκης","21",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"22","Μητσοτάκης","22",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"23","Μητσοτάκης","23",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"24","Μητσοτάκης","24",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"25","Μητσοτάκης","25",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"26","Μητσοτάκης","26",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"27","Μητσοτάκης","27",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"28","Μητσοτάκης","28",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"29","Μητσοτάκης","29",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"30","Μητσοτάκης","30",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"31","Μητσοτάκης","31",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"32","Μητσοτάκης","32",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"33","Μητσοτάκης","33",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"34","Μητσοτάκης","34",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"35","Μητσοτάκης","35",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"36","Μητσοτάκης","36",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"37","Μητσοτάκης","37",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"38","Μητσοτάκης","38",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"39","Μητσοτάκης","39",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"40","Μητσοτάκης","40",16,0.84990489541899,"age",NA,NA,NA,NA,20,"€2,939"
"41","Μητσοτάκης","41",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"42","Μητσοτάκης","42",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"43","Μητσοτάκης","43",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"44","Μητσοτάκης","44",14,0.80907287494853,"age",NA,NA,NA,NA,20,"€2,939"
"45","Μητσοτάκης","45",16,0.84007458649073,"age",NA,NA,NA,NA,20,"€2,939"
"46","Μητσοτάκης","46",16,0.84007458649073,"age",NA,NA,NA,NA,20,"€2,939"
"47","Μητσοτάκης","47",16,0.84007458649073,"age",NA,NA,NA,NA,20,"€2,939"
"48","Μητσοτάκης","48",16,0.84007458649073,"age",NA,NA,NA,NA,20,"€2,939"
"49","Μητσοτάκης","49",16,0.84007458649073,"age",NA,NA,NA,NA,20,"€2,939"
"50","Μητσοτάκης","50",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"51","Μητσοτάκης","51",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"52","Μητσοτάκης","52",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"53","Μητσοτάκης","53",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"54","Μητσοτάκης","54",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"55","Μητσοτάκης","55",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"56","Μητσοτάκης","56",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"57","Μητσοτάκης","57",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"58","Μητσοτάκης","58",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"59","Μητσοτάκης","59",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"60","Μητσοτάκης","60",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"61","Μητσοτάκης","61",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"62","Μητσοτάκης","62",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"63","Μητσοτάκης","63",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"64","Μητσοτάκης","64",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"65","Μητσοτάκης","65+",18,0.95916797952955,"age",NA,NA,NA,NA,20,"€2,939"
"66","Μητσοτάκης","Custom audience",5,0.40675157458479,"custom_audience",NA,FALSE,"HAS_CA_INCLUSION",NA,20,"€2,939"
"67","Μητσοτάκης","Custom audience",2,0.0042159061135743,"custom_audience",NA,TRUE,"HAS_CA_EXCLUSION",NA,20,"€2,939"
"68","Μητσοτάκης","Customer list custom audience",0,0,"custom_audience",NA,FALSE,"HAS_DFCA_INCLUSION",NA,20,"€2,939"
"69","Μητσοτάκης","Customer list custom audience",0,0,"custom_audience",NA,TRUE,"HAS_DFCA_EXCLUSION",NA,20,"€2,939"
"70","Μητσοτάκης","Lookalike audience",5,0.40675157458479,"lookalike_audience",NA,FALSE,NA,NA,20,"€2,939"
"71","Μητσοτάκης","Lookalike audience",2,0.0042159061135743,"lookalike_audience",NA,TRUE,NA,NA,20,"€2,939"
"72","Μητσοτάκης","Independence",2,0.0042159061135743,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"73","Μητσοτάκης","Entrepreneurship",1,0.0068053367450755,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"74","Μητσοτάκης","Finance",1,0.034026683725377,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"75","Μητσοτάκης","Greece",2,0.0042159061135743,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
"76","Μητσοτάκης","Parents with adult children (18-26 years) ",1,0.064650699078217,"detailed",NA,FALSE,NA,"DEMOGRAPHICS",20,"€2,939"
"77","Μητσοτάκης","National flag",2,0.0042159061135743,"detailed",NA,FALSE,NA,"INTERESTS",20,"€2,939"
