"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","custom_audience_type","detailed_type","total_num_ads","total_spend_formatted"
"Μπακογιάννης","All",66,1,"gender",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","Women",0,0,"gender",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","Men",0,0,"gender",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","Attica (region), Greece",1,0.002135004500664,"location","regions",FALSE,NA,NA,66,"€15,564"
"Μπακογιάννης","Athens, Greece",50,0.95711872693851,"location","CITY",FALSE,NA,NA,66,"€15,564"
"Μπακογιάννης","Greece",15,0.040746268560822,"location","countries",FALSE,NA,NA,66,"€15,564"
"Μπακογιάννης","13",0,0,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","14",0,0,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","15",0,0,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","16",0,0,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","17",0,0,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","18",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","19",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","20",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","21",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","22",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","23",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","24",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","25",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","26",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","27",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","28",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","29",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","30",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","31",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","32",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","33",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","34",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","35",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","36",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","37",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","38",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","39",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","40",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","41",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","42",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","43",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","44",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","45",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","46",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","47",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","48",66,1,"age",NA,NA,NA,NA,66,"€15,564"
"Μπακογιάννης","49",66,1,"age",NA,NA,NA,NA,66,"€15,564"
