"party","value","num_ads","total_spend_pct","type","location_type","is_exclusion","detailed_type","total_num_ads","total_spend_formatted","custom_audience_type"
"Αχτσιόγλου","All",18,0.88603124901423,"gender",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","Women",1,0.04998978953153,"gender",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","Men",1,0.063978961454236,"gender",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","Patras, Greece",1,0.058108357143924,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Greece",12,0.65127016567523,"location","countries",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Sérres, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Alexandroúpoli, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Thessaloníki, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Kaballa, Kavala, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Ioánnina, Greece",1,0.046046722439621,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Xánthi, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Dráma, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Komotini, Greece",1,0.034232463312874,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Attica (region), Greece",2,0.074710744899331,"location","regions",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Thessaly, Greece",1,0.068901569423715,"location","regions",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Lárisa, Greece",1,0.049807163266221,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Kalamáta, Greece",1,0.016922813839086,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","Vólos, Greece",1,0.049807163266221,"location","CITY",FALSE,NA,20,"€6,023",NA
"Αχτσιόγλου","13",0,0,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","14",0,0,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","15",0,0,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","16",0,0,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","17",0,0,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","18",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","19",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","20",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","21",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","22",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","23",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","24",19,0.93602103854576,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","25",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","26",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","27",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","28",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","29",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","30",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","31",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","32",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","33",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","34",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","35",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","36",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","37",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","38",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","39",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","40",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","41",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","42",20,1,"age",NA,NA,NA,20,"€6,023",NA
"Αχτσιόγλου","43",20,1,"age",NA,NA,NA,20,"€6,023",NA
