"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",3,1,"gender",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"Women",0,0,"gender",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"Men",0,0,"gender",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"Greece",1,0.45461778010138,"location","countries",0,FALSE,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"Athens, Greece",1,0.090923556020276,"location","CITY",1,FALSE,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"Thessaloníki, Greece",1,0.45445866387834,"location","CITY",0,FALSE,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"13",0,0,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"14",0,0,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"15",0,0,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"16",0,0,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"17",0,0,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"18",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"19",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"20",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"21",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"22",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"23",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"24",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"25",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"26",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"27",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"28",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"29",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"30",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"31",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"32",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"33",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"34",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"35",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"36",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"37",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"38",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"39",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"40",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"41",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"42",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"43",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"44",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"45",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"46",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"47",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"48",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"49",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"50",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"51",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"52",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"53",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
"54",3,1,"age",,,,,"2023-03-11","EUR",3,"€440",TRUE,TRUE,"333635613794935"
