"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","detailed_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",16,0.84990489541899,"gender",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Women",4,0.15009510458101,"gender",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Men",0,0,"gender",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"English (UK)",16,0.71417585670683,"language",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Greek",16,0.71417585670683,"language",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"English (US)",16,0.71417585670683,"language",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Greece",14,0.66654530482805,"location","countries",0,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Eastern Macedonia and Thrace, Greece",1,0.051033220251321,"location","regions",0,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Crete, Greece",2,0.10208005117613,"location","regions",0,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Patras, Greece",1,0.027221346980302,"location","CITY",0,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Peloponnese (region), Greece",1,0.034026683725377,"location","regions",0,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"Thessaloníki, Greece",1,0.11909339303882,"location","CITY",0,FALSE,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"13",0,0,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"14",0,0,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"15",0,0,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"16",0,0,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"17",0,0,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"18",14,0.80907287494853,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"19",14,0.80907287494853,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"20",14,0.80907287494853,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
"21",14,0.80907287494853,"age",,,,,,"2023-03-11","EUR",20,"€2,939",TRUE,TRUE,"34848567724"
