"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",1,1,"gender",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Women",0,0,"gender",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Men",0,0,"gender",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"Athens, Greece",1,1,"location","CITY",0,FALSE,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"13",0,0,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"14",0,0,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"15",0,0,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"16",0,0,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"17",0,0,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"18",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"19",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"20",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"21",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"22",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"23",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"24",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"25",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"26",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"27",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"28",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"29",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"30",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"31",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"32",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"33",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"34",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"35",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"36",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"37",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"38",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"39",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"40",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"41",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"42",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"43",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"44",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"45",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"46",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"47",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"48",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"49",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"50",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"51",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"52",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"53",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"54",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"55",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"56",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"57",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"58",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"59",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"60",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
"61",1,1,"age",,,,,"2023-03-11","EUR",1,"≤€100",TRUE,TRUE,"17484026282"
