"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",4,0.76630301740195,"gender",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"Women",1,0.23369698259805,"gender",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"Men",0,0,"gender",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"Greece",3,0.8722792826353,"location","countries",0,FALSE,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"Central Macedonia, Greece",1,0.063860358682348,"location","regions",0,FALSE,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"Eastern Macedonia and Thrace, Greece",1,0.063860358682348,"location","regions",0,FALSE,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"Peristérion, Greece",1,0.063860358682348,"location","CITY",0,FALSE,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"13",0,0,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"14",0,0,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"15",0,0,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"16",0,0,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"17",0,0,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"18",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"19",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"20",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"21",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"22",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"23",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"24",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"25",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"26",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
"27",2,0.1277207173647,"age",,,,"2023-03-11","EUR",5,"€940",TRUE,TRUE,"31895177275"
