interest,ΝΔ
Digital Trends,2026.0
Digital media,2026.0
Education,1547.0
Election,1547.0
Family,1547.0
Friends of Soccer fans,553.0
Greece,1547.0
In college,266.0
In high school,266.0
Master's degree,266.0
National flag,1547.0
Nationality,1547.0
Newly engaged (1 year),538.0
Newlywed,538.0
Parenting,1547.0
Parents (All),2187.0
Parents (up to 12 months),356.0
Parents with early school-age children (06-08 years) ,553.0
Parents with preschoolers (03-05 years) ,356.0
Parents with preteens (09-12 years),553.0
Parents with teenagers (13-17 years),553.0
Parents with toddlers (01-02 years) ,356.0
Politics,1547.0
Smart Technologies,2026.0
Soccer fans (high content engagement) ,553.0
Soccer fans (moderate content engagement) ,553.0
Technology,2026.0
