interest,ΜέΡΑ25,ΝΔ
 Large business-to-business enterprise employees (500+ employees),,9.0
AEK Athens F.C.,100.0,
Albania,,335.0
Ancient Greece,,5292.0
Army men,,0.0
Business Decision Makers,,9.0
Business and Finance,,9.0
Business decision maker titles and interests,,9.0
Charitable organization,151.0,
Charity and causes,151.0,
Civil defense,,66.0
Current events,,5546.0
Digital Trends,,6270.0
Digital media,,6270.0
Education,,4232.0
Election,98.0,4568.0
Engaged,,4957.0
Ernest Hemingway,100.0,
Family,,9189.0
Family of those who live abroad,,50.0
Friends of Soccer fans,,1399.0
Government,98.0,4957.0
Greece,,9524.0
Greek language,,335.0
Health &amp; wellness,,8039.0
Healthcare and Medical Services,,5855.0
Healthy Habits,,367.0
History of Greece,,4957.0
IT Decision Makers,,9.0
IT and Technical Services,,9.0
In college,,888.0
In high school,,888.0
Knipex,100.0,
Kotsovolos,100.0,
Local news,,4957.0
Management,,9.0
Married,,4957.0
Master's degree,,888.0
Medicine,,5855.0
Medium business-to-business enterprise employees (200 - 500 employees),,9.0
Military (Global),,51.0
Military history,,66.0
National flag,,9189.0
Nationality,,4232.0
Newly engaged (1 year),,5414.0
Newlywed,,5414.0
Newlywed (1 year),,4957.0
News media,98.0,
Newspapers,,590.0
Non-governmental organization,151.0,
Nonprofit organization,151.0,
Olympiacos F.C.,100.0,
Parenting,,13097.0
Parents (All),,12275.0
Parents (up to 12 months),,4412.0
Parents with early school-age children (06-08 years) ,,4609.0
Parents with preschoolers (03-05 years) ,,4412.0
Parents with preteens (09-12 years),,4609.0
Parents with teenagers (13-17 years),,4609.0
Parents with toddlers (01-02 years) ,,4412.0
Philanthropy,151.0,
Physical exercise,,367.0
Physical fitness,,367.0
Politics,98.0,4822.0
Protective Services,,66.0
Public security,,66.0
Skroutz.gr,100.0,
Small business-to-business enterprise employees (10-200 employees),,9.0
Smart Technologies,,6270.0
Soccer fans (high content engagement) ,,1399.0
Soccer fans (moderate content engagement) ,,1399.0
Technology,,7165.0
Tradition,,4957.0
Voting,98.0,
health,,8039.0
