location,ΜέΡΑ25,ΝΔ,ΣΥΡΙΖΑ,latest_date
"Aedipsos, Evvoia, Greece",,,24.0,2023-06-22
"Afrátion, Evvoia, Greece",,,24.0,2023-06-22
"Aigáleo, Greece",544.0,,,2023-06-22
"Argostólion, Greece",720.0,,,2023-06-22
"Athens, Greece",582.0,,,2023-06-22
"Attica (region), Greece",98.0,1793.0,101.0,2023-06-22
"Central Macedonia, Greece",596.0,2592.0,259.0,2023-06-22
"Chalkída, Greece",131.0,,,2023-06-22
"Chíos, Greece",,,91.0,2023-06-22
"Corfu, Kerkira, Greece",818.0,,,2023-06-22
"Corinth, Greece",16.0,2592.0,,2023-06-22
"Crete, Greece",537.0,,287.0,2023-06-22
"Drapetsona, Greece",579.0,,,2023-06-22
"Eastern Macedonia and Thrace, Greece",,682.0,,2023-06-22
"Epirus (region), Greece",,1426.0,,2023-06-22
"Erétria, Greece",,,24.0,2023-06-22
"Flórina, Florina, Greece",,,91.0,2023-06-22
Greece,7730.0,33033.0,7985.0,2023-06-22
"Istiaia, Greece",,,24.0,2023-06-22
"Kalamáta, Greece",221.0,,,2023-06-22
"Kalívia Thorikoú, Attiki, Greece",33.0,,,2023-06-22
"Karditsa, Greece",32.0,,,2023-06-22
"Kastoriá, Greece",,2592.0,,2023-06-22
"Kozáni, Greece",,2592.0,,2023-06-22
"Kánithos, Evvoia, Greece",,,24.0,2023-06-22
"Káristos, Evvoia, Greece",,,24.0,2023-06-22
"Kími, Evvoia, Greece",131.0,,24.0,2023-06-22
"Kíthira, Attiki, Greece",720.0,,,2023-06-22
"Larissa, Greece",30.0,,,2023-06-22
"Lefkáda, Greece",,,91.0,2023-06-22
"Lefkás, Levkas, Greece",720.0,,,2023-06-22
"Lárisa, Greece",98.0,,,2023-06-22
"Lávrion, Greece",33.0,,,2023-06-22
"Makrikápa, Kefallinia, Greece",,,24.0,2023-06-22
"Malakása, Attiki, Greece",33.0,,,2023-06-22
"Mantoúdi, Evvoia, Greece",,,24.0,2023-06-22
"Míkonos, Greece",144.0,,91.0,2023-06-22
"Northern Aegean, Greece",720.0,,,2023-06-22
"Néa Mákri, Attiki, Greece",33.0,,,2023-06-22
"Néa Smírni, Greece",26.0,,,2023-06-22
"Patras, Greece",236.0,1322.0,,2023-06-22
"Pelasyía, Magnisia, Greece",,,24.0,2023-06-22
"Peloponnese (region), Greece",,646.0,,2023-06-22
"Politiká, Kefallinia, Greece",,,24.0,2023-06-22
"Prokópion, Evvoia, Greece",,,24.0,2023-06-22
"Rhodes, Greece",223.0,,,2023-06-22
"Roviaí, Evvoia, Greece",,,24.0,2023-06-22
"Rta, Arta, Greece",,,91.0,2023-06-22
"Southern Aegean, Greece",720.0,,,2023-06-22
"Thessaloníki, Greece",165.0,3577.0,91.0,2023-06-22
"Thessaly, Greece",,715.0,144.0,2023-06-22
"Thérmon, Aitolia Kai Akarnania, Greece",223.0,,,2023-06-22
"Trikala, Greece",23.0,,,2023-06-22
"Vathý, Samos, Greece",74.0,,,2023-06-22
"Vólos, Greece",53.0,,,2023-06-22
"Western Macedonia, Greece",,748.0,,2023-06-22
"Xánthi, Greece",59.0,,,2023-06-22
"Zákynthos, Zakinthos, Greece",720.0,,,2023-06-22
"Évdhilos, Ikaria, Greece",6.0,,,2023-06-22
