location,ΜέΡΑ25,ΝΔ,ΠΑΣΟΚ,ΣΥΡΙΖΑ,latest_date
"Asprópirgos, Greece",,2.0,,,2023-04-03
"Athens, Greece",40.0,597.0,100.0,,2023-04-03
"Attica (region), Greece",,330.0,,,2023-04-03
"Central Macedonia, Greece",,,,60.0,2023-04-03
"Crete, Greece",,597.0,,,2023-04-03
"Eastern Macedonia and Thrace, Greece",,,,60.0,2023-04-03
"Elefsína, Attiki, Greece",,2.0,,,2023-04-03
Greece,,20514.0,,820.0,2023-04-03
"Grevená, Grevena, Greece",,597.0,,,2023-04-03
"Kastoriá, Greece",,597.0,,,2023-04-03
"Kozáni, Greece",,597.0,,,2023-04-03
"Lamía, Greece",,597.0,,,2023-04-03
"Mándra, Greece",,148.0,,,2023-04-03
"Patras, Greece",,597.0,,,2023-04-03
"Peristérion, Greece",,,,60.0,2023-04-03
"Piraeus, Greece",,597.0,,,2023-04-03
"Pýrgos, Ilia, Greece",,597.0,,,2023-04-03
"Syros, Kikladhes, Greece",,150.0,,,2023-04-03
"Thessaloníki, Greece",200.0,597.0,,,2023-04-03
"Trikala, Greece",,597.0,,,2023-04-03
"�No Síros, Kikladhes, Greece",,330.0,,,2023-04-03
