"value","num_ads","total_spend_pct","type","location_type","num_obfuscated","is_exclusion","custom_audience_type","ds","main_currency","total_num_ads","total_spend_formatted","is_30_day_available","is_90_day_available","internal_id"
"All",39,0.96420290742203,"gender",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"Women",4,0.035797092577967,"gender",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"Men",0,0,"gender",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"Greece",39,0.97329587953473,"location","countries",0,FALSE,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"Lamía, Greece",2,0.0082703421752366,"location","CITY",0,FALSE,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"Athens, Greece",1,0.0035040153597401,"location","CITY",0,FALSE,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"Karditsa, Greece",1,0.014929762930294,"location","CITY",0,FALSE,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"13",0,0,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"14",0,0,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"15",0,0,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"16",0,0,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"17",11,0.25330432978055,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"18",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"19",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"20",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"21",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"22",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"23",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"24",17,0.33643847519345,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"25",15,0.26178966054198,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"26",15,0.26178966054198,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"27",14,0.22446525321624,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"28",13,0.2020706088208,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"29",13,0.2020706088208,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"30",28,0.42920978257786,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"31",25,0.36575231821894,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"32",25,0.36575231821894,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"33",25,0.36575231821894,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
"34",27,0.66658704126437,"age",,,,,"2023-03-11","EUR",43,"€13,396",TRUE,TRUE,"12224403053"
