Date,ΑΛΛΟ,ΑΝΕΛ,ΕΚ,ΕΛ,ΚΔ,ΚΚΕ,ΛΑΕ,ΜέΡΑ25,ΝΔ,Νίκη,ΠΑΣΟΚ,ΠΕ,ΠΟΤΑΜΙ,ΣΥΡΙΖΑ,Σπαρτιάτες,ΦΛ,ΧΑ,High_ΑΛΛΟ,High_ΑΝΕΛ,High_ΕΚ,High_ΕΛ,High_ΚΔ,High_ΚΚΕ,High_ΛΑΕ,High_ΜέΡΑ25,High_ΝΔ,High_Νίκη,High_ΠΑΣΟΚ,High_ΠΕ,High_ΠΟΤΑΜΙ,High_ΣΥΡΙΖΑ,High_Σπαρτιάτες,High_ΦΛ,High_ΧΑ,Low_ΑΛΛΟ,Low_ΑΝΕΛ,Low_ΕΚ,Low_ΕΛ,Low_ΚΔ,Low_ΚΚΕ,Low_ΛΑΕ,Low_ΜέΡΑ25,Low_ΝΔ,Low_Νίκη,Low_ΠΑΣΟΚ,Low_ΠΕ,Low_ΠΟΤΑΜΙ,Low_ΣΥΡΙΖΑ,Low_Σπαρτιάτες,Low_ΦΛ,Low_ΧΑ
08/01/2018,,2.2,2.2,,,7.0,,,36.8,,11.5,,1.0,23.2,,,8.2,,3.1,3.1,,,8.5,,,39.6,,13.4,,1.6,25.7,,,9.9,,1.4,1.4,,,5.5,,,33.9,,9.6,,0.4,20.8,,,6.6
16/01/2018,,2.6,2.4,,,7.2,4.0,,34.7,,10.6,,1.0,24.1,,,8.8,,3.5,3.4,,,8.7,5.2,,37.6,,12.5,,1.6,26.7,,,10.5,,1.6,1.5,,,5.6,2.8,,31.8,,8.7,,0.4,21.5,,,7.1
25/01/2018,,2.6,2.5,1.0,,6.9,2.5,,35.3,,10.6,1.0,1.0,24.1,,,9.0,,3.4,3.3,1.5,,8.4,3.4,,38.0,,12.3,1.5,1.6,26.5,,,10.6,,1.7,1.6,0.5,,5.5,1.6,,32.6,,8.8,0.5,0.4,21.6,,,7.4
12/02/2018,,2.5,2.6,1.2,,7.0,2.3,,35.2,,10.0,1.0,1.0,24.4,,,9.1,,3.4,3.4,1.7,,8.3,3.1,,37.7,,11.6,1.5,1.6,26.6,,,10.6,,1.7,1.8,0.8,,5.6,1.5,,32.7,,8.4,0.5,0.4,22.1,,,7.6
22/02/2018,,2.6,2.6,1.2,,7.1,2.5,,34.6,,9.9,1.2,1.0,24.4,,,9.4,,3.5,3.5,1.7,,8.5,3.3,,37.2,,11.5,1.8,1.6,26.8,,,10.9,,1.8,1.7,0.8,,5.7,1.6,,32.0,,8.2,0.5,0.4,22.1,,,7.8
06/03/2018,,2.7,2.7,1.2,,7.2,2.5,,34.8,,10.3,1.2,1.0,24.3,,,9.3,,3.6,3.6,1.7,,8.6,3.3,,37.4,,12.0,1.8,1.6,26.7,,,10.9,,1.8,1.8,0.8,,5.7,1.6,,32.1,,8.6,0.5,0.4,21.9,,,7.6
11/03/2018,,2.7,2.7,1.2,,7.1,2.5,,34.9,,10.3,1.1,1.0,24.3,,,9.2,,3.6,3.6,1.7,,8.6,3.3,,37.6,,12.0,1.7,1.6,26.7,,,10.8,,1.8,1.8,0.7,,5.7,1.6,,32.3,,8.6,0.5,0.4,21.9,,,7.6
03/04/2018,,2.8,2.8,1.4,,7.3,2.4,,33.8,,10.1,1.3,,24.2,,,9.5,,3.6,3.6,1.9,,8.6,3.1,,36.1,,11.6,1.8,,26.4,,,11.0,,2.0,2.0,1.0,,6.0,1.7,,31.4,,8.6,0.8,,22.0,,,8.0
11/04/2018,,2.8,2.8,1.4,,7.2,2.3,,33.6,,9.8,1.4,,24.1,,,9.4,,3.6,3.6,1.9,,8.5,3.0,,36.0,,11.3,2.0,,26.3,,,10.9,,1.9,2.0,1.0,,5.9,1.6,,31.2,,8.3,0.8,,22.0,,,8.0
12/04/2018,,2.8,2.9,1.6,,7.5,2.6,,33.0,,9.7,1.5,,24.3,,,9.2,,3.6,3.7,2.0,,8.8,3.4,,35.5,,11.2,2.1,,26.6,,,10.6,,1.9,2.0,1.1,,6.1,1.9,,30.5,,8.2,0.9,,22.1,,,7.7
15/04/2018,,2.8,2.8,1.6,,7.5,2.9,,33.2,,10.0,1.5,,24.2,,,9.1,,3.6,3.7,2.1,,9.0,3.7,,35.7,,11.6,2.1,,26.6,,,10.6,,1.9,1.9,1.1,,6.1,2.1,,30.6,,8.4,0.9,,21.9,,,7.6
23/04/2018,,2.6,2.9,1.6,,7.4,2.8,,34.2,,10.2,1.6,,23.6,,,8.8,,3.4,3.8,2.1,,8.8,3.6,,36.7,,11.9,2.1,,25.9,,,10.4,,1.7,2.0,1.1,,6.0,2.1,,31.6,,8.6,1.0,,21.3,,,7.3
13/05/2018,,2.5,2.8,1.6,,7.3,2.2,,34.3,,9.7,1.4,,23.8,,,8.9,,3.3,3.7,2.1,,8.7,2.9,,36.8,,11.3,2.0,,26.0,,,10.4,,1.7,1.9,1.0,,5.9,1.6,,31.8,,8.2,0.9,,21.6,,,7.4
16/05/2018,,2.4,2.8,1.7,,7.2,2.2,,32.9,,9.2,1.6,,23.2,,,8.6,,3.2,3.6,2.3,,8.5,2.9,,35.4,,10.8,2.1,,25.4,,,10.1,,1.6,1.9,1.1,,5.8,1.5,,30.3,,7.7,1.0,,20.9,,,7.1
29/05/2018,,2.3,2.8,1.5,,7.2,2.3,,34.0,,9.4,1.4,,23.3,,,8.3,,3.2,3.8,2.2,,8.7,3.1,,36.8,,11.2,2.1,,25.9,,,10.0,,1.5,1.8,0.8,,5.6,1.4,,31.2,,7.7,0.8,,20.8,,,6.7
13/06/2018,,2.3,2.9,1.7,,7.4,1.7,,34.9,,9.6,1.0,,22.7,,,8.4,,3.2,3.9,2.4,,8.9,2.5,,37.7,,11.4,1.5,,25.2,,,10.0,,1.4,1.9,0.9,,5.8,0.9,,32.1,,7.9,0.5,,20.2,,,6.7
22/06/2018,,2.2,3.0,1.6,,7.2,1.7,,35.5,,9.8,1.0,,22.7,,,8.5,,3.0,4.0,2.3,,8.6,2.5,,38.2,,11.5,1.5,,25.0,,,10.1,,1.4,2.0,0.9,,5.7,0.9,,32.8,,8.1,0.5,,20.3,,,6.9
23/06/2018,,2.1,3.2,1.7,,7.3,1.9,,35.0,,9.4,1.0,,22.5,,,8.3,,2.9,4.2,2.5,,8.8,2.7,,37.8,,11.0,1.5,,24.9,,,9.9,,1.2,2.1,1.0,,5.8,1.1,,32.3,,7.7,0.5,,20.1,,,6.7
24/06/2018,,2.1,3.1,1.8,,7.4,1.7,,35.0,,9.0,1.0,,23.2,,,8.3,,2.9,4.1,2.5,,8.9,2.5,,37.7,,10.6,1.5,,25.6,,,9.8,,1.3,2.1,1.0,,5.9,1.0,,32.3,,7.4,0.5,,20.8,,,6.7
26/06/2018,,2.1,3.2,2.0,,7.4,1.9,,35.0,,9.1,1.3,,22.8,,,8.1,,2.9,4.2,2.8,,8.9,2.7,,37.7,,10.8,2.0,,25.3,,,9.7,,1.2,2.2,1.2,,5.8,1.1,,32.2,,7.5,0.6,,20.4,,,6.5
08/09/2018,,2.0,3.3,2.2,,7.5,1.8,,36.5,,9.3,1.3,1.8,23.3,,,8.3,,2.8,4.3,3.0,,9.1,2.6,,39.3,,11.0,2.0,2.6,25.7,,,9.9,,1.2,2.2,1.3,,6.0,1.0,,33.7,,7.6,0.6,1.0,20.8,,,6.7
16/09/2018,,1.9,3.2,2.2,,7.4,1.6,,36.8,,8.8,1.3,1.9,23.6,,,8.4,,2.6,4.2,3.0,,8.8,2.4,,39.5,,10.4,2.0,2.7,26.0,,,10.0,,1.1,2.2,1.4,,5.9,0.9,,34.0,,7.2,0.6,1.1,21.2,,,6.8
17/09/2018,,1.9,3.1,2.1,,7.3,1.7,,36.2,,8.6,1.3,1.8,24.4,,,8.3,,2.7,4.1,3.0,,8.7,2.4,,39.0,,10.1,2.0,2.6,26.9,,,9.9,,1.1,2.1,1.3,,5.8,0.9,,33.5,,7.0,0.6,1.0,22.0,,,6.8
18/09/2018,,1.8,3.0,2.2,,7.2,1.7,,36.0,,8.2,1.4,1.9,24.6,,,7.9,,2.6,4.0,3.0,,8.7,2.4,,38.9,,9.8,2.1,2.8,27.2,,,9.5,,1.0,2.0,1.3,,5.7,0.9,,33.2,,6.6,0.7,1.1,22.1,,,6.3
14/10/2018,,1.9,2.8,2.2,,7.0,1.4,,36.8,,8.4,1.4,1.9,24.8,,,8.2,,2.7,3.8,3.0,,8.5,2.1,,39.6,,10.0,2.1,2.8,27.4,,,9.7,,1.1,1.8,1.3,,5.5,0.7,,34.0,,6.7,0.7,1.1,22.3,,,6.6
22/10/2018,,1.8,2.8,2.2,,7.1,1.5,,36.5,,8.3,1.6,2.0,24.7,,,8.0,,2.6,3.8,3.1,,8.6,2.2,,39.4,,10.0,2.4,2.8,27.3,,,9.6,,1.0,1.8,1.4,,5.6,0.8,,33.6,,6.7,0.8,1.2,22.2,,,6.4
06/11/2018,,1.7,2.6,2.1,,7.2,1.5,,36.8,,8.3,1.6,2.0,24.6,,,7.9,,2.4,3.6,3.0,,8.7,2.2,,39.6,,9.9,2.4,2.8,27.2,,,9.5,,0.9,1.7,1.3,,5.6,0.8,,33.9,,6.6,0.8,1.2,22.1,,,6.3
18/11/2018,,1.8,2.5,2.0,,7.2,1.4,,36.8,,8.5,1.6,2.0,25.0,,,7.9,,2.5,3.4,2.9,,8.7,2.1,,39.6,,10.1,2.4,2.9,27.5,,,9.5,,1.0,1.6,1.2,,5.7,0.7,,34.0,,6.8,0.8,1.2,22.5,,,6.3
19/11/2018,,1.7,2.5,2.0,,7.1,1.5,,36.7,,8.3,1.6,2.1,25.1,,,7.6,,2.4,3.4,2.8,,8.6,2.2,,39.6,,9.9,2.4,2.9,27.6,,,9.2,,0.9,1.6,1.2,,5.6,0.8,,33.9,,6.7,0.8,1.3,22.6,,,6.1
20/11/2018,,1.5,2.6,2.0,,7.0,1.3,,36.7,,8.1,1.6,2.2,25.5,,,7.5,,2.2,3.5,2.8,,8.5,1.9,,39.5,,9.7,2.4,3.1,28.0,,,9.0,,0.8,1.7,1.2,,5.5,0.6,,33.9,,6.5,0.8,1.4,22.9,,,6.0
28/11/2018,,1.6,2.6,2.0,,7.1,1.2,,37.0,,8.1,,2.1,25.6,,,7.8,,2.3,3.4,2.8,,8.5,1.8,,39.7,,9.7,,3.0,28.0,,,9.3,,0.9,1.7,1.3,,5.7,0.6,,34.3,,6.6,,1.3,23.2,,,6.3
04/12/2018,,1.7,2.7,2.0,,7.1,1.4,,36.1,,8.1,,2.1,25.7,,,7.9,,2.4,3.6,2.8,,8.6,2.1,,38.8,,9.6,,3.0,28.2,,,9.5,,1.0,1.8,1.2,,5.6,0.7,,33.3,,6.5,,1.3,23.2,,,6.4
05/12/2018,,1.8,2.6,2.0,,7.1,2.0,,35.5,,7.8,,2.0,25.9,,,8.1,,2.6,3.5,2.8,,8.6,2.8,,38.2,,9.3,,2.8,28.4,,,9.6,,1.1,1.7,1.2,,5.6,1.2,,32.8,,6.3,,1.2,23.4,,,6.5
16/12/2018,,1.9,2.6,2.0,,7.0,2.0,,35.4,,7.6,,1.9,26.5,,,8.2,,2.6,3.5,2.8,,8.5,2.8,,38.1,,9.0,,2.7,29.0,,,9.7,,1.1,1.7,1.2,,5.6,1.2,,32.7,,6.1,,1.2,24.0,,,6.7
10/01/2019,,1.7,2.5,2.2,,6.7,2.2,,36.3,,7.0,2.0,1.8,26.0,,,7.8,,2.4,3.4,3.0,,8.2,3.1,,39.0,,8.5,2.9,2.6,28.5,,,9.3,,1.0,1.6,1.3,,5.3,1.3,,33.5,,5.6,1.1,1.0,23.5,,,6.3
14/01/2019,,1.7,2.6,2.2,,6.8,2.0,,36.2,,7.1,2.0,1.8,26.0,,,7.9,,2.5,3.5,3.1,,8.3,2.9,,39.0,,8.6,2.9,2.5,28.6,,,9.4,,1.0,1.7,1.4,,5.4,1.2,,33.4,,5.6,1.1,1.0,23.5,,,6.3
20/01/2019,,1.7,2.4,2.2,,6.8,1.8,,36.8,,7.2,1.5,1.5,25.7,,,8.1,,2.4,3.2,3.1,,8.3,2.6,,39.5,,8.7,2.2,2.2,28.1,,,9.6,,0.9,1.5,1.4,,5.4,1.0,,34.0,,5.8,0.8,0.8,23.2,,,6.5
