Date,Lower_ΑΛΛΟ,Lower_ΑΝΕΛ,Lower_Δημοκράτες,Lower_ΕΚ,Lower_ΕΛ,Lower_ΕΛΑΣ,Lower_Ελπίδα,Lower_ΚΚΕ,Lower_ΛΑΕ,Lower_ΜέΡΑ25,Lower_ΝΑ,Lower_ΝΔ,Lower_Νίκη,Lower_ΠΑΣΟΚ,Lower_ΠΕ,Lower_ΠΟΤΑΜΙ,Lower_ΣΥΡΙΖΑ,Lower_Σπαρτιάτες,Lower_ΦΛ,Lower_ΧΑ,ΑΛΛΟ,ΑΝΕΛ,Δημοκράτες,ΕΚ,ΕΛ,ΕΛΑΣ,Ελπίδα,ΚΚΕ,ΛΑΕ,ΜέΡΑ25,ΝΑ,ΝΔ,Νίκη,ΠΑΣΟΚ,ΠΕ,ΠΟΤΑΜΙ,ΣΥΡΙΖΑ,Σπαρτιάτες,ΦΛ,ΧΑ,Upper_ΑΛΛΟ,Upper_ΑΝΕΛ,Upper_Δημοκράτες,Upper_ΕΚ,Upper_ΕΛ,Upper_ΕΛΑΣ,Upper_Ελπίδα,Upper_ΚΚΕ,Upper_ΛΑΕ,Upper_ΜέΡΑ25,Upper_ΝΑ,Upper_ΝΔ,Upper_Νίκη,Upper_ΠΑΣΟΚ,Upper_ΠΕ,Upper_ΠΟΤΑΜΙ,Upper_ΣΥΡΙΖΑ,Upper_Σπαρτιάτες,Upper_ΦΛ,Upper_ΧΑ
2018-01-09,,2.35,,0.86,,,,6.33,,,,33.02,,9.51,,,22.24,,,7.87,,2.77,,2.25,,,,7.29,,,,35.69,,10.43,,,23.69,,,9.18,,3.18,,3.65,,,,8.25,,,,38.37,,11.34,,,25.15,,,10.5
2018-01-13,,2.35,,1.22,,,,6.35,,,,33.2,,9.32,,-54.09,22.07,,,7.85,,2.75,,2.28,,,,7.31,,,,35.72,,10.48,,-1.41,23.61,,,9.13,,3.15,,3.33,,,,8.27,,,,38.23,,11.64,,51.26,25.16,,,10.4
2018-01-17,,2.35,,1.69,,,,6.43,0.92,,,33.29,,9.3,,,22.15,,,7.89,,2.75,,2.52,,,,7.34,2.88,,,35.73,,10.45,,,23.65,,,9.12,,3.15,,3.36,,,,8.24,4.84,,,38.17,,11.59,,,25.16,,,10.35
2018-01-27,,2.35,,2.01,1.02,,,6.42,0.75,,,33.45,,9.27,0.86,,22.29,,,7.9,,2.72,,2.59,1.35,,,7.31,2.7,,,35.79,,10.36,1.29,,23.73,,,9.07,,3.08,,3.17,1.67,,,8.19,4.66,,,38.12,,11.44,1.73,,25.16,,,10.24
2018-02-17,,2.32,,2.46,1.11,,,6.46,0.84,,,33.7,,9.19,,,22.53,,,7.94,,2.64,,2.82,1.41,,,7.29,2.54,,,35.89,,10.18,,,23.85,,,8.98,,2.96,,3.17,1.71,,,8.12,4.24,,,38.07,,11.18,,,25.16,,,10.03
2018-02-23,,2.31,,2.47,,,,6.48,0.86,,,33.77,,9.17,0.93,,22.59,,,7.95,,2.63,,2.78,,,,7.28,2.5,,,35.92,,10.14,1.31,,23.88,,,8.96,,2.94,,3.09,,,,8.09,4.14,,,38.06,,11.1,1.7,,25.17,,,9.97
2018-03-07,,2.29,,2.24,,,,6.5,,,,33.91,,9.13,,,22.56,,,7.95,,2.58,,2.87,,,,7.27,,,,35.97,,10.05,,,23.89,,,8.9,,2.87,,3.49,,,,8.05,,,,38.04,,10.97,,,25.22,,,9.85
2018-03-12,,2.28,,2.16,1.21,,,6.51,,,,33.96,,9.13,0.95,,22.62,,,7.95,,2.57,,2.72,1.48,,,7.27,,,,35.99,,10.01,1.32,,23.92,,,8.88,,2.85,,3.28,1.75,,,8.03,,,,38.02,,10.9,1.69,,25.22,,,9.8
2018-04-03,,2.23,,2.42,1.29,,,6.54,1.0,,,34.21,,9.03,0.98,,22.88,,,7.95,,2.48,,2.81,1.56,,,7.25,2.28,,,36.09,,9.83,1.32,,24.05,,,8.78,,2.73,,3.2,1.83,,,7.95,3.57,,,37.98,,10.63,1.67,,25.23,,,9.6
2018-04-13,,2.21,,2.34,,,,6.57,1.03,,,34.32,,8.98,0.99,,23.0,,,7.95,,2.45,,2.75,,,,7.25,2.23,,,36.14,,9.75,1.33,,24.11,,,8.73,,2.68,,3.16,,,,7.93,3.44,,,37.96,,10.52,1.66,,25.23,,,9.51
