date,EL>=80,EU>=80,EL<20,EU<20
1970,2.0,,31.6,
1971,2.0,,32.6,
1972,2.0,,32.5,
1973,2.1,,32.3,
1974,2.0,,32.0,
1975,2.1,,31.7,
1976,2.1,,31.5,
1977,2.1,,31.3,
1978,2.1,,31.2,
1979,2.2,,30.9,
1980,2.3,,30.700000000000003,
1981,2.3,,30.0,
1982,2.4,,29.799999999999997,
1983,2.5,,29.6,
1984,2.6,,29.3,
1985,2.7,,28.900000000000002,
1986,2.7,,29.1,
1987,2.8,,28.6,
1988,2.8,,28.200000000000003,
1989,2.9,,27.700000000000003,
1990,3.0,,27.0,
1991,3.1,,26.7,
1992,3.1,,26.0,
1993,3.3,,25.5,
1994,3.3,,24.9,
1995,3.4,,24.299999999999997,
1996,3.5,,23.700000000000003,
1997,3.5,,23.1,
1998,3.5,,22.6,
1999,3.5,,22.0,
2000,3.5,,21.4,
2001,3.6,3.4,20.9,23.200000000000003
2002,3.7,3.5,22.1,22.900000000000002
2003,3.8,3.7,21.6,22.7
2004,3.8,3.8,21.3,22.4
2005,3.9,3.9,20.9,22.2
2006,4.1,4.1,20.6,21.9
2007,4.3,4.2,20.4,21.6
2008,4.5,4.4,20.2,21.4
2009,4.7,4.6,20.0,21.2
2010,4.9,4.7,19.9,21.1
2011,5.2,4.8,19.7,20.9
2012,5.4,5.0,19.7,20.8
2013,5.7,5.1,19.7,20.7
2014,6.0,5.2,19.6,20.6
2015,6.3,5.3,19.5,20.5
2016,6.5,5.4,19.4,20.6
2017,6.7,5.6,19.4,20.4
2018,6.9,5.7,19.4,20.4
2019,7.1,5.8,19.4,20.4
2020,7.2,5.9,19.4,20.3
2021,7.3,6.0,19.2,20.3
2022,7.2,,18.799999999999997,
