country,2001,2024,country_gr
AT,38.3,43.6,Αυστρία
BE,39.0,42.0,Βέλγιο
BG,39.3,47.1,Βουλγαρία
CY,33.6,40.6,Κύπρος
CZ,37.6,44.0,Τσεχία
DE,40.2,45.5,Γερμανία
DK,38.4,42.2,Δανία
EE,38.2,42.5,Εσθονία
EL,38.7,46.9,Ελλάδα
ES,37.6,45.6,Ισπανία
EU27_2020,38.4,44.7, E.E.
FI,39.5,43.4,Φινλανδία
FR,37.6,42.5,Γαλλία
HR,39.8,45.4,Κροατία
HU,38.6,44.5,Ουγγαρία
IE,32.6,39.4,Ιρλανδία
IT,40.4,48.7,Ιταλια
LT,36.2,44.2,Λιθουανία
LU,37.1,39.7,Λουξεμβούργο
LV,38.2,44.1,Λετονία
MT,36.7,39.8,Μάλτα
NL,37.6,42.5,Ολλανδία
PL,35.4,43.0,Πολωνία
PT,37.9,47.1,Πορτογαλία
RO,34.4,43.8,Ρουμανία
SE,39.4,41.0,Σουηδία
SI,38.2,45.2,Σλοβενία
SK,34.3,42.6,Σλοβακία
