date,pop_TOTAL
1960,8300399.0
1961,8363050.0
1962,8433050.0
1963,8463416.0
1964,8495834.0
1965,8525024.0
1966,8575642.0
1967,8651660.0
1968,8716516.0
1969,8765014.0
1970,8780514.0
1971,8805098.0
1972,8856974.0
1973,8920282.0
1974,8937890.0
1975,8986153.0
1976,9106928.0
1977,9269372.0
1978,9347586.0
1979,9512332.0
1980,9584184.0
1981,9700826.0
1982,9757874.0
1983,9821152.0
1984,9872102.0
1985,9919500.0
1986,9949100.0
1987,9985326.0
1988,10015863.0
1989,10058103.0
1990,10120892.0
1991,10272691.0
1992,10367163.0
1993,10430958.0
1994,10489871.0
1995,10535973.0
1996,10588332.0
1997,10629267.0
1998,10693250.0
1999,10747768.0
2000,10775627.0
2001,10835989.0
2002,10888274.0
2003,10915770.0
2004,10940369.0
2005,10969912.0
2006,11004716.0
2007,11036008.0
2008,11060937.0
2009,11094745.0
2010,11119289.0
2011,11123392.0
2012,11086406.0
2013,11003615.0
2014,10926807.0
2015,10858018.0
2016,10783748.0
2017,10768193.0
2018,10741165.0
2019,10724599.0
2020,10718565.0
2021,10432481.0
