Municipality,Perfecture,population_2011,population_2021,diff,diff_pct
ΑΓΡΙΝΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,94181,88971,-5210,"-5,5%"
ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,17370,14656,-2714,"-15,6%"
ΑΜΦΙΛΟΧΙΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,17056,15073,-1983,"-11,6%"
ΘΕΡΜΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,8242,5742,-2500,"-30,3%"
ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,34416,31944,-2472,"-7,2%"
ΝΑΥΠΑΚΤΙΑΣ,ΑΙΤΩΛ/ΝΙΑΣ,27800,25121,-2679,"-9,6%"
ΞΗΡΟΜΕΡΟΥ,ΑΙΤΩΛ/ΝΙΑΣ,11737,10220,-1517,"-12,9%"
ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,ΑΡΓΟΛΙΔΑΣ,42022,40009,-2013,"-4,8%"
ΕΠΙΔΑΥΡΟΥ,ΑΡΓΟΛΙΔΑΣ,8115,7089,-1026,"-12,6%"
ΕΡΜΙΟΝΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,13551,13598,47,"0,3%"
ΝΑΥΠΛΙΕΩΝ,ΑΡΓΟΛΙΔΑΣ,33356,32586,-770,"-2,3%"
ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,10341,9538,-803,"-7,8%"
ΓΟΡΤΥΝΙΑΣ,ΑΡΚΑΔΙΑΣ,10109,8015,-2094,"-20,7%"
ΜΕΓΑΛΟΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,10687,8791,-1896,"-17,7%"
ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,8294,7263,-1031,"-12,4%"
ΤΡΙΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,47254,43944,-3310,"-7,0%"
ΑΡΤΑΙΩΝ,ΑΡΤΗΣ,43166,41633,-1533,"-3,6%"
ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΗΣ,5780,5321,-459,"-7,9%"
ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΗΣ,6178,5562,-616,"-10,0%"
ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΗΣ,12753,11411,-1342,"-10,5%"
ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,ΑΤΤΙΚΗΣ,26550,26759,209,"0,8%"
ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΤΤΙΚΗΣ,59704,62157,2453,"4,1%"
ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ,ΑΤΤΙΚΗΣ,71294,71747,453,"0,6%"
ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ-ΚΑΜΑΤΕΡΟΥ,ΑΤΤΙΚΗΣ,62529,61427,-1102,"-1,8%"
ΑΓΚΙΣΤΡΙΟΥ,ΑΤΤΙΚΗΣ,1142,1107,-35,"-3,1%"
ΑΘΗΝΑΙΩΝ,ΑΤΤΙΚΗΣ,664046,637798,-26248,"-4,0%"
ΑΙΓΑΛΕΩ,ΑΤΤΙΚΗΣ,69946,64828,-5118,"-7,3%"
ΑΙΓΙΝΑΣ,ΑΤΤΙΚΗΣ,13056,12938,-118,"-0,9%"
ΑΛΙΜΟΥ,ΑΤΤΙΚΗΣ,41720,42872,1152,"2,8%"
ΑΜΑΡΟΥΣΙΟΥ,ΑΤΤΙΚΗΣ,72333,70519,-1814,"-2,5%"
ΑΣΠΡΟΠΥΡΓΟΥ,ΑΤΤΙΚΗΣ,30251,31420,1169,"3,9%"
ΑΧΑΡΝΩΝ,ΑΤΤΙΚΗΣ,106943,108130,1187,"1,1%"
ΒΑΡΗΣ-ΒΟΥΛΑΣ-ΒΟΥΛΙΑΓΜΕΝΗΣ,ΑΤΤΙΚΗΣ,48399,50585,2186,"4,5%"
ΒΡΙΛΗΣΣΙΩΝ,ΑΤΤΙΚΗΣ,30741,32422,1681,"5,5%"
ΒΥΡΩΝΟΣ,ΑΤΤΙΚΗΣ,61308,59134,-2174,"-3,5%"
ΓΑΛΑΤΣΙΟΥ,ΑΤΤΙΚΗΣ,59345,57917,-1428,"-2,4%"
ΓΛΥΦΑΔΑΣ,ΑΤΤΙΚΗΣ,87305,89605,2300,"2,6%"
ΔΑΦΝΗΣ-ΥΜΗΤΤΟΥ,ΑΤΤΙΚΗΣ,33628,33850,222,"0,7%"
ΔΙΟΝΥΣΟΥ,ΑΤΤΙΚΗΣ,40193,41748,1555,"3,9%"
ΕΛΕΥΣΙΝΑΣ,ΑΤΤΙΚΗΣ,29902,29619,-283,"-0,9%"
ΕΛΛΗΝΙΚΟΥ-ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΤΤΙΚΗΣ,51356,49722,-1634,"-3,2%"
ΖΩΓΡΑΦΟΥ,ΑΤΤΙΚΗΣ,71026,69857,-1169,"-1,6%"
ΗΛΙΟΥΠΟΛΕΩΣ,ΑΤΤΙΚΗΣ,78153,76708,-1445,"-1,8%"
ΗΡΑΚΛΕΙΟΥ,ΑΤΤΙΚΗΣ,49642,50495,853,"1,7%"
ΙΛΙΟΥ,ΑΤΤΙΚΗΣ,84793,83523,-1270,"-1,5%"
ΚΑΙΣΑΡΙΑΝΗΣ,ΑΤΤΙΚΗΣ,26458,26260,-198,"-0,7%"
ΚΑΛΛΙΘΕΑΣ,ΑΤΤΙΚΗΣ,100641,96118,-4523,"-4,5%"
ΚΕΡΑΤΣΙΝΙΟΥ-ΔΡΑΠΕΤΣΩΝΑΣ,ΑΤΤΙΚΗΣ,91045,89386,-1659,"-1,8%"
ΚΗΦΙΣΙΑΣ,ΑΤΤΙΚΗΣ,71259,72860,1601,"2,2%"
ΚΟΡΥΔΑΛΛΟΥ,ΑΤΤΙΚΗΣ,63445,61247,-2198,"-3,5%"
ΚΡΩΠΙΑΣ,ΑΤΤΙΚΗΣ,30307,29432,-875,"-2,9%"
ΚΥΘΗΡΩΝ,ΑΤΤΙΚΗΣ,4041,3237,-804,"-19,9%"
ΛΑΥΡΕΩΤΙΚΗΣ,ΑΤΤΙΚΗΣ,25102,25608,506,"2,0%"
ΛΥΚΟΒΡΥΣΗΣ-ΠΕΥΚΗΣ,ΑΤΤΙΚΗΣ,31153,30996,-157,"-0,5%"
ΜΑΝΔΡΑΣ-ΕΙΔΥΛΛΙΑΣ,ΑΤΤΙΚΗΣ,17885,17524,-361,"-2,0%"
ΜΑΡΑΘΩΝΟΣ,ΑΤΤΙΚΗΣ,33423,31448,-1975,"-5,9%"
ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΑΤΤΙΚΗΣ,20040,21284,1244,"6,2%"
ΜΕΓΑΡΕΩΝ,ΑΤΤΙΚΗΣ,36924,38046,1122,"3,0%"
ΜΕΤΑΜΟΡΦΩΣΕΩΣ,ΑΤΤΙΚΗΣ,29891,30170,279,"0,9%"
ΜΟΣΧΑΤΟΥ-ΤΑΥΡΟΥ,ΑΤΤΙΚΗΣ,40413,39507,-906,"-2,2%"
ΝΕΑΣ ΙΩΝΙΑΣ,ΑΤΤΙΚΗΣ,67134,64107,-3027,"-4,5%"
ΝΕΑΣ ΣΜΥΡΝΗΣ,ΑΤΤΙΚΗΣ,73076,72546,-530,"-0,7%"
ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,ΑΤΤΙΚΗΣ,105430,103355,-2075,"-2,0%"
ΠΑΙΑΝΙΑΣ,ΑΤΤΙΚΗΣ,26668,27916,1248,"4,7%"
ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,ΑΤΤΙΚΗΣ,64021,64879,858,"1,3%"
ΠΑΛΛΗΝΗΣ,ΑΤΤΙΚΗΣ,54415,60435,6020,"11,1%"
ΠΑΠΑΓΟΥ-ΧΟΛΑΡΓΟΥ,ΑΤΤΙΚΗΣ,44539,45164,625,"1,4%"
ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,163688,163572,-116,"-0,1%"
ΠΕΝΤΕΛΗΣ,ΑΤΤΙΚΗΣ,34934,35439,505,"1,4%"
ΠΕΡΑΜΑΤΟΣ,ΑΤΤΙΚΗΣ,25389,25636,247,"1,0%"
ΠΕΡΙΣΤΕΡΙΟΥ,ΑΤΤΙΚΗΣ,139981,132123,-7858,"-5,6%"
ΠΕΤΡΟΥΠΟΛΕΩΣ,ΑΤΤΙΚΗΣ,58979,60166,1187,"2,0%"
ΠΟΡΟΥ,ΑΤΤΙΚΗΣ,3993,3237,-756,"-18,9%"
ΡΑΦΗΝΑΣ-ΠΙΚΕΡΜΙΟΥ,ΑΤΤΙΚΗΣ,20266,22230,1964,"9,7%"
ΣΑΛΑΜΙΝΑΣ,ΑΤΤΙΚΗΣ,39283,37175,-2108,"-5,4%"
ΣΑΡΩΝΙΚΟΥ,ΑΤΤΙΚΗΣ,29002,29703,701,"2,4%"
ΣΠΑΤΩΝ-ΑΡΤΕΜΙΔΟΣ,ΑΤΤΙΚΗΣ,33821,34053,232,"0,7%"
ΣΠΕΤΣΩΝ,ΑΤΤΙΚΗΣ,4027,3680,-347,"-8,6%"
ΤΡΟΙΖΗΝΙΑΣ-ΜΕΘΑΝΩΝ,ΑΤΤΙΚΗΣ,7143,6118,-1025,"-14,3%"
ΥΔΡΑΣ,ΑΤΤΙΚΗΣ,1966,2011,45,"2,3%"
ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ-ΝΕΑΣ ΧΑΛΚΗΔΟΝΑΣ,ΑΤΤΙΚΗΣ,33673,29951,-3722,"-11,1%"
ΦΙΛΟΘΕΗΣ-ΨΥΧΙΚΟΥ,ΑΤΤΙΚΗΣ,26968,27400,432,"1,6%"
ΦΥΛΗΣ,ΑΤΤΙΚΗΣ,45965,48255,2290,"5,0%"
ΧΑΪΔΑΡΙΟΥ,ΑΤΤΙΚΗΣ,46897,46983,86,"0,2%"
ΧΑΛΑΝΔΡΙΟΥ,ΑΤΤΙΚΗΣ,74192,77118,2926,"3,9%"
ΩΡΩΠΟΥ,ΑΤΤΙΚΗΣ,33769,33977,208,"0,6%"
ΑΙΓΙΑΛΕΙΑΣ,ΑΧΑΙΑΣ,49872,47225,-2647,"-5,3%"
ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,ΑΧΑΙΑΣ,25916,25900,-16,"-0,1%"
ΕΡΥΜΑΝΘΟΥ,ΑΧΑΙΑΣ,8877,8273,-604,"-6,8%"
ΚΑΛΑΒΡΥΤΩΝ,ΑΧΑΙΑΣ,11045,9281,-1764,"-16,0%"
ΠΑΤΡΕΩΝ,ΑΧΑΙΑΣ,213984,211593,-2391,"-1,1%"
ΑΛΙΑΡΤΟΥ-ΘΕΣΠΙΕΩΝ,ΒΟΙΩΤΙΑΣ,10887,8778,-2109,"-19,4%"
ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ,ΒΟΙΩΤΙΑΣ,8188,7602,-586,"-7,2%"
ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,36477,32521,-3956,"-10,8%"
ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,31315,29393,-1922,"-6,1%"
ΟΡΧΟΜΕΝΟΥ,ΒΟΙΩΤΙΑΣ,11621,9386,-2235,"-19,2%"
ΤΑΝΑΓΡΑΣ,ΒΟΙΩΤΙΑΣ,19432,18427,-1005,"-5,2%"
ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,25905,21440,-4465,"-17,2%"
ΔΕΣΚΑΤΗΣ,ΓΡΕΒΕΝΩΝ,5852,5205,-647,"-11,1%"
ΔΟΞΑΤΟΥ,ΔΡΑΜΑΣ,14516,12109,-2407,"-16,6%"
ΔΡΑΜΑΣ,ΔΡΑΜΑΣ,58944,55593,-3351,"-5,7%"
ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,ΔΡΑΜΑΣ,7860,5323,-2537,"-32,3%"
ΠΑΡΑΝΕΣΤΙΟΥ,ΔΡΑΜΑΣ,3901,2852,-1049,"-26,9%"
ΠΡΟΣΟΤΣΑΝΗΣ,ΔΡΑΜΑΣ,13066,10744,-2322,"-17,8%"
ΑΓΑΘΟΝΗΣΙΟΥ,ΔΩΔ/ΝΗΣΟΥ,185,203,18,"9,7%"
ΑΣΤΥΠΑΛΑΙΑΣ,ΔΩΔ/ΝΗΣΟΥ,1334,1399,65,"4,9%"
ΗΡΩΙΚΗΣ ΝΗΣΟΥ	ΚΑΣΟΥ,ΔΩΔ/ΝΗΣΟΥ,1084,1224,140,"12,9%"
ΚΑΛΥΜΝΙΩΝ,ΔΩΔ/ΝΗΣΟΥ,16179,17797,1618,"10,0%"
ΚΑΡΠΑΘΟΥ,ΔΩΔ/ΝΗΣΟΥ,6226,6416,190,"3,1%"
ΚΩ,ΔΩΔ/ΝΗΣΟΥ,33388,36986,3598,"10,8%"
ΛΕΙΨΩΝ,ΔΩΔ/ΝΗΣΟΥ,790,778,-12,"-1,5%"
ΛΕΡΟΥ,ΔΩΔ/ΝΗΣΟΥ,7917,7988,71,"0,9%"
ΜΕΓΙΣΤΗΣ,ΔΩΔ/ΝΗΣΟΥ,492,584,92,"18,7%"
ΝΙΣΥΡΟΥ,ΔΩΔ/ΝΗΣΟΥ,1008,1043,35,"3,5%"
