area,density
Βόρειος Τομέας Αθηνών,4464.8
Δυτικός Τομέας Αθηνών,6925.7
Κεντρικός Τομέας Αθηνών,11265.3
Νότιος Τομέας Αθηνών,7484.6
Ανατολική Αττική,348.1
Δυτική Αττική,164.6
"Πειραιάς, Νήσοι",562.4
"Λέσβος, Λήμνος",48.7
"Ικαρία, Σάμος",55.2
Χίος,57.5
"Κάλυμνος, Κάρπαθος, Κως, Ρόδος",77.9
"Άνδρος, Θήρα, Κέα, Μήλος, Μύκονος, Νάξος, Πάρος, Σύρος, Τήνος",46.4
Ηράκλειο,115.3
Λασίθι,42.6
Ρεθύμνη,57.1
Χανιά,66.2
Έβρος,31.9
Ξάνθη,61.1
Ροδόπη,41.9
Δράμα,25.3
"Θάσος, Καβάλα",60.5
Ημαθία,77.1
Θεσσαλονίκη,306.1
Κιλκίς,27.8
Πέλλα,49.8
Πιερία,77.1
Σέρρες,39.1
Χαλκιδική,35.1
"Γρεβενά, Κοζάνη",27.9
Καστοριά,26.4
Φλώρινα,24.3
"Άρτα, Πρέβεζα",44.6
Θεσπρωτία,26.8
Ιωάννινα,32.9
"Καρδίτσα, Τρίκαλα",37.5
Λάρισα,49.7
"Μαγνησία, Σποράδες",72.8
Ζάκυνθος,100.4
Κέρκυρα,159.5
"Ιθάκη, Κεφαλληνία",43.1
Λευκάδα,64.2
Αιτωλοακαρνανία,36.3
Αχαΐα,92.8
Ηλεία,58.3
Βοιωτία,36.3
Εύβοια,50.7
Ευρυτανία,9.5
Φθιώτιδα,30.4
Φωκίδα,17.3
"Αργολίδα, Αρκαδία",25.6
Κορινθία,59.8
"Λακωνία, Μεσσηνία",34.5
