country,country_gr,population_2025,percent_of_total
AT,Αυστρία,,
BE,Βέλγιο,11883495.0,0.10868350124675352
BG,Βουλγαρία,6437360.0,0.05887449976507764
CY,Κύπρος,982966.0,0.008989963515490714
CZ,Τσεχία,10909500.0,0.09977558427478259
DE,Γερμανία,,
DK,Δανία,5992734.0,0.05480806052095467
EE,Εσθονία,1369995.0,0.012529634866724485
EL,Ελλάδα,,
ES,Ισπανία,,
FI,Φινλανδία,5635971.0,0.05154519450760628
FR,Γαλλία,,
HR,Κροατία,,
HU,Ουγγαρία,,
IE,Ιρλανδία,,
IT,Ιταλια,,
LT,Λιθουανία,,
LU,Λουξεμβούργο,,
LV,Λετονία,,
MT,Μάλτα,,
NL,Ολλανδία,,
PL,Πολωνία,36497495.0,0.33379704736156157
PT,Πορτογαλία,,
RO,Ρουμανία,19043151.0,0.17416394128584356
SE,Σουηδία,10587710.0,0.09683257265520495
SI,Σλοβενία,,
SK,Σλοβακία,,
