country,Γυναίκες/Άνδρες,eu_countries_gr,eu_countries_en
AT,102.9,Αυστρία,Austria
BE,102.5,Βέλγιο,Belgium
BG,108.1,Βουλγαρία,Bulgaria
CY,103.2,Κύπρος,Cyprus
CZ,104.0,Τσεχία,Czech Rep.
DE,102.8,Γερμανία,Germany
DK,101.1,Δανία,Denmark
EE,111.0,Εσθονία,Estonia
EL,104.1,Ελλάδα,Greece
ES,104.1,Ισπανία,Spain
EU27_2020,104.4, E.E.,E.U.
FI,102.0,Φινλανδία,Finland
FR,106.3,Γαλλία,France
HR,105.9,Κροατία,Croatia
HU,107.3,Ουγγαρία,Hungary
IE,102.5,Ιρλανδία,Ireland
IT,104.4,Ιταλια,Italy
LT,111.3,Λιθουανία,Lithuania
LU,98.7,Λουξεμβούργο,Luxembourg
LV,115.5,Λετονία,Latvia
MT,88.6,Μάλτα,Malta
NL,101.1,Ολλανδία,Netherlands
PL,106.8,Πολωνία,Poland
PT,109.3,Πορτογαλία,Portugal
RO,105.7,Ρουμανία,Romania
SE,98.6,Σουηδία,Sweden
SI,98.8,Σλοβενία,Slovenia
SK,104.5,Σλοβακία,Slovakia
