country,Γυναίκες/Άνδρες,eu_countries_gr,eu_countries_en,eu_countries_wb_code
AT,,Αυστρία,Austria,AUT
BE,102.4,Βέλγιο,Belgium,BEL
BG,108.0,Βουλγαρία,Bulgaria,BGR
CY,103.0,Κύπρος,Cyprus,CYP
CZ,103.7,Τσεχία,Czech Rep.,CZE
DE,,Γερμανία,Germany,DEU
DK,101.2,Δανία,Denmark,DNK
EE,110.8,Εσθονία,Estonia,EST
EL,,Ελλάδα,Greece,GRC
ES,,Ισπανία,Spain,ESP
EU27_2020,,E.E.,E.U.,EUU
FI,102.0,Φινλανδία,Finland,FIN
FR,,Γαλλία,France,FRA
HR,,Κροατία,Croatia,HRV
HU,,Ουγγαρία,Hungary,HUN
IE,,Ιρλανδία,Ireland,IRL
IT,,Ιταλια,Italy,ITA
LT,,Λιθουανία,Lithuania,LTU
LU,,Λουξεμβούργο,Luxembourg,LUX
LV,,Λετονία,Latvia,LVA
MT,,Μάλτα,Malta,MLT
NL,,Ολλανδία,Netherlands,NLD
PL,106.9,Πολωνία,Poland,POL
PT,,Πορτογαλία,Portugal,PRT
RO,105.0,Ρουμανία,Romania,ROM
SE,98.8,Σουηδία,Sweden,SWE
SI,,Σλοβενία,Slovenia,SVN
SK,,Σλοβακία,Slovakia,SVK
