date,Greece_NVR,EU_Median_NVR,Greece_SMT,EU_Median_SMT,Greece_USU,EU_Median_USU,Greece_USU_SMT,EU_Median_USU_SMT
1992,94.7,91.9,3.6,2.95,1.7,5.3,5.3,8.15
1993,94.0,92.3,3.8,2.9,2.2,5.5,6.0,8.7
1994,95.4,92.5,2.8,2.75,1.8,5.6,4.6,8.2
1995,95.8,89.45,2.6,3.0,1.6,6.7,4.2,10.9
1996,95.2,90.7,3.4,4.3,1.4,6.0,4.8,10.5
1997,95.0,88.9,3.7,5.2,1.3,6.2,5.0,11.9
1998,94.7,89.8,3.5,4.6,1.7,5.8,5.2,10.8
1999,93.4,89.8,4.3,4.8,2.3,5.1,6.6,10.8
2000,94.5,91.15,3.5,4.85,2.0,4.55,5.5,10.5
2001,93.8,91.4,3.8,4.5,2.4,3.9,6.2,8.9
2002,94.6,91.0,3.1,5.0,2.3,3.7,5.4,10.0
2003,94.6,90.4,3.1,5.1,2.3,4.1,5.4,9.8
2004,95.3,90.1,3.1,5.85,1.5,4.2,4.6,9.95
2005,95.4,90.9,2.9,5.5,1.7,4.2,4.6,9.2
2006,95.6,91.2,2.9,4.8,1.6,3.6,4.5,8.75
2007,96.0,93.1,2.6,3.9,1.4,3.3,4.0,7.1
2008,95.5,91.6,2.8,4.1,1.7,3.8,4.5,7.9
2009,95.7,90.4,2.4,4.9,1.9,3.6,4.3,8.55
2010,96.3,91.9,1.9,5.0,1.8,3.5,3.7,7.65
2011,96.0,89.6,2.0,5.3,2.1,4.0,4.1,9.5
2012,95.2,88.5,2.7,6.2,2.1,4.4,4.8,10.4
2013,95.2,88.9,2.6,6.5,2.2,4.0,4.8,10.85
2014,94.8,89.0,2.5,6.9,2.7,4.1,5.2,10.3
2015,94.4,88.8,3.0,7.6,2.6,3.6,5.6,11.3
2016,94.0,89.1,3.4,7.7,2.6,3.6,6.0,10.9
2017,94.5,89.2,3.2,6.0,2.3,4.5,5.5,10.8
2018,94.9,88.4,3.1,6.6,2.0,5.0,5.1,11.6
2019,94.8,87.4,3.4,7.4,1.9,5.2,5.3,12.6
2020,89.6,80.85,3.4,8.45,7.0,11.55,10.4,19.15
2021,85.1,77.1,8.2,8.9,6.7,11.0,14.9,22.9
2022,90.2,81.3,7.4,9.6,2.5,8.5,9.9,18.7
2023,92.6,82.3,5.5,10.0,1.9,7.7,7.4,17.7
2024,92.2,81.0,5.1,11.3,2.7,7.8,7.8,19.0
