Country_Code,Building_Permits_Annual_Usable_Sqm_Per_Thousand_2024,Country_Name
AT,403.0,Αυστρία
BE,582.3,Βέλγιο
BG,714.7,Βουλγαρία
CY,1952.5,Κύπρος
CZ,330.6,Τσεχία
DE,237.3,Γερμανία
DK,418.3,Δανία
EE,363.7,Εσθονία
EL,341.8,Ελλάδα
ES,354.3,Ισπανία
FI,302.6,Φινλανδία
FR,370.7,Γαλλία
HR,558.6,Κροατία
HU,240.5,Ουγγαρία
IE,742.8,Ιρλανδία
IT,81.4,Ιταλια
LT,450.1,Λιθουανία
LU,737.0,Λουξεμβούργο
LV,376.1,Λετονία
MT,2276.4,Μάλτα
NL,539.1,Ολλανδία
PL,637.5,Πολωνία
PT,655.3,Πορτογαλία
RO,461.5,Ρουμανία
SE,319.6,Σουηδία
SI,423.2,Σλοβενία
SK,293.1,Σλοβακία
