date,Greece,EU_Total,EU_Median
2005,174400,2646000,36800.0
2006,105800,2843800,41500.0
2007,85800,2683300,41100.0
2008,66000,2067900,41000.0
2009,49100,1503000,27200.0
2010,41000,1465700,25100.0
2011,22500,1475600,17600.0
2012,12300,1313800,11600.0
2013,7100,1198900,12300.0
2014,5700,1222800,15100.0
2015,5500,1351600,17600.0
2016,5700,1583500,25300.0
2017,6800,1736800,27600.0
2018,9600,1788400,35500.0
2019,12800,1802300,34200.0
2020,15200,1711900,33800.0
2021,22600,1993200,40000.0
2022,23600,1920400,34600.0
2023,30400,1544300,30400.0
2024,41700,1545700,31900.0
