date,Greece,EU_Total,EU_Median
2005,15800000,341100000,4800000.0
2006,10000000,372000000,5600000.0
2007,8200000,348500000,4900000.0
2008,6200000,266500000,5000000.0
2009,4800000,195100000,3300000.0
2010,3900000,186000000,3400000.0
2011,2200000,183200000,2300000.0
2012,1200000,161900000,1800000.0
2013,700000,146900000,1600000.0
2014,600000,148300000,2000000.0
2015,500000,161700000,2300000.0
2016,600000,185800000,3100000.0
2017,700000,201300000,3500000.0
2018,900000,209700000,4100000.0
2019,1100000,211600000,4100000.0
2020,1400000,206800000,4100000.0
2021,2200000,235600000,4700000.0
2022,2200000,217000000,4200000.0
2023,2700000,169200000,3500000.0
2024,3600000,163100000,3600000.0
2025,2800000,170700000,3600000.0
