country_gr,country_en,total_fatalities_per_million_2024
Αυστρία,Austria,38.0
Βέλγιο,Belgium,40.0
Βουλγαρία,Bulgaria,74.0
Κύπρος,Cyprus,42.0
Τσεχία,Czech Rep.,45.0
Γερμανία,Germany,33.0
Δανία,Denmark,24.0
Εσθονία,Estonia,50.0
Ελλάδα,Greece,64.0
Ισπανία,Spain,37.0
E.E.,E.U.,44.0
Φινλανδία,Finland,32.0
Γαλλία,France,46.0
Κροατία,Croatia,62.0
Ουγγαρία,Hungary,52.0
Ιρλανδία,Ireland,32.0
Ιταλια,Italy,51.0
Λιθουανία,Lithuania,43.0
Λουξεμβούργο,Luxembourg,27.0
Λετονία,Latvia,60.0
Μάλτα,Malta,21.0
Ολλανδία,Netherlands,32.0
Πολωνία,Poland,52.0
Πορτογαλία,Portugal,58.0
Ρουμανία,Romania,78.0
Σουηδία,Sweden,20.0
Σλοβενία,Slovenia,32.0
Σλοβακία,Slovakia,48.0
