artist_name,total_streams_2023,genres,weeks_in_top200_2023
Beyond,175738799,"edm, progressive house, progressive trance, trance, uplifting trance",52
RACK,147771980,greek drill,52
Light,145110786,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock",52
SIDARTA,119196580,greek trap,52
TOQUEL,108558482,"greek hip hop, greek trap",52
Trannos,96434557,"greek drill, greek trap",52
Oge,65877401,,52
Kidd,63854278,modern country pop,48
Dani Gambino,63585084,"greek drill, greek hip hop",52
Hawk,57748203,indie pop,52
FLY LO,57217687,"afrofuturism, alternative hip hop, electronica, escape room, experimental hip hop, glitch, glitch hop, indietronica, instrumental hip hop, intelligent dance music, jazztronica, psychedelic hip hop, wonky",52
Wang,55538431,k-pop,52
RICTA,55041859,,52
Dj The Boy,54767867,greek hip hop,52
Sin Laurent,49547525,greek trap,52
Bloody Hawk,48565024,greek hip hop,52
Saske,48245933,borneo traditional,52
Ivan Greko,48160277,"greek drill, greek trap",52
BeTaf Beats,46455610,,52
Fy,44850396,"alternative pop rock, neon pop punk, pop emo, texas pop punk",52
SNIK,44798983,"greek hip hop, greek trap",52
LILA,40549616,"cantautora mexicana, latin alternative, musica indigena latinoamericana, musica oaxaquena, nuevo folklore mexicano, oaxaca indie, trova",34
Mike G,38256591,rhythm game,51
Skive,37204436,"greek hip hop, greek trap",52
Sigma,36765854,"dancefloor dnb, house, pop dance, uk dance",42
Anastasia,36642096,"greek pop, laiko",52
Mente Fuerte,33170908,"greek hip hop, greek trap",52
Roi 6/12,31454032,greek trap,52
Eleni Foureira,29408806,"greek pop, laiko",52
The Weeknd,28757049,"canadian contemporary r&b, canadian pop, pop",51
Strat,27165124,greek drill,51
LEX,25637426,,51
Bossikan,25536305,"greek drill, greek trap",49
Baghdad,24859282,greek trap,52
Mad Clip,22721430,"greek hip hop, greek trap",52
Ramoon,20683335,,39
Mateos Nps,20477757,,48
MENJU,19231354,,50
Beats Pliz,18359042,,36
DJ.Silence,17094300,dutch house,44
MUNEYLXRD,16645709,greek drill,40
Fullife,16577320,deep tropical house,40
VLOSPA,15797092,greek trap,30
Melisses,15480342,"greek pop, greek trap, laiko",52
Destiny,15028392,"dance pop, girl group, pop, r&b, urban contemporary",23
Paris Kalpos,14808802,,36
Lava,14399004,,36
Konstantinos Argiros,14167380,"greek pop, laiko",50
Nikos Oikonomopoulos,12390649,"greek pop, laiko",46
ROPEX LATERIO,12000114,,36
Metro Boomin,11898139,rap,51
Kimi,11171635,,31
Dof Twogee,11122847,"greek drill, greek hip hop",51
Thug Slime,11058593,greek trap,45
Alitiz,10976451,,27
21 Savage,9098012,"atl hip hop, hip hop, rap",51
Night Grind,9048702,greek drill,46
City Center,8995592,,39
Chico Beatz,8965099,,29
Giorgos Kakosaios,8878817,"greek pop, laiko",52
DIFF,8714400,"classic oklahoma country, contemporary country, country, country road",24
Central Cee,8640275,"melodic drill, r&drill",30
Koraki,8110859,,27
Tokesick,8110859,,27
Sativa,8110859,,27
Eleuthero Pneuma,8110859,,27
Logos Timis,8110859,"greek hip hop, greek underground rap",27
ZAF,7989364,,34
Immune,7871312,greek drill,36
Mc Daddy,7734538,greek trap,35
Sin Boy,7599107,"greek hip hop, greek trap",23
ObieDaz,7590467,,49
Ioulia Kallimani,7343279,"greek pop, laiko",40
Michael Touratzidis,7343279,greek pop,40
Ellize,7333861,greek fem rap,44
DJ PaCo,7306832,,24
Block 93,6883359,greek drill,48
Travis Scott,6827277,"rap, slap house",17
DJ Cron,6716038,"previa, rkt",28
Teo Tzimas,6678597,greek pop,37
Tsaki,6430945,"greek hip hop, greek trap",33
DJ Stephan,6377843,greek trap,22
Ggreco,6330136,greek drill,26
Lil Koni,6232711,greek trap,11
Tania Breazou,6037590,,24
Kings,6030381,"modern rock, rock",39
Alecc,6023153,greek trap,26
Dave,6007118,clap and tap,30
Sp93,5978686,,48
Ricky Rich,5657511,swedish trap pop,27
Display,5537844,"greek hip hop, greek trap",25
FANN,5535199,"colombian pop, latin pop, reggaeton",22
Arctic Monkeys,5422136,"garage rock, modern rock, permanent wave, rock, sheffield indie",52
Jo Lids,5341137,,20
Nineb Youk,5341137,"swedish hip hop, swedish trap pop",20
Mikros Kleftis,5215265,"greek hip hop, greek underground rap",11
KONY,5144781,,15
Raps On The Run,5142083,greek drill,42
Christina Salti,5045287,"greek pop, laiko",41
Stanley,4907731,,38
Future,4892944,"atl hip hop, hip hop, rap, southern hip hop, trap",43
Baby Gang,4872725,trap italiana,37
Leaderbrain,4850069,greek trap,47
Peggy Gou,4824240,"electra, float house",23
Sapranov,4798282,greek trap,47
Kako,4778904,funk paulista,38
Miley Cyrus,4590300,pop,33
Drake,4489017,"canadian hip hop, canadian pop, hip hop, pop rap, rap",31
Dirty Harry,4480039,greek trap,32
Bobito,4390601,,36
Ayman,4390601,,36
Feisty,4192988,greek trap,30
Playboi Carti,4169464,"atl hip hop, plugg, pluggnb, rage rap, rap",30
David Guetta,4012848,"big room, dance pop, edm, pop, pop dance",39
Electabaz,3896418,,41
Christos Mastoras,3795702,"greek pop, laiko",27
Tanto,3692784,"dancehall, jamaican dancehall",27
Jitano,3615256,greek drill,25
SZA,3593918,musical advocacy,30
MG,3554321,burmese pop,11
Josephine,3535982,"greek pop, laiko",32
Gamecue,3446288,,30
Bebe Rexha,3408888,"dance pop, pop",39
Gunna,3390496,,26
Echo,3388575,"indietronica, metropopolis, nu disco, shimmer pop",17
Despina Vandi,3387916,"greek pop, laiko",26
Madonna,3374519,"dance pop, pop",30
Solid,3220183,"merengue, tropical",26
WhiteShadow,3209071,,39
Hades,3199128,,20
ATC Nico,3179936,greek drill,19
Savv,3112320,,12
Bres,3110336,,7
Harry Styles,3085323,pop,38
BretBeats,3084111,,37
Swedish House Mafia,3051782,"edm, pop dance, progressive electro house",40
Ortiz,3046686,"banda, corrido, musica mexicana, norteno, sierreno",17
Thodoris Verlis,3034337,,17
Doja Cat,3022569,"dance pop, pop",20
mi368,3006349,,27
Don Toliver,2997381,rap,43
APON,2991306,greek trap,6
Morad,2964104,"drill espanol, urbano espanol",29
Daft Punk,2961101,"electro, filter house, rock",39
Giorgos Sabanis,2956459,"greek pop, laiko",27
ATC Coco,2924116,greek trap,19
RAYE,2874989,"uk contemporary r&b, uk pop",19
Bobo,2835086,,29
Tate McRae,2763021,pop,15
GMARK,2736185,,22
Verde,2733013,"argentine rock, latin alternative, latin pop, latin rock, mexican pop, rock en espanol, ska argentino",7
Tugan,2718904,,13
Skoul,2718904,kritika,13
HGEMONA$,2692181,greek drill,19
Finem,2684072,albanian pop,19
Sicario,2610293,,8
Claydee,2466939,,15
Lopico,2466939,,15
Haris Alexiou,2433654,"entehno, laiko",6
Onad,2374645,,18
070 Shake,2252815,new jersey rap,19
Gesaffelstein,2187749,dark clubbing,19
Chris Brown,2178135,"r&b, rap",17
Yolte,2172796,greek trap,23
Sadam,2170326,"greek drill, greek trap, greek underground rap",11
Greco Beats,2168763,,19
David Kushner,2163886,"gen z singer-songwriter, singer-songwriter pop",24
Taylor Swift,2142717,pop,23
Loreen,2105008,europop,14
Saxpas,2083307,,25
Kenya Grace,2071341,singer-songwriter pop,16
Ethismos,2035337,"greek drill, greek underground rap",9
Aspa,2034016,,20
Sam Smith,2029664,"pop, uk pop",20
Kim Petras,2029664,"alt z, dance pop, pop, transpop",20
Martha Frintzila,1880036,greek indie,21
Orestis Ntantos,1880036,,21
Misk,1851481,uk alternative pop,8
Roran,1841436,,7
Antonis Remos,1832476,"greek pop, laiko",19
Yll Limani,1816137,"albanian pop, kosovan pop",9
Dua Lipa,1649167,"dance pop, pop, uk pop",16
Khay Be,1640199,greek trap,14
Skouti Beats,1633286,,6
Ariana Grande,1622159,pop,10
Matthaios Tsahouridis,1591249,pontian folk,20
Ice Spice,1580626,bronx drill,18
Negros Tou Moria,1541920,greek hip hop,6
Eminem,1524752,"detroit hip hop, hip hop, rap",18
KoyDaNephew,1501034,greek drill,19
Bexli,1501034,,19
Stan,1477665,musical advocacy,10
OLPO,1456674,,21
Katerina Lioliou,1443297,"greek pop, laiko",13
Evangelia,1441565,,15
Vasilis Karras,1424689,"greek pop, laiko",1
Rvchet,1411645,,4
Phen,1385338,,5
Nuki,1373504,,4
Silly Slime,1373282,,9
Rema,1368710,"afrobeats, nigerian pop",22
Selena Gomez,1368710,"pop, post-teen pop",22
DJ Tune,1323681,"afrobeats, nigerian pop",7
Pala Tranx,1310124,,16
Olivia Rodrigo,1293183,pop,12
Klavdia,1289208,ukrainian pop,13
Yeat,1255244,"pluggnb, rage rap",12
Panos Kiamos,1234614,"greek pop, laiko",20
Tory Lanez,1193483,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",19
Tiësto,1178845,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance",17
Antzy Samiou,1176725,"greek pop, laiko",12
Pape Diouf,1173157,,13
Coco,1173157,"children's music, preschool children's music",13
Joezi,1173157,,13
Evan Spikes,1165585,greek trap,16
Elai,1159477,"albanian hip hop, albanian pop",16
Coi Leray,1135439,"new jersey underground rap, trap queen",9
1.Cuz,1117569,"swedish drill, swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",6
Jung Kook,1086488,k-pop,12
BoyPanda,1075528,traprun,4
12os Pithikos,1075528,"greek hip hop, greek trap, greek underground rap",4
Th Mark,1056108,hip house,11
Lana Del Rey,1036013,"art pop, pop",11
Billie Eilish,1035326,"art pop, pop",11
DAMIAN,1028468,"reggae, reggae fusion",10
Dogoloco,1003527,,7
Bizarrap,1002332,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",9
Shakira,1002332,"colombian pop, dance pop, latin pop, pop",9
ARMA,997524,"corrido, corridos tumbados, sad sierreno, sierreno",10
ODYDOZE,996175,,4
Buzz,990089,"alternative rock, britpop, madchester, new wave, post-punk, punk, uk post-punk",6
DJ Kas,986214,chilean hardcore,14
Giorgos Mazonakis,981159,"greek pop, laiko",12
iñigo quintero,969739,,8
Michael Bublé,966399,"adult standards, canadian pop, jazz pop, lounge",5
Mariah Carey,943806,"dance pop, pop, urban contemporary",6
Latto,935245,trap queen,11
PinkPantheress,915425,bedroom pop,11
Brenda Lee,902304,"adult standards, easy listening, lounge, rockabilly",6
Wham!,902191,"new romantic, new wave, new wave pop, soft rock",6
Mel,891331,"indietronica, metropopolis, nu disco, shimmer pop",6
Corle,890942,"indietronica, metropopolis, nu disco, shimmer pop",9
Baki,862749,gym hardstyle,4
Marseaux,858884,"greek fem rap, greek hip hop, greek pop",10
Melow,855624,,5
Tyla,854311,,9
$ulee,852451,,5
Gosei,838420,,12
Tom Odell,831773,chill pop,14
Devito,810983,clap and tap,7
Bad Bunny,795354,"reggaeton, trap latino, urbano latino",7
Lena Zevgara,792764,"greek pop, laiko",8
Lau Jr,784036,greek drill,11
Solmeister,783902,greek hip hop,9
YT,779268,,4
Pantelis Pantelidis,757126,"greek pop, laiko",11
Yanek,747671,,5
Foxy Lee,744093,,6
Lil Uzi Vert,725828,"hip hop, melodic rap, philly rap, rage rap, rap, trap",13
duKYS,719044,greek trap,8
Bobby Helms,716173,,6
Lil Barty,715266,greek trap,11
Lobo,707384,,6
Giorgos Orfanidis,707384,,6
Katohos,677675,greek underground rap,6
Stepper,677675,,6
Aqua,665201,"bubblegum dance, eurodance, europop",7
Nicki Minaj,665201,"hip pop, pop, queens hip hop, rap",7
James Carter,661947,"pop dance, uk dance",13
Elley Duhé,661947,alt z,13
MEDUZA,661947,"edm, pop dance, pop house, uk dance",13
FAST BOY,661947,"hypertechno, pop dance",13
OneRepublic,660037,"piano rock, pop",13
For3al,654543,,12
Marina Satti,643810,"greek pop, greek swing",7
D-Block Europe,622174,"melodic drill, uk hip hop",9
cassö,622174,"hypertechno, pop dance",9
Petros Iakovidis,621172,"greek pop, laiko",7
JENNIE,611960,k-pop,7
Lily-Rose Depp,611960,pop,7
Anne-Marie,603960,pop,9
Dean Martin,591552,"adult standards, easy listening, lounge, vocal jazz",5
Apostolia Zoi,580435,"greek pop, laiko",10
V9,575804,"alternative pop rock, neon pop punk, pop emo, texas pop punk",3
Sanko,567817,,2
Andy Williams,557821,"adult standards, easy listening",5
Bato Beats,532916,,9
Tsabi,532916,,9
The Neighbourhood,527715,"modern alternative rock, modern rock, pop",10
Edo Fendy,524227,,6
Ledri Vula,524227,"albanian hip hop, albanian pop, kosovan pop",6
RZON,524227,albanian pop,6
Ioannis,522144,,4
Yung Megistan,519103,,7
Sia,515783,musical advocacy,5
Käärijä,508272,finnish pop,3
Stolou,492234,,4
Nikos Makropoulos,492076,"greek pop, laiko",9
Foivos,479706,"greek pop, laiko",3
Livar,474112,,8
Sohood,474112,,8
EPITHE,472683,greek hip hop,6
Eversor,457094,,6
