artist_name,total_streams_2023,genres,weeks_in_top200_2023
Beyond,175738799,"edm, progressive house, progressive trance, trance, uplifting trance",52
RACK,147771980,greek drill,52
Light,145110786,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock",52
SIDARTA,119196580,greek trap,52
TOQUEL,108558482,"greek hip hop, greek trap",52
Trannos,96434557,"greek drill, greek trap",52
Oge,65877401,,52
Kidd,63854278,modern country pop,48
Dani Gambino,63585084,"greek drill, greek hip hop",52
Hawk,57748203,indie pop,52
FLY LO,57217687,"afrofuturism, alternative hip hop, electronica, escape room, experimental hip hop, glitch, glitch hop, indietronica, instrumental hip hop, intelligent dance music, jazztronica, psychedelic hip hop, wonky",52
Wang,55538431,k-pop,52
RICTA,55041859,,52
Dj The Boy,54767867,greek hip hop,52
Sin Laurent,49547525,greek trap,52
Bloody Hawk,48565024,greek hip hop,52
Saske,48245933,borneo traditional,52
Ivan Greko,48160277,"greek drill, greek trap",52
BeTaf Beats,46455610,,52
Fy,44850396,"alternative pop rock, neon pop punk, pop emo, texas pop punk",52
