genre_name,total_streams_2023
greek drill,422555398
greek hip hop,415109040
greek trap,242424351
greek pop,182812205
pop,20020158
greek fem rap,19060226
rap,18039990
canadian contemporary r&b,17202112
dance pop,6012812
uk hip hop,6007118
garage rock,5422136
swedish hip hop,5341137
big room,5191693
canadian hip hop,4984509
trap italiana,4872725
electra,4824240
edm,3713729
atl hip hop,3478119
adult standards,3179680
melodic drill,2966523
entehno,2433654
greek underground rap,2358448
gen z singer-songwriter,2256660
uk contemporary r&b,2252815
greek indie,2128854
europop,2105008
singer-songwriter pop,2071341
art pop,1788769
albanian pop,1609481
detroit hip hop,1524752
afrobeats,1368710
r&b,1308506
albanian hip hop,1159477
k-pop,1086488
bedroom pop,1053273
argentine hip hop,1002332
new romantic,902191
chill pop,831773
hip hop,776686
hip pop,665201
piano rock,660037
hypertechno,622174
dark clubbing,594955
new jersey underground rap,531479
modern alternative rock,527715
finnish pop,508272
classic greek pop,476141
deep groove house,411770
french pop,353394
brooklyn indie,340993
latin pop,336595
brill building pop,335624
israeli pop,291164
permanent wave,286234
r&b francais,271979
cypriot pop,271853
drill espanol,129018
alt z,119280
indie rock italiano,118884
alternative hip hop,88045
soft rock,73321
australian pop,71565
deep underground hip hop,68670
eurodance,63710
belgian edm,63621
alternative metal,61298
irish singer-songwriter,50876
