label_name,total_streams_2023
101,358026
12os Pithikos,1075528
300 Entertainment,3390496
307 Records,963703
729 Records,60001
ALPHA RECORDS,1176725
ATC Family,3405144
Above The Hood,44975670
Above The Hood / Stay Independent,3146526
Acqustic,969739
Aftermath,1524752
Alphapop Network,7531300
Anser,76701
Aspect4Music,74597
Atlantic Records,3178763
Atlantic/WM Italy,2037639
BIGHIT MUSIC,1086488
BMR Distribution Deals,51714
Balkans Records,17245036
Barcode Entertainment,139821325
Big Buzz Productions,318547
Black Money Records,51508183
Black Phone Entertainment,48269655
BlackBandana,4594017
Cactus Jack/Epic,6141851
Capital Music,165248791
Capitol Records,673039
Capitol Records UK / EMI,2029664
Central Cee,2633157
Chris Brown Entertainment/RCA Records,954299
City Center,44852939
Cobalt Music - Helladisc S.A. (GR),6071109
Columbia,10014748
Columbia/Legacy,557821
Crime Records,2977574
DALE PLAY Records,1002332
Darkroom/Interscope Records,1173174
Dead Oceans,340993
Do It Yourself,63710
Domino Recording Co,5422136
Down2Earth Music Ltd,2466939
EMI,742518
EMI Recorded Music Australia Pty Ltd,71565
Edo Fendy,524227
Elai,1159477
Elite Musik,55682003
Epic,3742928
Epic Amsterdam,63621
Ethismos,950548
FANN,4267947
FAX Records/Epic,854311
Fole Publishing 2024,1085254
Fumez The Engineer,285410
GMARK,2736185
Geffen,80117
General Publishing Company S.A.,580435
Generation Now/Atlantic,794498
Good Vybz Music,967351
Harbour Artists & Music,119280
Heaven Music,7646904
Human Re Sources,2252815
ITNO/Columbia,831773
Interscope,292954
Interscope Records,293103
Jive,354207
KAN Israeli Public Broadcasting Corporation under exclusive license to D-Music,291164
Katohos,677675
Keep It Pure,532916
Kemosabe Records/RCA Records,3022569
Lamanif,98169
Legacy Recordings,335624
Lex,9493452
Lobo,707384
Logos Timis,8110859
Loud Memory,230179
Love Records,65720
M.D.L.R,129018
MCA Nashville,902304
Mad Clip,14142152
Manteio,4778904
Mavin Records / Jonzing World,1368710
Melody Maker,256457
Mente Fuerte,2421210
Michael Touratzidis,6668058
Mikros Kleftis & Tsaki,3854741
Ministry of Sound Recordings,622174
Minor Music,81288
Minos - EMI SA,3677446
Minos - EMI SA Distribution Deals,350198855
"Miserable Music Group, LLC",2163886
Monkey Puzzle/Atlantic,515783
Mosley Music/Interscope Records,366934
Motown Records,87623
NF Real Music II,50858
Neighbourhood / Live Yours,6007118
Nineb Youk X Toquel,5341137
OVO,188415
OVO / Republic Records,1138432
OVO/Republic,2217681
OVO/Republic Records,246498
OffBeat Records,184087071
Olivia Rodrigo PS,1293183
One Umbrella Records,1193483
Paifan,990897
Panik & Stay Independent under exclusive license from Capital Music,668916
Panik Gold,418873
Panik Platinum,21448728
Panik Platinum under exclusive license from Michael Touratzidis,675221
Panik Records,74899474
Panik Records / City Pop Records,120163
Parlophone UK,4299082
Polydor Records,398438
RCA Group,271979
RCA Records Label,3431166
Raps On The Run,5142083
Raw,391675
Relxvant,47956
Reprise,966399
Republic Records,17195901
Retro,120961
Rhino,73321
Royal Ent,1586923
Rubyworks / Universal-Island Records Ltd,50876
SIDARTA,100057
Sination,67807
Sky Vector Music,193880
Sky Vector Music & City Music,207528
Sonar Music,492076
Sony Music CG,902191
SteroiduKYS Squad,719044
THEAMA / Heaven Music,57268
Taylor Swift,2142717
Th Mark,1056108
The Spicy Effect,207853
Top Dawg Entertainment/RCA Records,2958608
Trapsion Entertainment,391342
Tugan,2718904
"Ultra Records, LLC",1173157
Universal Digital Enterprises,397626
Universal Music AB,2105008
Universal Music AS,245615
Universal Music Division Capitol Music France,80745
Universal Records,641559
Universal Republic Records,10081827
Universal-Island Records Ltd.,1073717
Uptown / Republic Records,531479
Urban,62051
WM Finland,508272
WM Germany,5657511
WM Italy,2835086
Wake & Bake,416981
Wang,34522179
Warner Records,1379218
Warner Records/Major Recordings,2071341
XL Recordings,4824240
XO / Republic Records,4967079
Yung Megistan,519103
Zoro&Buzz,913388
