label_name,total_streams_2023
Minos - EMI SA Distribution Deals,350198855
OffBeat Records,184087071
Capital Music,165248791
Barcode Entertainment,139821325
Panik Records,74899474
Elite Musik,55682003
Black Money Records,51508183
Black Phone Entertainment,48269655
Above The Hood,44975670
City Center,44852939
Wang,34522179
Panik Platinum,21448728
Balkans Records,17245036
Republic Records,17195901
Mad Clip,14142152
Universal Republic Records,10081827
Columbia,10014748
Lex,9493452
Logos Timis,8110859
Heaven Music,7646904
