uri,track_name,artist_names,total_streams_2023,weeks_in_top200_2023
spotify:track:4HrtkH6VWOqrstEi1psSux,KAPOTE,"Kidd, MUNEYLXRD, Fullife",16577320,40
spotify:track:6wpj0XOOx9rJkoNYCv2d7i,ENA VRADI,"Saske, SIDARTA, Ramoon",11403319,39
spotify:track:1bPzfHjRXPvoyWaL5ZOmZE,Oulala,"Mente Fuerte, RACK, Beyond",16556693,46
spotify:track:0wSr8ysRGt83Z58ilyhWdD,MYSTIKA,"SIDARTA, Beyond",10638181,43
spotify:track:249Ccx4Udp9bMug0T505Vx,Tik Tak,Trannos,16173550,47
spotify:track:36eKhbZ5KaCBuBX2IL9ujN,CASTELLANO,"Dani Gambino, Dj The Boy",9313664,41
spotify:track:21XpNalPqaFWQD0SwpIH8S,Strippers,"Light, 1.Cuz",1117569,6
spotify:track:09vYLUMM3T0Ewf1oqQHsr0,NEOI STO NOSOKOMEIO,"Dani Gambino, Wang, Dj The Boy",8398631,41
spotify:track:5mIQunQDz2X9MIbZN1q7Qt,BOLIVIA,Strat,2800431,17
spotify:track:6y9u6j2wCh0Iq5Y128F6Oj,Elpida,Konstantinos Argiros,6795048,36
spotify:track:5rrbMbJK3LGzQ6B25aBD2r,PSEMA,"SIDARTA, Beyond",10584964,52
spotify:track:68VZOnnBf2YQE938rglfzb,Patision,"Fy, Light",3383699,20
spotify:track:45YWebKLhmd2q2dXPPhvrI,NAPOLI,"RACK, Sin Laurent",13162547,49
spotify:track:6BD0v9IBfEGUkEDutrD9sF,KATOSTARI,"SIDARTA, Sigma",8360329,38
spotify:track:1o4EITAp7a7zGUO2zNZVxN,BOUNCY,"MG, SNIK",968032,6
spotify:track:1MD67DskmJhSXmuHe8p7Wt,Gia Panta,"Wang, Mateos Nps",8417645,45
spotify:track:77S1MD14JNFGwTVlr1NLTh,Idrogeios,Wang,8574736,44
spotify:track:0XEvweAMtxdcSOfNdrF1sT,Mi Milas,Anastasia,2279794,11
spotify:track:72bjMYZpSvvqReSTN0UakQ,AGAPI,Sigma,5536597,33
spotify:track:0yHkbTORVndswYARPdzteN,Gaza,"SNIK, Ivan Greko, BeTaf Beats",8327744,52
spotify:track:2Oi95MuaeyJqTnGynhLB0x,BAZOOKA,"Ivan Greko, BeTaf Beats",3605389,19
spotify:track:2cXQUlkrLVrfxOJe6wjhJb,ERIMO,SIDARTA,9406169,52
spotify:track:1VbsLy6fugQV3mBK7e9mS0,Larry Hoover,"FLY LO, Mike G",5588098,14
spotify:track:2AnS79agFiksGX85ML5T5r,Habibi (feat. Ricky Rich) - Greek Remix,"Fy, Ricky Rich",5657511,27
spotify:track:2QDibAx72jveQXPBXOKjx2,24hrs,"Light, Trannos",9852366,52
spotify:track:0OyiXp4CdjqOYDSpzgfEx7,FAVELA,"RACK, Oge, MENJU",8688952,50
spotify:track:4HUybQN2HMxIigH0pxFhOM,CASH OUT,"Mikros Kleftis, Tsaki, LEX",1561638,11
spotify:track:3GKShHi6IKb89UlxpDBxO0,SIMPLOKES,"Dani Gambino, Dj The Boy",5069326,38
spotify:track:2u3kkvRqcYi56BNXEX6hri,Drive By,"Light, Alitiz",5112135,25
spotify:track:60zQyrq9mbhlE4YxTkudjO,Lamborghini Weiss,"Ellize, Kidd",4235796,24
spotify:track:7k2h3IHuFUQLclllRPRKTZ,Mystiko,Anastasia,4855599,24
spotify:track:29kTgA9pGo9RYwhED65ZrS,Obsessed,"Light, Fy, Trannos",9145337,52
spotify:track:1OGTkqFF8EmYZvDLuHAXsw,AMOR,"RACK, Beyond",8873423,52
spotify:track:2WmQtBy5wG8rdeqYhwljNK,Forema,"Roi 6/12, TOQUEL",8070264,52
spotify:track:3oLk5zKhxczGaUhLbKrFaT,KNOCK KNOCK,"Dani Gambino, Dj The Boy",5070101,41
spotify:track:2oAoWaGzQeq8JMywmukQ8J,CELINE,"Hawk, Baghdad",8568635,52
spotify:track:6yyMD0sKGOovYrRaE1td8w,FUCK DA POLICE,"RICTA, DJ.Silence",4046494,16
spotify:track:5btENPtD4TAjRGkC4IXafe,Epiloges,"Light, Melisses, Skive",6032845,40
