track_name,artist_names,total_streams_2023,weeks_in_top200_2023
DEJA VU,"LILA, RACK, Beyond",19437604,34
AGAPI - Remix,"Sigma, Light",17805614,34
KAPOTE,"Kidd, MUNEYLXRD, Fullife",16577320,40
Oulala,"Mente Fuerte, RACK, Beyond",16556693,46
Tik Tak,Trannos,16173550,47
Blue Iguana,Hawk,13873353,31
NAPOLI,"RACK, Sin Laurent",13162547,49
9MM,"RACK, Oge",13161459,28
ENA VRADI,"Saske, SIDARTA, Ramoon",11403319,39
No Sleep,"Light, Trannos",11014552,20
MYSTIKA,"SIDARTA, Beyond",10638181,43
PSEMA,"SIDARTA, Beyond",10584964,52
La Vida Loca,"Kimi, Light, Skive",10379643,31
PAPAGOU,SIDARTA,10318049,35
ME N U,"RACK, Sin Laurent",10080704,20
24hrs,"Light, Trannos",9852366,52
Gennaro,Light,9513877,36
Sagapw,Bossikan,9456851,29
ERIMO,SIDARTA,9406169,52
CASTELLANO,"Dani Gambino, Dj The Boy",9313664,41
