artist_name,total_streams_2024,weeks_in_top200_2024
Beyond,238694288,1067
TOQUEL,233969120,1166
RACK,195202050,871
Light,146383406,674
Sin Laurent,112462700,492
SNIK,110029152,508
Wang,99809134,554
Trannos,94847621,480
Bloody Hawk,91895032,550
FLY LO,85900928,341
Ivan Greko,85621189,371
SIDARTA,78663509,450
Oge,73612410,355
Kidd,72671667,387
BeTaf Beats,69685944,341
LILA,68730403,275
Dani Gambino,61821401,405
Arab,57138528,254
Saske,53637869,339
Mateos Nps,50914106,230
Strat,50800254,277
Hawk,49381606,247
LEX,48002604,180
DIFF,47600612,229
Roi 6/12,47573796,171
APON,44657567,167
Dof Twogee,41924454,119
Sicario,40443862,163
Anastasia,39117451,234
Fy,31286391,193
Eleni Foureira,29611085,143
Sanko,28822734,113
Marina Satti,26583873,91
Bossikan,24759808,141
Baghdad,21262037,95
Sigma,20058384,128
Lava,19670300,100
Ioannis,19318592,78
Sadam,19108029,117
Mente Fuerte,18242918,105
Mike G,17882245,97
Melisses,16409341,87
Mad Clip,16204442,165
MENJU,15445041,84
Paris Kalpos,15260459,72
ROPEX LATERIO,15178439,70
ASOK,14369615,70
Voyage,13698132,56
Marina Spanou,13573540,59
Evangelia,13307125,38
Onad,13170155,91
Ortiz,12944248,41
Billie Eilish,12934145,93
Konstantinos Argiros,12175534,69
VLOSPA,12106676,67
The Weeknd,12024297,101
Rvchet,11424445,46
Katerina Lioliou,11383848,95
Adam Port,10899870,36
Keinemusik,10899870,36
Stryv,10828868,35
Orso,10828868,35
Malachiii,10828868,35
Playboi Carti,10823368,87
Tr4cer,10291204,58
Block 93,10235787,80
RICTA,9860024,82
Sabrina Carpenter,9628649,67
Dj The Boy,9592437,112
Teo Tzimas,9491107,39
Despina Vandi,9386626,42
MUNEYLXRD,9320911,54
Marseaux,9225582,49
Fullife,9141122,52
Thodoris Verlis,8965946,38
Christos Mastoras,8826190,64
Ioulia Kallimani,8417351,69
Michael Touratzidis,8417351,69
Enisa,7941635,27
Nikos Oikonomopoulos,7811314,45
Franklin WWT,7554723,22
Ethismos,7445972,53
2nd Roof,7363728,33
Yanek,7363204,47
Thodoris Ferris,7273855,70
ZAF,7237304,52
Bres,7065263,44
Kendrick Lamar,6981278,55
Destiny,6867874,56
Verde,6670544,36
Travis Scott,6609518,71
Ivi Adamou,6563539,41
Echo,5988984,31
Ramoon,5814825,49
Beats Pliz,5753040,61
Giorgos Kakosaios,5666351,66
Tayna,5632442,31
Solid,5594764,49
Lefteris Pantazis,5413584,20
Nick Kodonas,5413584,20
Efi Thodi,5413584,20
Teddy Swims,5329622,51
Savv,5279629,29
Lily-Rose Depp,5128287,52
JENNIE,5128287,52
Danae,5098876,19
Bruno Mars,5036814,29
Anna Vissi,4860830,39
Lil Koni,4787238,25
Morad,4712674,42
Daecolm,4599262,23
Arash,4599262,23
