track_name,artist_names,total_streams_2024,weeks_in_top200_2024
MBAPPE,"SIDARTA, Light, Sin Laurent",22406800,38
MA BELLA,"RACK, TOQUEL, Beyond",19587159,29
Allou,"TOQUEL, LILA, Beyond",18818186,52
ISOS,Sicario,15992928,52
OMERTA,"RACK, Light, Beyond",15579330,29
Vorias,APON,14822553,28
MILLION,"RACK, Beyond",14767516,46
Arga,"Light, Trannos",14051254,44
9ARI,"LILA, RACK, Sin Laurent, Beyond",13774170,37
3:15,TOQUEL,12914229,52
OAED - Remix,"SNIK, TOQUEL, Voyage, Ivan Greko, BeTaf Beats",12293366,49
Skoni,TOQUEL,12135589,52
Vradia,"Roi 6/12, Evangelia",11874340,29
Bonnie,SNIK,11348471,32
Taxidi,Marina Spanou,11123634,39
Dokimasia,"Wang, Bloody Hawk, Mateos Nps",10973815,35
Monaxiki Kardia,Melisses,10968509,31
Gdysou,"APON, Eleni Foureira",10888637,52
Balkan Disco,"Lava, ROPEX LATERIO, Paris Kalpos",10699263,37
Siga To Prama,Anastasia,10650499,34
Parapatao,"Wang, Mateos Nps",10438079,35
Zurbaran,TOQUEL,10422388,52
Magia,FLY LO,10318567,44
Allegra (N1),Light,10306605,42
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",10265688,29
MYKONOS,Strat,10227754,31
EMRATA,"Sin Laurent, Oge, RACK",9821182,30
Xiliometra,APON,9710513,15
ATOUTALER,"LILA, Beyond, Sin Laurent",9601866,50
ANASAINO KAI ZALIZOMAI,"LILA, Sin Laurent, Beyond",9482137,45
Normal,Roi 6/12,9329804,24
No Sleep,"Light, Trannos",9294532,52
XOROS,Sicario,9289955,52
OAED,"SNIK, Ivan Greko, BeTaf Beats",9247539,47
Drugs N Bass,"Hawk, Light",9134851,34
Sukarie,"Trannos, Thodoris Verlis",8965946,38
1+1,"Sigma, Hawk",8870696,34
Death Before Dishonor,"Light, Kidd",8775767,38
Panama,"Trannos, Arab",8760886,24
Trap,"TOQUEL, FLY LO, Baghdad",8752193,26
Panselinos,"Despina Vandi, Mente Fuerte, Teo Tzimas",8684731,33
MAALOX,"Bloody Hawk, Dani Gambino, Wang",8645557,42
PRIN MAFISEIS,"Saske, RACK, Beyond",8561567,39
THE DEAL,"Bloody Hawk, Dani Gambino, Wang",8508598,41
Carvajal,"TOQUEL, Ioannis",8481475,27
DEJA VU,"LILA, RACK, Beyond",8183858,52
Success Freestyle,"TOQUEL, Ioannis",8085012,45
SILLY BOY,"Ivan Greko, Trannos, BeTaf Beats",8053071,12
KSEHORISTO,Sicario,8026897,44
Allo,"Anastasia, Enisa",7941635,27
Romanzo Criminale,"Light, Hawk",7927062,25
PAPAGOU,SIDARTA,7718070,49
G63,"TOQUEL, Bloody Hawk",7583231,52
CASABLANCA,"SNIK, Franklin WWT, Rvchet",7554723,22
Drive By,"TOQUEL, Beyond",7551823,50
VENDETTA,"RACK, MENJU, Oge",7467302,29
Simadi,Anastasia,7466451,48
ME N U,"RACK, Sin Laurent",7371261,49
Messy,Light,7303717,24
Pes,"ZAF, Christos Mastoras",7237304,52
Fake Love,"TOQUEL, RACK, Beyond",7158558,48
BBL,"Oge, RACK, Kidd, Fy",7108247,26
XRONO,"SIDARTA, Beyond",7029288,24
Superstars,"Trannos, SNIK",7021258,25
Pano,"Bloody Hawk, TOQUEL",6932590,30
8A,"Ivan Greko, SNIK",6920999,19
Book of ra,"Arab, ASOK",6813081,13
AUTOS,Sicario,6753628,10
Platina,"TOQUEL, Sin Laurent",6734242,52
ESY,"RACK, SIDARTA, Sin Laurent, Oge",6717221,28
Tik Tak,Trannos,6554394,47
Terrano,"Wang, Dani Gambino, Mateos Nps",6516128,32
TT,SNIK,6493686,28
10',"Saske, Eleni Foureira",6461773,19
AKINHTA,"Ivan Greko, DIFF, Strat, BeTaf Beats, Sanko",6418722,31
Euro Gangsta,Mad Clip,6367058,52
KAPOTE,"Kidd, MUNEYLXRD, Fullife",6339949,35
Erotas,SNIK,6329130,49
ZARI,Marina Satti,6324802,9
FANTA,"DIFF, Arab",6133086,18
ALILOUYA,"RACK, Ortiz",6121839,19
DOLCE GABBANA,"TOQUEL, FLY LO, Beyond",6114578,4
Idrogeios,Wang,6053049,50
Frena,Roi 6/12,5941381,11
HABIBI,"Arab, Tr4cer",5938688,25
GUZMAN,"Ivan Greko, Arab, Sanko",5930238,12
Eipes,Ivi Adamou,5930215,33
Aeroplano,"Eleni Foureira, Beyond",5916429,23
F16,"RACK, Dani Gambino, Beyond",5788826,27
KATHE MERA,"Bloody Hawk, Dani Gambino, Wang",5755477,42
BIRDS OF A FEATHER,Billie Eilish,5754934,32
Palmous,"TOQUEL, SIDARTA, Beyond",5709024,51
NA PAS,"Kidd, Oge",5650481,28
16,"RACK, Sin Laurent",5638408,34
KVL 2,"Bloody Hawk, Wang",5569333,30
Beverly Hills,TOQUEL,5517309,52
0-100,Fy,5495988,32
SHOOTER ME TN,RACK,5453612,5
MIXTAPE,"Marina Satti, Lefteris Pantazis, VLOSPA, Oge, RACK, Efi Thodi, Nick Kodonas",5413584,20
Rabanne,"FLY LO, Strat",5375560,13
777,TOQUEL,5345485,52
LALE,"Roi 6/12, SNIK, DIFF",5316962,14
Nikiastike,Katerina Lioliou,5294152,46
Nyxterides,"LEX, Dof Twogee",5276135,5
EISAI TRELA,"RACK, Konstantinos Argiros, MENJU, Oge",5216106,25
Homesick,"Wang, Mateos Nps",5211065,27
Alitiki Agapi,"LEX, Dof Twogee",5208602,5
XILIOMETRA,"Saske, SIDARTA, Beyond",5197439,19
7/7,"Ioulia Kallimani, Michael Touratzidis",5148189,43
AGAPI - Remix,"Sigma, Light",5146833,40
LALALALA,Marina Satti,5136437,19
AURIO,"Saske, Danae",5098876,19
Hallelujah,"Sadam, Dof Twogee",5029937,17
Apotoma,"Yanek, Block 93",5012235,28
3 A.M.,"Sin Laurent, Oge, Kidd",5011784,19
Espresso,Sabrina Carpenter,4980451,24
OULES,"Bloody Hawk, Dani Gambino, Wang",4897708,32
ILEGAL,"TOQUEL, FLY LO, Beyond",4807110,4
ZARI,Marina Satti,4801838,16
Ghetto,"TOQUEL, FLY LO, Beyond",4773647,23
Valaoritou,Bloody Hawk,4748968,30
Lose Control,Teddy Swims,4735124,43
MONROE,"Hawk, TOQUEL, Baghdad",4692026,12
Sandra,TOQUEL,4685407,48
0-100,Fy,4656959,7
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",4599262,23
SOS,"Kidd, Lil Koni",4589737,23
Lebron,"FLY LO, Mike G",4548461,12
Panorama,"TOQUEL, Sin Laurent",4515820,48
ERIMO,SIDARTA,4472542,48
MONROE,"Hawk, TOQUEL, Baghdad",4457169,30
Alitheia,"Bossikan, Aspa",4426692,17
Kokkina Fanaria,APON,4355267,39
