Country,SuicideRate_2023,Country_Code,Country_En
Αυστρία,13.98,AT,Austria
Βέλγιο,13.46,BE,Belgium
Βουλγαρία,6.57,BG,Bulgaria
Κύπρος,3.47,CY,Cyprus
Τσεχία,11.59,CZ,Czech Republic
Γερμανία,11.38,DE,Germany
Δανία,8.98,DK,Denmark
Εσθονία,14.26,EE,Estonia
Ελλάδα,4.28,EL,Greece
Ισπανία,7.95,ES,Spain
E.E.,10.37,EU27_2020,E.U.
Φινλανδία,13.47,FI,Finland
Γαλλία,13.0,FR,France
Κροατία,13.22,HR,Croatia
Ουγγαρία,16.08,HU,Hungary
Ιρλανδία,8.88,IE,Ireland
Ιταλια,5.78,IT,Italy
Λιθουανία,18.83,LT,Lithuania
Λουξεμβούργο,6.99,LU,Luxembourg
Λετονία,14.02,LV,Latvia
Μάλτα,5.51,MT,Malta
Ολλανδία,10.4,NL,Netherlands
Πολωνία,12.34,PL,Poland
Πορτογαλία,8.88,PT,Portugal
Ρουμανία,8.33,RO,Romania
Σουηδία,12.93,SE,Sweden
Σλοβενία,16.44,SI,Slovenia
Σλοβακία,6.52,SK,Slovakia
