Year,EL
1965,115.985
1966,138.899
1967,157.197
1968,177.121
1969,201.35
1970,222.236
1971,244.467
1972,281.191
1973,338.022
1974,407.225
1975,502.09
1976,678.759
1977,806.465
1978,982.087
1979,1263.246
1980,1475.205
1981,1779.554
1982,2526.163
1983,3064.857
1984,3899.381
1985,4759.61
1986,5970.688
1987,6845.045
1988,7515.331
1989,8656.995
1990,11471.602
1991,14224.296
1992,16984.44
1993,19450.967
1994,22277.711
1995,26349.0
1996,29319.0
1997,33910.0
1998,38525.0
1999,42568.0
2000,47211.0
2001,48606.0
2002,54183.0
2003,56342.0
2004,59017.0
2005,63506.0
2006,67645.0
2007,73990.0
2008,76960.0
2009,73046.0
2010,72414.0
2011,69649.0
2012,68467.0
2013,64560.0
2014,64381.0
2015,64510.0
2016,67797.0
2017,69604.0
2018,71891.0
2019,72419.0
2020,64311.0
