year,month,origin,arrivals
1995,01,FOR,85476.0
1995,02,FOR,95571.0
1995,03,FOR,159150.0
1995,03,NAT,311994.0
1995,04,FOR,565481.0
1995,04,NAT,452033.0
1995,05,FOR,832313.0
1995,05,NAT,379162.0
1995,06,FOR,883704.0
1995,06,NAT,394174.0
1995,07,FOR,1022995.0
1995,07,NAT,577195.0
1995,08,FOR,1082550.0
1995,08,NAT,678735.0
1995,09,FOR,970430.0
1995,09,NAT,460048.0
1995,10,FOR,562520.0
1995,10,NAT,358553.0
1995,11,FOR,130667.0
1995,11,NAT,309720.0
1995,12,FOR,89023.0
1996,01,FOR,82967.0
1996,01,NAT,282540.0
1996,02,FOR,100662.0
1996,02,NAT,307584.0
1996,03,FOR,205578.0
1996,03,NAT,353387.0
1996,04,FOR,472612.0
1996,04,NAT,393540.0
1996,05,FOR,782796.0
1996,05,NAT,387229.0
1996,06,FOR,817624.0
1996,06,NAT,437917.0
1996,07,FOR,972688.0
1996,07,NAT,610195.0
1996,08,FOR,1141700.0
1996,08,NAT,720743.0
1996,09,FOR,944063.0
1996,09,NAT,418285.0
1996,10,FOR,542916.0
1996,10,NAT,394138.0
1996,11,FOR,122850.0
1996,11,NAT,327262.0
1996,12,FOR,29856.0
1996,12,NAT,168842.0
1997,01,FOR,103496.0
1997,01,NAT,337347.0
1997,02,FOR,111236.0
1997,02,NAT,307224.0
1997,03,FOR,218517.0
1997,03,NAT,367149.0
1997,04,FOR,469201.0
1997,04,NAT,458906.0
1997,05,FOR,894952.0
1997,05,NAT,467291.0
1997,06,FOR,932083.0
1997,06,NAT,485087.0
1997,07,FOR,1119856.0
1997,07,NAT,660398.0
1997,08,FOR,1291267.0
1997,08,NAT,809027.0
1997,09,FOR,1045885.0
1997,09,NAT,491866.0
1997,10,FOR,605532.0
1997,10,NAT,408612.0
1997,11,FOR,144206.0
1997,11,NAT,368703.0
1997,12,FOR,105249.0
1998,01,FOR,97270.0
1998,01,NAT,363479.0
1998,02,FOR,107899.0
1998,02,NAT,348142.0
1998,03,FOR,194733.0
1998,03,NAT,358047.0
1998,04,FOR,545570.0
1998,04,NAT,484596.0
1998,05,FOR,969166.0
1998,05,NAT,497167.0
1998,06,FOR,1014512.0
1998,06,NAT,514856.0
1998,07,FOR,1159138.0
1998,07,NAT,676832.0
1998,08,FOR,1396530.0
1998,08,NAT,803290.0
1998,09,FOR,1134860.0
1998,09,NAT,523034.0
1998,10,FOR,650521.0
1998,10,NAT,377006.0
1998,11,FOR,157539.0
1998,11,NAT,354374.0
1998,12,FOR,105448.0
1998,12,NAT,338847.0
1999,01,FOR,112840.0
1999,01,NAT,373576.0
1999,02,FOR,119021.0
1999,02,NAT,334478.0
1999,03,FOR,214080.0
1999,03,NAT,398910.0
1999,04,FOR,484532.0
1999,04,NAT,438384.0
1999,05,FOR,940095.0
1999,05,NAT,533195.0
1999,06,FOR,1018713.0
1999,06,NAT,469827.0
1999,07,FOR,1176723.0
1999,07,NAT,718823.0
1999,08,FOR,1284458.0
1999,08,NAT,786559.0
1999,09,FOR,1110530.0
1999,09,NAT,486581.0
1999,10,FOR,637410.0
1999,10,NAT,431348.0
1999,11,FOR,151808.0
1999,11,NAT,371100.0
1999,12,FOR,111190.0
1999,12,NAT,369430.0
2000,01,FOR,110563.0
2000,01,NAT,359086.0
2000,02,FOR,131171.0
2000,02,NAT,391082.0
2000,03,FOR,217119.0
2000,03,NAT,450017.0
2000,04,FOR,560301.0
2000,04,NAT,459011.0
2000,05,FOR,1012010.0
2000,05,NAT,475780.0
2000,06,FOR,1111308.0
2000,06,NAT,553547.0
2000,07,FOR,1298293.0
2000,07,NAT,743043.0
2000,08,FOR,1353984.0
2000,08,NAT,808111.0
2000,09,FOR,1211533.0
2000,09,NAT,542608.0
2000,10,FOR,704477.0
2000,10,NAT,425819.0
2000,11,FOR,166343.0
2000,11,NAT,383926.0
2000,12,FOR,134857.0
2000,12,NAT,372397.0
2001,01,FOR,105533.0
2001,01,NAT,347880.0
2001,02,FOR,123415.0
2001,02,NAT,382114.0
2001,03,FOR,223536.0
2001,03,NAT,456146.0
2001,04,FOR,520954.0
2001,04,NAT,451075.0
2001,05,FOR,935727.0
2001,05,NAT,439062.0
2001,06,FOR,1045495.0
2001,06,NAT,536482.0
2001,07,FOR,1170458.0
2001,07,NAT,656712.0
2001,08,FOR,1253693.0
2001,08,NAT,744059.0
2001,09,FOR,1071457.0
2001,09,NAT,519624.0
2001,10,FOR,547278.0
2001,10,NAT,414573.0
2001,11,FOR,121415.0
2001,11,NAT,365227.0
2001,12,FOR,89346.0
2001,12,NAT,322100.0
2002,01,FOR,88036.0
2002,01,NAT,333709.0
