year,month,arrivals
1995,03,471144.0
1995,04,1017514.0
1995,05,1211475.0
1995,06,1277878.0
1995,07,1600190.0
1995,08,1761285.0
1995,09,1430478.0
1995,10,921073.0
1995,11,440387.0
1996,01,365507.0
1996,02,408246.0
1996,03,558965.0
1996,04,866152.0
1996,05,1170025.0
1996,06,1255541.0
1996,07,1582883.0
1996,08,1862443.0
1996,09,1362348.0
1996,10,937054.0
1996,11,450112.0
1996,12,198698.0
1997,01,440843.0
1997,02,418460.0
1997,03,585666.0
1997,04,928107.0
1997,05,1362243.0
1997,06,1417170.0
1997,07,1780254.0
1997,08,2100294.0
1997,09,1537751.0
1997,10,1014144.0
1997,11,512909.0
1998,01,460749.0
1998,02,456041.0
1998,03,552780.0
1998,04,1030166.0
1998,05,1466333.0
1998,06,1529368.0
1998,07,1835970.0
1998,08,2199820.0
1998,09,1657894.0
1998,10,1027527.0
1998,11,511913.0
1998,12,444295.0
1999,01,486416.0
1999,02,453499.0
1999,03,612990.0
1999,04,922916.0
1999,05,1473290.0
1999,06,1488540.0
1999,07,1895546.0
1999,08,2071017.0
1999,09,1597111.0
1999,10,1068758.0
1999,11,522908.0
1999,12,480620.0
2000,01,469649.0
2000,02,522253.0
2000,03,667136.0
2000,04,1019312.0
2000,05,1487790.0
2000,06,1664855.0
2000,07,2041336.0
2000,08,2162095.0
2000,09,1754141.0
2000,10,1130296.0
2000,11,550269.0
2000,12,507254.0
2001,01,453413.0
2001,02,505529.0
2001,03,679682.0
2001,04,972029.0
2001,05,1374789.0
2001,06,1581977.0
2001,07,1827170.0
2001,08,1997752.0
2001,09,1591081.0
2001,10,961851.0
2001,11,486642.0
2001,12,411446.0
2002,01,421745.0
2002,02,468875.0
2002,03,668949.0
2002,04,882719.0
2002,05,1299120.0
2002,06,1472633.0
2002,07,1748982.0
2002,08,1945996.0
2002,09,1543560.0
2002,10,954403.0
2002,11,532876.0
2002,12,452186.0
2003,01,473107.0
2003,02,459200.0
2003,03,618308.0
2003,04,921553.0
2003,05,1285523.0
2003,06,1505933.0
2003,07,1774180.0
2003,08,2008274.0
2003,09,1506636.0
2003,10,983071.0
2003,11,517347.0
2003,12,446677.0
2004,01,395040.0
2004,02,441312.0
2004,03,619831.0
2004,04,866516.0
2004,05,1337670.0
2004,06,1451172.0
2004,07,1773790.0
2004,08,1801667.0
2004,09,1502641.0
2004,10,994529.0
2004,11,518325.0
2004,12,429090.0
2005,01,441539.0
2005,02,451486.0
2005,03,662855.0
2005,04,898935.0
2005,05,1397883.0
2005,06,1636824.0
2005,07,2046165.0
2005,08,2158381.0
2005,09,1681324.0
2005,10,1057873.0
2005,11,526913.0
2005,12,452418.0
2006,01,466969.0
2006,02,488096.0
2006,03,672526.0
2006,04,1003593.0
2006,05,1412566.0
2006,06,1691527.0
2006,07,2087216.0
2006,08,2176882.0
2006,09,1794969.0
2006,10,1070883.0
2006,11,590827.0
2006,12,525967.0
2007,01,522179.0
2007,02,542101.0
2007,03,744599.0
2007,04,1068170.0
2007,05,1725941.0
2007,06,2065582.0
2007,07,2433966.0
2007,08,2572293.0
2007,09,1956932.0
2007,10,1143233.0
2007,11,672111.0
2007,12,590485.0
2008,01,536681.0
2008,02,567928.0
2008,03,770093.0
2008,04,1026091.0
2008,05,1707131.0
2008,06,2059121.0
2008,07,2428840.0
2008,08,2635818.0
2008,09,1975214.0
2008,10,1161972.0
2008,11,610237.0
2008,12,534443.0
2009,01,580064.0
2009,02,614962.0
2009,03,762296.0
2009,04,1142829.0
2009,05,1903105.0
2009,06,2536179.0
2009,07,3598779.0
2009,08,3994107.0
2009,09,2450113.0
2009,10,1250977.0
2009,11,673386.0
2009,12,644068.0
2010,01,600641.0
2010,02,597682.0
2010,03,741482.0
2010,04,1113850.0
2010,05,1884511.0
2010,06,2420675.0
2010,07,3652786.0
2010,08,3996507.0
2010,09,2479305.0
2010,10,1223276.0
2010,11,562580.0
2010,12,583601.0
2011,01,572395.0
2011,02,545143.0
2011,03,744820.0
2011,04,1158462.0
2011,05,1915763.0
2011,06,2759313.0
2011,07,3771886.0
2011,08,4064854.0
2011,09,2604188.0
2011,10,1173235.0
2011,11,497443.0
2011,12,508096.0
2012,01,493724.0
2012,02,451023.0
2012,03,623429.0
2012,04,932000.0
2012,05,1604341.0
2012,06,2465114.0
2012,07,3422032.0
2012,08,3798032.0
2012,09,2386641.0
2012,10,1065908.0
2012,11,480408.0
2012,12,489370.0
2013,01,467136.0
2013,02,469424.0
2013,03,670875.0
2013,04,916185.0
2013,05,1936223.0
2013,06,2820719.0
2013,07,3669941.0
2013,08,4167279.0
2013,09,2665252.0
2013,10,1263279.0
2013,11,547014.0
2013,12,521928.0
2014,01,554833.0
2014,02,541557.0
2014,03,714226.0
2014,04,1210949.0
2014,05,2380379.0
2014,06,3146735.0
2014,07,3939632.0
2014,08,4457737.0
2014,09,2984411.0
2014,10,1546179.0
2014,11,597413.0
2014,12,600000.0
2015,01,564104.0
2015,02,596608.0
2015,03,759672.0
2015,04,1323611.0
2015,05,2563505.0
2015,06,3330172.0
2015,07,4178995.0
2015,08,4722059.0
2015,09,3229618.0
2015,10,1605522.0
2015,11,637503.0
2015,12,655605.0
2016,01,588195.0
2016,02,559130.0
2016,03,831222.0
2016,04,1332011.0
2016,05,2420834.0
2016,06,3363770.0
2016,07,4475731.0
2016,08,4837240.0
2016,09,3412520.0
2016,10,1837409.0
2016,11,677430.0
2016,12,660546.0
2017,01,597076.0
2017,02,636865.0
2017,03,833928.0
2017,04,1540799.0
2017,05,2696622.0
2017,06,3830271.0
2017,07,4816444.0
2017,08,5120215.0
2017,09,3712343.0
2017,10,1986376.0
2017,11,726122.0
2017,12,714207.0
2018,01,741079.0
2018,02,777522.0
2018,03,1105872.0
2018,04,1979921.0
2018,05,3634563.0
2018,06,4674000.0
2018,07,5773088.0
2018,08,6094938.0
2018,09,4572022.0
2018,10,2440799.0
2018,11,913544.0
2018,12,878291.0
2019,01,705649.0
2019,02,741838.0
2019,03,1105878.0
2019,04,2081979.0
2019,05,3495508.0
2019,06,4892020.0
2019,07,5802978.0
2019,08,6421350.0
2019,09,4657626.0
2019,10,2533827.0
2019,11,914155.0
2019,12,849245.0
2020,01,811844.0
2020,02,858454.0
2020,04,16120.0
2020,05,32967.0
2020,06,376638.0
2020,07,1727507.0
2020,08,2786080.0
2020,09,1704143.0
2020,10,1216975.0
2020,11,167440.0
2021,01,146591.0
2021,02,169046.0
2021,03,207799.0
2021,04,193278.0
2021,05,605147.0
2021,06,1921447.0
2021,07,3765280.0
2021,08,4438395.0
2021,09,3367348.0
2021,10,2031275.0
2021,11,645128.0
2021,12,524613.0
2022,01,432152.0
2022,02,488775.0
2022,03,737333.0
2022,04,1818043.0
2022,05,3193521.0
2022,06,4469678.0
2022,07,5506656.0
2022,08,6222628.0
2022,09,4436623.0
2022,10,2409230.0
2022,11,866741.0
2022,12,831976.0
2023,01,723472.0
2023,02,757301.0
2023,03,1114884.0
2023,04,2156633.0
2023,05,3632014.0
2023,06,5132877.0
2023,07,6104604.0
2023,08,6706282.0
2023,09,4891345.0
2023,10,2664617.0
2023,11,985494.0
2023,12,912901.0
2024,01,716808.0
2024,02,773104.0
2024,03,1167330.0
2024,04,2187914.0
2024,05,3754414.0
2024,06,5317221.0
