year,quarter,duration,purpose,nights
2011,4,N1-3,PERS,1835093.0
2011,4,N_GE1,PERS,8384556.0
2011,4,N_GE1,PROF,796386.0
2011,4,N_GE1,TOTAL,9180942.0
2011,4,N_GE4,PERS,6549463.0
2011,4,N_GE4,PERS_VFR,1832398.0
2011,3,N1-3,PERS,1783964.0
2011,3,N_GE1,PERS,47263869.0
2011,3,N_GE1,PROF,1261619.0
2011,3,N_GE1,TOTAL,48525488.0
2011,3,N_GE4,PERS,45479905.0
2011,3,N_GE4,PERS_VFR,7510039.0
2011,2,N1-3,PERS,1986696.0
2011,2,N_GE1,PERS,14528201.0
2011,2,N_GE1,PROF,639800.0
2011,2,N_GE1,TOTAL,15168001.0
2011,2,N_GE4,PERS,12541505.0
2011,2,N_GE4,PERS_VFR,2004478.0
2011,1,N1-3,PERS,1944910.0
2011,1,N_GE1,PERS,5665141.0
2011,1,N_GE1,PROF,554537.0
2011,1,N_GE1,TOTAL,6219678.0
2011,1,N_GE4,PERS,3720231.0
2011,1,N_GE4,PERS_VFR,516547.0
2010,4,N1-3,PERS,2586889.0
2010,4,N_GE1,PERS,9663853.0
2010,4,N_GE1,PROF,925115.0
2010,4,N_GE1,TOTAL,10588968.0
2010,4,N_GE4,PERS,7076964.0
2010,4,N_GE4,PERS_VFR,1784114.0
2010,3,N1-3,PERS,2757099.0
2010,3,N_GE1,PERS,51120972.0
2010,3,N_GE1,PROF,1680591.0
2010,3,N_GE1,TOTAL,52801563.0
2010,3,N_GE4,PERS,48363873.0
2010,3,N_GE4,PERS_VFR,9146990.0
2010,2,N1-3,PERS,3437498.0
2010,2,N_GE1,PERS,12365041.0
2010,2,N_GE1,PROF,837167.0
2010,2,N_GE1,TOTAL,13202208.0
2010,2,N_GE4,PERS,8927543.0
2010,2,N_GE4,PERS_VFR,3063258.0
2010,1,N1-3,PERS,2049403.0
2010,1,N_GE1,PERS,6484762.0
2010,1,N_GE1,PROF,949933.0
2010,1,N_GE1,TOTAL,7434695.0
2010,1,N_GE4,PERS,4435359.0
2010,1,N_GE4,PERS_VFR,1417797.0
2009,4,N1-3,PERS,2449637.0
