origin,nights,year,month
FOR,185500.0,2020,11
NAT,268238.0,2020,11
FOR,4808370.0,2020,10
NAT,783041.0,2020,10
FOR,6655467.0,2020,09
NAT,1255010.0,2020,09
FOR,8861357.0,2020,08
NAT,4180325.0,2020,08
FOR,4939566.0,2020,07
NAT,2076712.0,2020,07
FOR,363058.0,2020,06
NAT,706775.0,2020,06
FOR,12013.0,2020,05
NAT,44018.0,2020,05
FOR,10522.0,2020,04
NAT,21239.0,2020,04
FOR,260047.0,2020,03
NAT,399807.0,2020,03
FOR,614307.0,2020,02
NAT,1171346.0,2020,02
FOR,581084.0,2020,01
NAT,1065083.0,2020,01
FOR,648130.0,2019,12
NAT,1322963.0,2019,12
FOR,1030902.0,2019,11
NAT,1105738.0,2019,11
FOR,8785296.0,2019,10
NAT,1427885.0,2019,10
FOR,19341782.0,2019,09
NAT,2157307.0,2019,09
FOR,25817731.0,2019,08
NAT,5059570.0,2019,08
FOR,24838001.0,2019,07
NAT,3574614.0,2019,07
FOR,19956264.0,2019,06
NAT,2343640.0,2019,06
FOR,12563911.0,2019,05
NAT,1481833.0,2019,05
FOR,4685667.0,2019,04
NAT,1732098.0,2019,04
FOR,1098648.0,2019,03
NAT,1391903.0,2019,03
FOR,639331.0,2019,02
NAT,985516.0,2019,02
FOR,565727.0,2019,01
NAT,1040010.0,2019,01
FOR,511367.0,2018,12
NAT,1170927.0,2018,12
FOR,828462.0,2018,11
NAT,939186.0,2018,11
FOR,7496568.0,2018,10
NAT,1116376.0,2018,10
FOR,16355357.0,2018,09
NAT,1972606.0,2018,09
FOR,21970981.0,2018,08
NAT,4353211.0,2018,08
FOR,21548565.0,2018,07
NAT,3212030.0,2018,07
FOR,17358419.0,2018,06
NAT,1865225.0,2018,06
FOR,11218260.0,2018,05
NAT,1430763.0,2018,05
FOR,3206774.0,2018,04
NAT,1434515.0,2018,04
FOR,1020670.0,2018,03
NAT,1114921.0,2018,03
FOR,551464.0,2018,02
NAT,947213.0,2018,02
FOR,504354.0,2018,01
NAT,958964.0,2018,01
FOR,508071.0,2017,12
NAT,1196930.0,2017,12
FOR,799669.0,2017,11
NAT,962418.0,2017,11
FOR,7328982.0,2017,10
NAT,1209779.0,2017,10
FOR,15694756.0,2017,09
NAT,2132560.0,2017,09
FOR,20931668.0,2017,08
NAT,4942572.0,2017,08
FOR,20515826.0,2017,07
NAT,3612044.0,2017,07
FOR,16537075.0,2017,06
NAT,2030286.0,2017,06
FOR,9956762.0,2017,05
NAT,1320405.0,2017,05
FOR,2998811.0,2017,04
NAT,1503305.0,2017,04
FOR,762453.0,2017,03
NAT,1142604.0,2017,03
FOR,501146.0,2017,02
NAT,970922.0,2017,02
FOR,499202.0,2017,01
NAT,950768.0,2017,01
FOR,484994.0,2016,12
NAT,1121298.0,2016,12
FOR,691975.0,2016,11
NAT,939529.0,2016,11
FOR,6530925.0,2016,10
NAT,1249803.0,2016,10
FOR,14606034.0,2016,09
NAT,2027880.0,2016,09
FOR,19573334.0,2016,08
NAT,5299230.0,2016,08
FOR,18786440.0,2016,07
NAT,3736061.0,2016,07
FOR,14253233.0,2016,06
NAT,2074975.0,2016,06
FOR,8891806.0,2016,05
NAT,1393144.0,2016,05
FOR,2415557.0,2016,04
NAT,1343395.0,2016,04
FOR,785024.0,2016,03
NAT,1124006.0,2016,03
FOR,460232.0,2016,02
NAT,841121.0,2016,02
FOR,433296.0,2016,01
NAT,956750.0,2016,01
FOR,415453.0,2015,12
NAT,1104606.0,2015,12
FOR,607560.0,2015,11
NAT,860534.0,2015,11
FOR,5342037.0,2015,10
NAT,1126920.0,2015,10
FOR,13709117.0,2015,09
NAT,1873330.0,2015,09
FOR,19250326.0,2015,08
NAT,5198910.0,2015,08
FOR,18750394.0,2015,07
NAT,3123715.0,2015,07
FOR,14451765.0,2015,06
NAT,1864300.0,2015,06
FOR,8781817.0,2015,05
NAT,1519428.0,2015,05
FOR,2393512.0,2015,04
NAT,1295113.0,2015,04
FOR,635212.0,2015,03
NAT,1066117.0,2015,03
FOR,407658.0,2015,02
NAT,944107.0,2015,02
FOR,419212.0,2015,01
NAT,923123.0,2015,01
FOR,392382.0,2014,12
NAT,1034110.0,2014,12
FOR,579166.0,2014,11
NAT,831209.0,2014,11
FOR,5209379.0,2014,10
NAT,1092174.0,2014,10
FOR,13048099.0,2014,09
NAT,1793389.0,2014,09
FOR,17640357.0,2014,08
NAT,5168664.0,2014,08
FOR,17413552.0,2014,07
NAT,3411585.0,2014,07
FOR,13962509.0,2014,06
NAT,1904082.0,2014,06
FOR,8432533.0,2014,05
NAT,1212900.0,2014,05
FOR,2222079.0,2014,04
NAT,1250712.0,2014,04
FOR,554941.0,2014,03
NAT,1070563.0,2014,03
FOR,365865.0,2014,02
NAT,879640.0,2014,02
FOR,353412.0,2014,01
NAT,940170.0,2014,01
FOR,310974.0,2013,12
NAT,856528.0,2013,12
FOR,432248.0,2013,11
NAT,742943.0,2013,11
FOR,4151592.0,2013,10
NAT,991810.0,2013,10
FOR,11355306.0,2013,09
NAT,1743994.0,2013,09
FOR,15989402.0,2013,08
NAT,5408160.0,2013,08
FOR,15390149.0,2013,07
NAT,3890765.0,2013,07
FOR,12035961.0,2013,06
NAT,1837209.0,2013,06
FOR,6962034.0,2013,05
NAT,1231313.0,2013,05
FOR,1339437.0,2013,04
NAT,954408.0,2013,04
FOR,490583.0,2013,03
NAT,970930.0,2013,03
FOR,269408.0,2013,02
NAT,725734.0,2013,02
FOR,265548.0,2013,01
NAT,759008.0,2013,01
FOR,277412.0,2012,12
NAT,848787.0,2012,12
FOR,366209.0,2012,11
NAT,701376.0,2012,11
FOR,3418859.0,2012,10
NAT,879989.0,2012,10
FOR,10017946.0,2012,09
NAT,1764360.0,2012,09
FOR,14495274.0,2012,08
NAT,5276689.0,2012,08
FOR,13795529.0,2012,07
NAT,3964581.0,2012,07
FOR,10389219.0,2012,06
NAT,1661004.0,2012,06
FOR,5737779.0,2012,05
NAT,911904.0,2012,05
FOR,1501536.0,2012,04
NAT,1006542.0,2012,04
FOR,465548.0,2012,03
NAT,969849.0,2012,03
FOR,292144.0,2012,02
NAT,726181.0,2012,02
FOR,296927.0,2012,01
NAT,801028.0,2012,01
FOR,295135.0,2011,12
NAT,917503.0,2011,12
FOR,394899.0,2011,11
NAT,782195.0,2011,11
FOR,3949225.0,2011,10
NAT,1109119.0,2011,10
FOR,10751485.0,2011,09
NAT,2114036.0,2011,09
FOR,14474356.0,2011,08
NAT,5336891.0,2011,08
FOR,14078744.0,2011,07
NAT,3866079.0,2011,07
FOR,11431151.0,2011,06
NAT,2002892.0,2011,06
FOR,7032934.0,2011,05
NAT,1224952.0,2011,05
FOR,1876240.0,2011,04
NAT,1476474.0,2011,04
FOR,538414.0,2011,03
NAT,1236478.0,2011,03
FOR,371882.0,2011,02
NAT,906309.0,2011,02
FOR,319765.0,2011,01
NAT,1064018.0,2011,01
FOR,285095.0,2010,12
NAT,1025776.0,2010,12
FOR,402758.0,2010,11
NAT,811205.0,2010,11
FOR,3617829.0,2010,10
NAT,1134318.0,2010,10
FOR,9471612.0,2010,09
NAT,2343446.0,2010,09
