year,month,DOM_nights,FOR_nights,TOT_nights
1994,01,,281035.0,
1994,02,,298759.0,
1994,03,,673917.0,
1994,04,,1967110.0,
1994,05,,4962101.0,
1994,06,,6174686.0,
1994,07,,7576172.0,
1994,08,,8296565.0,
1994,09,,6554940.0,
1994,10,,3940424.0,
1994,11,,423977.0,
1994,12,,275184.0,
1995,01,,266315.0,
1995,02,,316706.0,
1995,03,,503124.0,
1995,04,,2163268.0,
1995,05,,4927804.0,
1995,06,,6066813.0,
1995,07,,7206398.0,
1995,08,,7532746.0,
1995,09,,6380801.0,
1995,10,,3502509.0,
1995,11,,406072.0,
1995,12,,290900.0,
1996,01,,226169.0,
1996,02,,265622.0,
1996,03,,540540.0,
1996,04,,1821952.0,
1996,05,,4382268.0,
1996,06,,5354059.0,
1996,07,,6405119.0,
1996,08,,7340912.0,
1996,09,,5942984.0,
1996,10,,3272220.0,
1996,11,,371024.0,
1996,12,,70484.0,
1997,01,,271037.0,
1997,02,,290177.0,
1997,03,,603425.0,
1997,04,,1716715.0,
1997,05,,4957680.0,
1997,06,,6138588.0,
1997,07,,7470982.0,
1997,08,,8669402.0,
1997,09,,6612165.0,
1997,10,,3570868.0,
1997,11,,407981.0,
1997,12,,281753.0,
1998,01,,255423.0,
1998,02,,284424.0,
1998,03,,508294.0,
1998,04,,1871479.0,
1998,05,,5225913.0,
1998,06,,6672483.0,
1998,07,,7439544.0,
1998,08,,9286080.0,
1998,09,,6940974.0,
1998,10,,3777839.0,
1998,11,,451930.0,
1998,12,,274521.0,
1999,01,,306540.0,
1999,02,,322534.0,
1999,03,,567268.0,
1999,04,,1891597.0,
1999,05,,5481436.0,
1999,06,,7247930.0,
1999,07,,8405839.0,
1999,08,,9246709.0,
1999,09,,7506602.0,
1999,10,,4209678.0,
1999,11,,463069.0,
1999,12,,303168.0,
2000,01,,273199.0,
2000,02,,337822.0,
2000,03,,542996.0,
2000,04,,1991871.0,
2000,05,,5595662.0,
2000,06,,7209207.0,
2000,07,,8813810.0,
2000,08,,9436099.0,
2000,09,,7578365.0,
2000,10,,4352669.0,
2000,11,,490047.0,
2000,12,,401871.0,
2001,01,,252920.0,
2001,02,,316889.0,
2001,03,,580816.0,
2001,04,,1802073.0,
2001,05,,5019753.0,
2001,06,,6632471.0,
2001,07,,8044999.0,
2001,08,,8592366.0,
2001,09,,7032105.0,
2001,10,,3595828.0,
2001,11,,382592.0,
2001,12,,241328.0,
2002,01,,223506.0,
2002,02,,286589.0,
2002,03,,546347.0,
2002,04,,1364624.0,
2002,05,,4733579.0,
2002,06,,6476366.0,
2002,07,,7979501.0,
2002,08,,8135426.0,
2002,09,,6767081.0,
2002,10,,3613579.0,
2002,11,,424294.0,
2002,12,,401877.0,
2003,01,,259723.0,
2003,02,,312923.0,
2003,03,,436473.0,
2003,04,,1530599.0,
2003,05,,4456218.0,
2003,06,,6305958.0,
2003,07,,7953402.0,
2003,08,,8381886.0,
2003,09,,6393491.0,
2003,10,,3555926.0,
2003,11,,391575.0,
2003,12,,429289.0,
2004,01,,222409.0,
2004,02,,278915.0,
2004,03,,431036.0,
2004,04,,1451875.0,
2004,05,,4392827.0,
2004,06,,5979185.0,
2004,07,,7439747.0,
2004,08,,8313470.0,
2004,09,,6438611.0,
2004,10,,3134706.0,
2004,11,,389286.0,
2004,12,,324129.0,
2005,01,,237307.0,
2005,02,,297704.0,
2005,03,,535348.0,
2005,04,,1090366.0,
2005,05,,4593278.0,
2005,06,,6372737.0,
2005,07,,8060735.0,
2005,08,,8898653.0,
2005,09,,6857731.0,
2005,10,,3235578.0,
2005,11,,343843.0,
2005,12,,211074.0,
2006,01,,233284.0,
2006,02,,276858.0,
2006,03,,454680.0,
2006,04,,1338860.0,
2006,05,,4705179.0,
2006,06,,6852393.0,
2006,07,,8745618.0,
2006,08,,9074920.0,
2006,09,,7248551.0,
2006,10,,3467946.0,
2006,11,,398990.0,
2006,12,,258102.0,
2007,01,,264931.0,
2007,02,,308184.0,
2007,03,,531187.0,
2007,04,,1459429.0,
2007,05,,5412587.0,
2007,06,,7949952.0,
2007,07,,9829815.0,
2007,08,,10355357.0,
2007,09,,7878612.0,
2007,10,,3311254.0,
2007,11,,468394.0,
2007,12,,311771.0,
2008,01,,288114.0,
2008,02,,326577.0,
2008,03,,583123.0,
2008,04,,1296282.0,
2008,05,,5436285.0,
2008,06,,8059014.0,
2008,07,,9997850.0,
2008,08,,10297228.0,
2008,09,,7926515.0,
2008,10,,3111359.0,
2008,11,,395293.0,
2008,12,,256309.0,
2009,01,,264307.0,
2009,02,,299053.0,
2009,03,,508475.0,
2009,04,,1517020.0,
2009,05,,5869131.0,
2009,06,,9666184.0,
2009,07,,12112083.0,
2009,08,,12984179.0,
2009,09,,9166766.0,
2009,10,,3433576.0,
2009,11,,407863.0,
2009,12,,286775.0,
2010,01,,281579.0,
2010,02,,315869.0,
2010,03,,533991.0,
2010,04,,1314974.0,
2010,05,,6060505.0,
2010,06,,9634341.0,
2010,07,,12788194.0,
2010,08,,13441020.0,
2010,09,,9471612.0,
2010,10,,3617829.0,
2010,11,,402758.0,
2010,12,,285095.0,
2011,01,1064018.0,319765.0,1383783.0
2011,02,906309.0,371882.0,1278191.0
2011,03,1236478.0,538414.0,1774892.0
2011,04,1476474.0,1876240.0,3352714.0
2011,05,1224952.0,7032934.0,8257886.0
2011,06,2002892.0,11431151.0,13434043.0
2011,07,3866079.0,14078744.0,17944823.0
2011,08,5336891.0,14474356.0,19811247.0
2011,09,2114036.0,10751485.0,12865521.0
2011,10,1109119.0,3949225.0,5058344.0
2011,11,782195.0,394899.0,1177094.0
2011,12,917503.0,295135.0,1212638.0
2012,01,801028.0,296927.0,1097955.0
2012,02,726181.0,292144.0,1018325.0
2012,03,969849.0,465548.0,1435397.0
2012,04,1006542.0,1501536.0,2508078.0
2012,05,911904.0,5737779.0,6649683.0
2012,06,1661004.0,10389219.0,12050223.0
2012,07,3964581.0,13795529.0,17760110.0
2012,08,5276689.0,14495274.0,19771963.0
2012,09,1764360.0,10017946.0,11782306.0
2012,10,879989.0,3418859.0,4298848.0
2012,11,701376.0,366209.0,1067585.0
2012,12,848787.0,277412.0,1126199.0
2013,01,759008.0,265548.0,1024556.0
2013,02,725734.0,269408.0,995142.0
2013,03,970930.0,490583.0,1461513.0
2013,04,954408.0,1339437.0,2293845.0
2013,05,1231313.0,6962034.0,8193347.0
2013,06,1837209.0,12035961.0,13873170.0
2013,07,3890765.0,15390149.0,19280914.0
2013,08,5408160.0,15989402.0,21397562.0
2013,09,1743994.0,11355306.0,13099300.0
2013,10,991810.0,4151592.0,5143402.0
2013,11,742943.0,432248.0,1175191.0
2013,12,856528.0,310974.0,1167502.0
2014,01,940170.0,353412.0,1293582.0
2014,02,879640.0,365865.0,1245505.0
2014,03,1070563.0,554941.0,1625504.0
2014,04,1250712.0,2222079.0,3472791.0
2014,05,1212900.0,8432533.0,9645433.0
2014,06,1904082.0,13962509.0,15866591.0
2014,07,3411585.0,17413552.0,20825137.0
2014,08,5168664.0,17640357.0,22809021.0
2014,09,1793389.0,13048099.0,14841488.0
2014,10,1092174.0,5209379.0,6301553.0
2014,11,831209.0,579166.0,1410375.0
2014,12,1034110.0,392382.0,1426492.0
2015,01,923123.0,419212.0,1342335.0
2015,02,944107.0,407658.0,1351765.0
2015,03,1066117.0,635212.0,1701329.0
2015,04,1295113.0,2393512.0,3688625.0
2015,05,1519428.0,8781817.0,10301245.0
2015,06,1864300.0,14451765.0,16316065.0
2015,07,3123715.0,18750394.0,21874109.0
2015,08,5198910.0,19250326.0,24449236.0
2015,09,1873330.0,13709117.0,15582447.0
2015,10,1126920.0,5342037.0,6468957.0
2015,11,860534.0,607560.0,1468094.0
2015,12,1104606.0,415453.0,1520059.0
2016,01,956750.0,433296.0,1390046.0
2016,02,841121.0,460232.0,1301353.0
2016,03,1124006.0,785024.0,1909030.0
2016,04,1343395.0,2415557.0,3758952.0
2016,05,1393144.0,8891806.0,10284950.0
2016,06,2074975.0,14253233.0,16328208.0
2016,07,3736061.0,18786440.0,22522501.0
2016,08,5299230.0,19573334.0,24872564.0
2016,09,2027880.0,14606034.0,16633914.0
2016,10,1249803.0,6530925.0,7780728.0
2016,11,939529.0,691975.0,1631504.0
2016,12,1121298.0,484994.0,1606292.0
2017,01,950768.0,499202.0,1449970.0
2017,02,970922.0,501146.0,1472068.0
2017,03,1142604.0,762453.0,1905057.0
2017,04,1503305.0,2998811.0,4502116.0
2017,05,1320405.0,9956762.0,11277167.0
2017,06,2030286.0,16537075.0,18567361.0
2017,07,3612044.0,20515826.0,24127870.0
2017,08,4942572.0,20931668.0,25874240.0
2017,09,2132560.0,15694756.0,17827316.0
2017,10,1209779.0,7328982.0,8538761.0
2017,11,962418.0,799669.0,1762087.0
2017,12,1196930.0,508071.0,1705001.0
2018,01,1145044.0,577735.0,1722779.0
2018,02,1132557.0,639770.0,1772327.0
2018,03,1321476.0,1191672.0,2513148.0
2018,04,1751937.0,3864726.0,5616663.0
2018,05,1708753.0,13162581.0,14871334.0
2018,06,2143187.0,19856360.0,21999547.0
2018,07,3682530.0,24666572.0,28349102.0
2018,08,4992893.0,25159660.0,30152553.0
2018,09,2285209.0,19088844.0,21374053.0
2018,10,1322026.0,9023636.0,10345662.0
2018,11,1119695.0,1017162.0,2136857.0
2018,12,1458781.0,627605.0,2086386.0
2019,01,1040010.0,565727.0,1605737.0
2019,02,985516.0,639331.0,1624847.0
2019,03,1391903.0,1098648.0,2490551.0
2019,04,1732098.0,4685667.0,6417765.0
